mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-0.964,0.828,-2.442,0.619,0.02,0.014,1737.0,1516.0,1.0
-0.092,0.988,-1.889,1.868,0.017,0.027,3303.0,1027.0,1.0
1.369,0.762,-0.122,2.738,0.013,0.012,3318.0,1168.0,1.0
2.558,0.645,1.43,3.766,0.014,0.01,2199.0,1532.0,1.0
2.179,0.542,1.227,3.208,0.015,0.011,1317.0,1542.0,1.0
0.635,0.289,0.146,1.206,0.006,0.005,2221.0,1541.0,1.0
-0.007,0.253,-0.463,0.49,0.005,0.006,3017.0,1396.0,1.0
-0.078,0.249,-0.553,0.37,0.005,0.006,2713.0,1503.0,1.0
-0.26,0.272,-0.771,0.248,0.005,0.005,2660.0,1476.0,1.0
-0.061,0.277,-0.609,0.443,0.005,0.007,3198.0,1245.0,1.0
-0.274,0.274,-0.805,0.222,0.005,0.005,2523.0,1472.0,1.0
0.262,0.297,-0.347,0.808,0.006,0.006,2400.0,1360.0,1.0
0.203,0.279,-0.263,0.784,0.005,0.005,2983.0,1666.0,1.0
0.422,0.259,-0.099,0.88,0.005,0.004,2599.0,1583.0,1.0
0.262,0.236,-0.144,0.756,0.005,0.005,2550.0,1494.0,1.0
0.233,0.219,-0.169,0.65,0.005,0.004,2270.0,1195.0,1.0
-0.099,0.208,-0.496,0.29,0.004,0.005,2824.0,1453.0,1.0
-0.1,0.212,-0.486,0.307,0.004,0.004,2635.0,1527.0,1.0
-0.52,0.236,-0.945,-0.073,0.006,0.004,1881.0,1347.0,1.0
0.004,1.02,-1.9,1.925,0.014,0.027,5671.0,1083.0,1.0
0.285,0.894,-1.369,1.962,0.013,0.02,4716.0,1402.0,1.0
0.055,0.904,-1.497,1.801,0.012,0.022,5695.0,1709.0,1.0
0.43,0.863,-1.321,1.927,0.014,0.018,3816.0,1438.0,1.0
-0.42,0.909,-2.168,1.168,0.013,0.023,4628.0,1547.0,1.01
-0.585,0.907,-2.166,1.222,0.013,0.018,4837.0,1535.0,1.0
-0.664,0.886,-2.333,0.996,0.013,0.016,4338.0,1300.0,1.01
-0.837,0.9,-2.71,0.668,0.013,0.015,4827.0,1585.0,1.0
-0.986,0.883,-2.682,0.56,0.014,0.015,4215.0,1511.0,1.0
-0.52,0.929,-2.212,1.295,0.016,0.022,3457.0,1277.0,1.0
-0.468,0.91,-2.139,1.261,0.013,0.018,4574.0,1574.0,1.0
-0.672,0.889,-2.387,0.995,0.012,0.016,5254.0,1501.0,1.01
-0.115,0.925,-1.689,1.772,0.013,0.022,4805.0,1549.0,1.0
-0.104,0.915,-1.82,1.574,0.013,0.022,4749.0,1506.0,1.0
-0.101,0.883,-1.709,1.533,0.014,0.02,4034.0,1544.0,1.0
0.084,0.883,-1.563,1.675,0.015,0.023,3614.0,1597.0,1.0
0.122,0.941,-1.681,1.805,0.013,0.021,4895.0,1649.0,1.0
-0.048,0.896,-1.753,1.6,0.012,0.023,5450.0,1439.0,1.0
-0.416,0.878,-1.966,1.207,0.013,0.018,4830.0,1676.0,1.0
-0.597,0.923,-2.37,1.056,0.014,0.019,4599.0,1334.0,1.0
-0.3,0.917,-1.925,1.503,0.015,0.022,3928.0,1379.0,1.0
-0.232,0.903,-1.856,1.43,0.013,0.021,4551.0,1550.0,1.0
-0.517,0.917,-2.223,1.227,0.015,0.018,3589.0,1493.0,1.0
-0.392,0.905,-2.003,1.393,0.013,0.02,4609.0,1520.0,1.0
-0.278,0.978,-2.146,1.48,0.016,0.026,3871.0,1436.0,1.0
-0.43,0.95,-2.14,1.425,0.012,0.022,6281.0,1218.0,1.0
-0.383,0.903,-2.077,1.33,0.013,0.021,5005.0,1441.0,1.0
-0.366,0.918,-2.198,1.269,0.015,0.021,3534.0,1446.0,1.0
-0.246,0.896,-1.818,1.569,0.015,0.025,3850.0,1390.0,1.01
-0.237,0.984,-2.014,1.686,0.014,0.024,5148.0,1471.0,1.0
-0.128,0.937,-1.905,1.647,0.013,0.023,4958.0,1616.0,1.0
-0.308,0.922,-1.885,1.449,0.015,0.02,3825.0,1731.0,1.0
-0.106,0.95,-1.87,1.73,0.015,0.024,3855.0,1244.0,1.0
0.187,0.954,-1.667,1.904,0.013,0.025,5563.0,1264.0,1.0
0.32,0.927,-1.486,1.88,0.012,0.021,5818.0,1538.0,1.0
0.255,0.948,-1.374,2.185,0.013,0.02,5233.0,1780.0,1.0
0.222,0.976,-1.7,1.979,0.014,0.024,4606.0,1248.0,1.0
0.357,0.89,-1.479,1.854,0.013,0.018,4447.0,1492.0,1.01
0.365,0.929,-1.333,2.169,0.013,0.021,5195.0,1364.0,1.0
0.103,0.929,-1.541,1.928,0.014,0.022,4571.0,1628.0,1.01
0.277,0.921,-1.464,1.989,0.014,0.021,4312.0,1535.0,1.0
0.077,0.909,-1.514,1.814,0.013,0.022,4774.0,1583.0,1.0
0.306,0.911,-1.42,1.958,0.015,0.021,3830.0,1523.0,1.0
0.256,0.887,-1.315,2.044,0.014,0.02,3960.0,1593.0,1.0
0.174,0.936,-1.539,1.82,0.013,0.024,5013.0,1500.0,1.01
0.108,0.92,-1.625,1.855,0.014,0.024,4602.0,1245.0,1.0
0.176,0.9,-1.411,1.869,0.015,0.022,3350.0,1556.0,1.0
