mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-2.097,0.979,-3.837,-0.147,0.021,0.018,2339.0,1128.0,1.0
-0.278,0.943,-1.927,1.613,0.016,0.019,3336.0,1656.0,1.0
1.104,0.731,-0.217,2.48,0.012,0.011,3557.0,1530.0,1.0
2.471,0.645,1.241,3.639,0.014,0.01,2084.0,1449.0,1.0
2.244,0.53,1.263,3.217,0.018,0.013,969.0,1284.0,1.0
0.406,0.211,0.035,0.82,0.005,0.004,2226.0,1243.0,1.0
-0.323,0.197,-0.696,0.027,0.005,0.004,2023.0,1450.0,1.0
-0.235,0.213,-0.639,0.16,0.004,0.004,3279.0,1504.0,1.0
-0.474,0.246,-0.976,-0.045,0.005,0.004,2523.0,1626.0,1.0
-0.278,0.269,-0.774,0.218,0.005,0.005,2601.0,1427.0,1.0
-0.317,0.302,-0.883,0.249,0.006,0.006,2456.0,1286.0,1.0
0.349,0.308,-0.202,0.974,0.007,0.006,1911.0,1357.0,1.0
0.217,0.272,-0.278,0.733,0.005,0.005,3008.0,1499.0,1.0
0.38,0.251,-0.106,0.841,0.005,0.004,2451.0,1493.0,1.01
0.361,0.222,-0.053,0.778,0.005,0.004,2330.0,1331.0,1.0
0.145,0.188,-0.196,0.529,0.004,0.004,2723.0,1504.0,1.0
-0.057,0.172,-0.39,0.273,0.004,0.004,2406.0,1453.0,1.0
0.09,0.164,-0.216,0.402,0.003,0.004,2601.0,1360.0,1.0
-0.683,0.224,-1.122,-0.292,0.007,0.005,1097.0,1508.0,1.0
-0.026,1.004,-1.86,1.799,0.016,0.027,4158.0,1422.0,1.0
-0.107,1.023,-1.967,1.801,0.015,0.025,4577.0,1626.0,1.0
0.088,0.96,-1.612,2.04,0.014,0.023,4554.0,1461.0,1.0
0.176,0.964,-1.666,1.966,0.014,0.025,5013.0,1303.0,1.0
-0.03,0.961,-1.756,1.82,0.014,0.026,4496.0,1463.0,1.01
-0.169,0.999,-2.221,1.527,0.015,0.023,4528.0,1637.0,1.0
-0.303,0.976,-2.137,1.437,0.014,0.024,4561.0,1422.0,1.01
-0.27,0.927,-1.983,1.496,0.013,0.023,5189.0,1591.0,1.0
-0.082,0.934,-1.85,1.655,0.014,0.023,4634.0,1453.0,1.0
-0.069,0.995,-1.898,1.777,0.014,0.027,5289.0,1453.0,1.0
0.026,0.96,-1.711,1.913,0.014,0.024,4503.0,1426.0,1.0
-0.189,0.98,-2.013,1.646,0.013,0.026,5942.0,1327.0,1.01
-0.273,0.937,-1.835,1.659,0.013,0.024,5424.0,1403.0,1.0
-0.234,0.97,-2.057,1.504,0.014,0.025,5015.0,1379.0,1.0
-0.272,0.961,-2.069,1.52,0.014,0.022,4949.0,1489.0,1.01
-0.255,0.901,-1.956,1.387,0.014,0.019,4408.0,1676.0,1.0
-0.274,0.975,-2.019,1.602,0.013,0.024,5298.0,1569.0,1.01
-0.357,0.967,-2.316,1.319,0.016,0.025,3823.0,1293.0,1.0
-0.503,1.001,-2.442,1.353,0.015,0.022,4502.0,1470.0,1.0
-0.383,0.932,-2.145,1.272,0.015,0.022,3706.0,1225.0,1.0
-0.364,0.938,-2.135,1.344,0.015,0.021,3682.0,1327.0,1.01
-0.052,1.033,-1.982,1.918,0.015,0.028,4608.0,1281.0,1.0
-0.111,0.928,-1.849,1.678,0.013,0.023,5505.0,1550.0,1.0
-0.228,0.95,-2.084,1.483,0.013,0.025,5297.0,1112.0,1.0
-0.264,1.028,-2.189,1.645,0.015,0.027,4508.0,1208.0,1.0
-0.073,0.955,-2.047,1.576,0.015,0.026,3819.0,1371.0,1.01
0.057,1.008,-1.902,1.848,0.013,0.027,6207.0,1570.0,1.0
-0.137,0.97,-1.879,1.752,0.017,0.027,3388.0,1414.0,1.0
-0.146,0.954,-1.902,1.611,0.013,0.026,5250.0,1480.0,1.0
0.067,0.957,-1.771,1.776,0.014,0.025,5021.0,1398.0,1.01
-0.061,0.975,-1.74,1.916,0.015,0.025,4551.0,1294.0,1.0
0.078,0.964,-1.746,1.881,0.014,0.026,5084.0,1220.0,1.01
0.072,0.96,-1.793,1.811,0.014,0.028,4350.0,1167.0,1.0
-0.084,0.959,-1.879,1.703,0.016,0.025,3500.0,1423.0,1.0
-0.095,0.963,-1.893,1.653,0.015,0.023,4314.0,1644.0,1.0
0.038,0.978,-1.647,1.97,0.014,0.026,4748.0,1318.0,1.0
0.004,0.973,-1.69,1.923,0.014,0.026,5052.0,1411.0,1.01
0.205,0.928,-1.547,1.938,0.014,0.024,4565.0,1392.0,1.0
0.177,0.997,-1.693,1.873,0.015,0.024,4624.0,1442.0,1.0
0.296,0.967,-1.455,2.195,0.014,0.023,4784.0,1426.0,1.0
0.29,0.951,-1.566,2.0,0.014,0.022,4607.0,1375.0,1.0
0.403,0.978,-1.352,2.228,0.014,0.023,4634.0,1464.0,1.0
0.447,0.993,-1.247,2.349,0.016,0.02,3693.0,1209.0,1.0
0.222,0.958,-1.424,2.09,0.014,0.023,4546.0,1427.0,1.01
0.192,0.949,-1.647,1.929,0.015,0.03,4195.0,1316.0,1.0
-0.044,0.996,-2.13,1.626,0.016,0.026,4107.0,1385.0,1.01
-0.027,0.98,-1.786,1.932,0.013,0.026,5780.0,1337.0,1.0
-0.081,1.008,-2.0,1.745,0.015,0.025,4256.0,1592.0,1.0
0.021,1.013,-1.727,2.022,0.015,0.027,4369.0,1277.0,1.0
0.036,0.942,-1.663,1.779,0.014,0.024,4463.0,1578.0,1.0
-0.011,1.051,-2.017,1.903,0.014,0.03,5739.0,1272.0,1.0
-0.074,0.988,-1.847,1.879,0.014,0.028,5322.0,1381.0,1.0
-0.018,0.98,-1.724,1.936,0.012,0.027,6602.0,1262.0,1.0
-0.004,1.031,-1.938,1.88,0.016,0.028,4134.0,1200.0,1.0
-0.065,0.949,-1.705,1.888,0.014,0.025,4479.0,1391.0,1.0
0.133,0.994,-1.638,2.005,0.014,0.031,4752.0,1133.0,1.0
0.033,0.956,-1.69,1.825,0.015,0.027,4361.0,1401.0,1.0
0.157,0.976,-1.816,1.816,0.015,0.026,4455.0,1370.0,1.0
-0.131,0.978,-1.965,1.691,0.015,0.026,4225.0,1374.0,1.0
0.176,0.94,-1.522,2.024,0.013,0.024,5436.0,1277.0,1.0
0.095,0.918,-1.504,1.913,0.014,0.024,4451.0,1542.0,1.0
-0.186,0.962,-1.946,1.524,0.014,0.026,4451.0,1480.0,1.0
0.034,0.937,-1.83,1.705,0.015,0.026,3782.0,1339.0,1.0
-0.052,0.936,-1.925,1.628,0.014,0.029,4547.0,1164.0,1.0
-0.224,0.928,-2.091,1.432,0.014,0.024,4303.0,1397.0,1.0
-0.548,0.889,-2.206,1.084,0.014,0.018,4093.0,1523.0,1.0
-0.568,0.938,-2.425,1.032,0.015,0.021,4176.0,1226.0,1.0
-0.068,0.951,-1.843,1.713,0.015,0.024,4257.0,1248.0,1.0
-0.302,0.926,-2.086,1.364,0.013,0.023,5184.0,1467.0,1.0
-0.568,0.886,-2.326,1.055,0.016,0.017,2994.0,1602.0,1.0
-0.835,0.911,-2.455,0.829,0.016,0.019,3420.0,1451.0,1.01
-1.05,0.903,-2.795,0.602,0.015,0.014,3787.0,1400.0,1.0
-0.711,0.925,-2.462,0.968,0.015,0.019,3740.0,1210.0,1.0
-0.889,0.957,-2.652,0.927,0.013,0.018,5172.0,1237.0,1.0
-0.495,0.876,-2.201,1.044,0.014,0.019,3805.0,1610.0,1.0
-0.425,0.917,-2.1,1.272,0.013,0.019,4984.0,1587.0,1.0
-0.636,0.943,-2.42,1.037,0.014,0.017,4362.0,1530.0,1.0
-0.392,0.912,-2.041,1.354,0.013,0.02,4888.0,1397.0,1.0
-0.465,0.868,-2.064,1.196,0.015,0.018,3476.0,1718.0,1.0
-0.515,0.964,-2.32,1.392,0.014,0.028,4787.0,1218.0,1.01
-0.611,0.882,-2.273,0.988,0.014,0.018,3951.0,1541.0,1.0
-0.481,0.899,-2.278,1.047,0.013,0.019,4539.0,1316.0,1.0
-0.515,0.873,-2.255,1.014,0.012,0.017,5230.0,1520.0,1.0
-0.653,0.887,-2.274,1.08,0.013,0.019,4503.0,1623.0,1.0
-0.427,0.932,-2.004,1.468,0.016,0.021,3451.0,1298.0,1.0
-0.178,0.934,-1.897,1.577,0.016,0.022,3561.0,1621.0,1.0
-0.315,0.932,-1.985,1.404,0.014,0.023,4402.0,1518.0,1.0
-0.499,0.898,-2.211,1.191,0.013,0.019,4782.0,1545.0,1.0
-0.261,0.983,-2.237,1.475,0.014,0.025,4666.0,1360.0,1.0
-0.391,0.874,-2.042,1.141,0.012,0.02,5009.0,1423.0,1.01
-0.403,0.918,-2.155,1.334,0.014,0.021,4366.0,1255.0,1.01
-0.224,0.911,-1.914,1.48,0.015,0.021,3584.0,1282.0,1.0
-0.169,0.904,-1.715,1.603,0.014,0.022,4081.0,1693.0,1.0
-0.179,0.949,-2.072,1.463,0.013,0.025,5579.0,1441.0,1.0
-0.495,0.914,-2.273,1.151,0.013,0.02,4763.0,1540.0,1.0
-0.475,0.871,-2.141,0.988,0.014,0.016,4035.0,1482.0,1.0
-0.361,0.933,-2.192,1.292,0.015,0.023,4108.0,1405.0,1.0
-0.593,0.911,-2.363,1.001,0.014,0.018,4346.0,1508.0,1.0
-0.571,0.92,-2.284,1.132,0.014,0.019,4344.0,1257.0,1.01
0.006,0.913,-1.63,1.765,0.015,0.024,3629.0,1055.0,1.0
-0.259,0.901,-2.028,1.355,0.013,0.021,4717.0,1552.0,1.0
-0.357,0.918,-2.157,1.26,0.015,0.019,4007.0,1652.0,1.0
-0.256,0.938,-2.069,1.434,0.014,0.024,4420.0,1419.0,1.0
-0.22,0.923,-1.989,1.464,0.016,0.023,3322.0,1333.0,1.01
0.023,0.974,-1.845,1.801,0.014,0.029,4861.0,1117.0,1.0
0.069,0.938,-1.659,1.868,0.015,0.023,4031.0,1547.0,1.0
-0.46,0.912,-2.159,1.289,0.012,0.021,5489.0,1219.0,1.0
-0.151,0.944,-2.106,1.47,0.014,0.024,4846.0,1395.0,1.01
-0.085,0.938,-1.75,1.735,0.015,0.023,4122.0,1559.0,1.0
-0.112,0.917,-1.841,1.615,0.015,0.021,3985.0,1570.0,1.0
-0.243,0.917,-2.043,1.356,0.013,0.022,4646.0,1539.0,1.0
0.222,0.912,-1.383,2.062,0.014,0.023,3932.0,1211.0,1.0
-0.34,0.906,-2.023,1.426,0.014,0.023,4376.0,1367.0,1.0
-0.299,0.91,-1.969,1.382,0.013,0.021,4845.0,1471.0,1.0
-0.516,0.903,-2.323,1.099,0.013,0.018,4524.0,1508.0,1.0
-0.334,0.912,-2.056,1.377,0.015,0.02,3627.0,1355.0,1.01
0.001,0.906,-1.599,1.794,0.015,0.022,3547.0,1256.0,1.0
-0.058,0.943,-1.934,1.579,0.013,0.023,5023.0,1486.0,1.0
-0.083,0.924,-1.728,1.765,0.015,0.025,3845.0,1325.0,1.0
0.089,0.935,-1.568,1.899,0.015,0.027,3927.0,1210.0,1.0
0.139,0.938,-1.656,1.853,0.012,0.023,5977.0,1405.0,1.0
0.295,0.923,-1.441,1.975,0.013,0.023,5244.0,1232.0,1.0
0.38,0.905,-1.234,2.153,0.014,0.021,4070.0,1337.0,1.0
0.334,0.892,-1.308,1.989,0.016,0.019,3174.0,1510.0,1.0
-0.136,0.944,-1.87,1.71,0.015,0.025,3997.0,1539.0,1.0
0.097,0.894,-1.634,1.694,0.014,0.023,4175.0,1317.0,1.01
-0.054,0.914,-1.889,1.615,0.015,0.021,3851.0,1320.0,1.0
-0.311,0.96,-2.075,1.526,0.015,0.021,4073.0,1614.0,1.0
-0.116,0.932,-1.844,1.524,0.015,0.026,3690.0,1153.0,1.01
0.124,0.904,-1.508,1.962,0.015,0.023,3632.0,1441.0,1.0
0.2,0.922,-1.579,1.842,0.015,0.021,3868.0,1300.0,1.0
0.188,0.952,-1.727,1.781,0.014,0.025,4619.0,1332.0,1.0
0.271,0.9,-1.206,2.098,0.015,0.021,3760.0,1336.0,1.0
0.162,0.891,-1.435,1.814,0.014,0.021,4014.0,1557.0,1.0
0.147,0.9,-1.54,1.854,0.014,0.021,4319.0,1340.0,1.0
0.522,0.989,-1.143,2.599,0.014,0.02,5175.0,1569.0,1.0
0.334,0.934,-1.299,2.135,0.014,0.021,4181.0,1582.0,1.0
0.32,0.984,-1.556,2.126,0.016,0.025,3636.0,1404.0,1.0
0.337,0.882,-1.232,2.042,0.014,0.022,4082.0,1257.0,1.0
0.509,0.955,-1.297,2.188,0.015,0.021,4195.0,1150.0,1.0
0.428,0.907,-1.256,2.099,0.013,0.019,4881.0,1566.0,1.0
0.715,0.932,-0.96,2.44,0.015,0.016,3748.0,1545.0,1.0
0.577,0.915,-1.045,2.328,0.014,0.019,4191.0,1402.0,1.0
0.553,0.93,-1.188,2.283,0.013,0.018,4736.0,1546.0,1.0
0.493,0.938,-1.341,2.158,0.016,0.021,3330.0,1243.0,1.01
0.636,0.897,-1.033,2.277,0.014,0.017,4131.0,1216.0,1.0
0.403,0.972,-1.295,2.337,0.015,0.022,3988.0,1377.0,1.0
0.005,0.963,-1.914,1.71,0.014,0.024,4559.0,1274.0,1.0
0.076,0.922,-1.564,1.908,0.013,0.024,5277.0,1607.0,1.0
0.303,0.906,-1.463,1.928,0.013,0.022,4636.0,1230.0,1.0
0.134,0.929,-1.485,1.926,0.015,0.028,3924.0,1062.0,1.0
0.136,0.882,-1.367,1.857,0.012,0.024,5390.0,1417.0,1.0
0.159,0.926,-1.5,1.913,0.013,0.023,4944.0,1349.0,1.0
0.282,0.932,-1.332,2.031,0.016,0.022,3589.0,1378.0,1.0
0.103,0.895,-1.554,1.756,0.013,0.025,4481.0,1308.0,1.0
-0.038,0.928,-1.857,1.537,0.013,0.022,5284.0,1601.0,1.0
-0.029,0.912,-1.783,1.61,0.014,0.022,4259.0,1503.0,1.0
-0.006,0.908,-1.724,1.747,0.014,0.023,3950.0,1309.0,1.0
-0.122,0.922,-1.907,1.537,0.015,0.024,3953.0,1341.0,1.0
-0.377,0.936,-2.317,1.274,0.015,0.024,3771.0,1126.0,1.0
-0.244,0.927,-2.141,1.386,0.014,0.025,4180.0,1122.0,1.0
-0.102,0.947,-1.882,1.683,0.014,0.023,4572.0,1474.0,1.0
-0.308,0.906,-1.994,1.316,0.014,0.021,4083.0,1378.0,1.0
-0.072,0.95,-1.706,1.779,0.014,0.026,4772.0,1278.0,1.0
0.005,0.938,-1.841,1.651,0.013,0.027,5581.0,1267.0,1.0
0.015,0.92,-1.648,1.796,0.014,0.024,4193.0,1547.0,1.0
0.242,0.952,-1.529,1.958,0.014,0.024,4443.0,1532.0,1.0
0.065,0.958,-1.738,1.795,0.013,0.027,5386.0,1290.0,1.0
