mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.617,1.393,-7.48,-2.164,0.032,0.022,1968.0,1407.0,1.0
-0.789,0.934,-2.64,0.92,0.02,0.018,2163.0,1432.0,1.0
-0.368,0.885,-2.019,1.339,0.016,0.022,3028.0,1267.0,1.0
-0.093,0.884,-1.797,1.558,0.014,0.021,3713.0,1489.0,1.0
0.121,0.912,-1.666,1.769,0.016,0.021,3438.0,1513.0,1.0
0.39,0.894,-1.213,2.065,0.016,0.017,3060.0,1536.0,1.0
0.752,0.87,-0.874,2.361,0.017,0.016,2683.0,1573.0,1.0
1.406,0.754,0.051,2.838,0.014,0.011,3092.0,1706.0,1.0
1.709,0.661,0.45,2.87,0.02,0.015,1187.0,1091.0,1.0
1.545,0.486,0.705,2.441,0.023,0.016,459.0,776.0,1.0
0.849,0.273,0.397,1.378,0.013,0.009,411.0,839.0,1.0
0.81,0.24,0.377,1.235,0.013,0.009,370.0,739.0,1.01
0.534,0.16,0.268,0.842,0.008,0.006,395.0,716.0,1.01
0.557,0.16,0.27,0.84,0.008,0.006,363.0,673.0,1.01
0.382,0.117,0.183,0.611,0.006,0.004,391.0,760.0,1.0
0.345,0.104,0.152,0.535,0.005,0.004,419.0,725.0,1.01
0.283,0.09,0.132,0.458,0.004,0.003,448.0,783.0,1.01
0.133,0.064,0.026,0.262,0.002,0.002,877.0,718.0,1.0
-0.153,0.069,-0.279,-0.032,0.003,0.002,614.0,754.0,1.0
-0.004,0.999,-2.0,1.76,0.015,0.024,4468.0,1513.0,1.0
0.032,0.958,-1.7,1.86,0.016,0.023,3806.0,1562.0,1.0
0.191,0.981,-1.714,1.965,0.014,0.023,4822.0,1539.0,1.0
0.118,0.954,-1.655,1.933,0.012,0.022,5875.0,1648.0,1.0
0.181,0.988,-1.721,1.92,0.016,0.023,3792.0,1603.0,1.0
0.072,0.972,-1.666,1.924,0.017,0.027,3447.0,1338.0,1.0
-0.082,0.978,-1.878,1.652,0.017,0.024,3502.0,1661.0,1.0
0.057,0.962,-1.796,1.732,0.015,0.022,3919.0,1536.0,1.01
0.265,0.965,-1.666,1.961,0.017,0.022,3354.0,1364.0,1.0
0.275,0.936,-1.496,1.98,0.017,0.022,3210.0,1300.0,1.0
0.336,0.952,-1.417,2.224,0.014,0.022,4342.0,1353.0,1.0
0.414,0.921,-1.247,2.229,0.015,0.02,3811.0,1357.0,1.01
0.398,0.982,-1.402,2.24,0.015,0.021,4103.0,1625.0,1.0
0.384,0.92,-1.28,2.138,0.015,0.019,3696.0,1348.0,1.01
0.364,0.989,-1.414,2.321,0.016,0.024,3900.0,1418.0,1.0
0.44,0.97,-1.428,2.269,0.016,0.02,3846.0,1544.0,1.0
0.157,0.927,-1.554,1.854,0.016,0.023,3576.0,1242.0,1.0
-0.017,0.952,-1.821,1.697,0.013,0.023,5789.0,1441.0,1.0
-0.066,0.946,-1.916,1.606,0.014,0.022,4398.0,1568.0,1.0
-0.059,0.962,-1.839,1.813,0.014,0.029,4981.0,1065.0,1.0
-0.283,0.989,-2.036,1.654,0.017,0.02,3535.0,1410.0,1.0
-0.266,0.959,-2.118,1.421,0.016,0.024,3686.0,1299.0,1.0
-0.244,0.962,-1.983,1.612,0.015,0.021,4085.0,1469.0,1.0
-0.385,0.962,-2.169,1.378,0.016,0.02,3856.0,1622.0,1.01
-0.351,0.969,-2.198,1.429,0.015,0.022,3915.0,1452.0,1.0
-0.377,0.958,-2.227,1.468,0.014,0.022,4941.0,1428.0,1.0
-0.359,0.949,-2.225,1.338,0.016,0.022,3592.0,1247.0,1.0
-0.247,0.974,-1.967,1.746,0.016,0.022,3745.0,1541.0,1.0
-0.095,0.96,-1.873,1.682,0.015,0.025,3984.0,1212.0,1.0
-0.108,0.978,-1.898,1.763,0.017,0.023,3517.0,1508.0,1.01
-0.054,0.969,-1.973,1.677,0.017,0.024,3071.0,1356.0,1.0
-0.128,0.951,-1.892,1.69,0.015,0.021,3842.0,1566.0,1.0
0.008,0.955,-1.802,1.847,0.013,0.028,5213.0,1169.0,1.01
0.009,0.92,-1.764,1.617,0.014,0.024,4093.0,1416.0,1.0
0.15,0.949,-1.59,2.03,0.015,0.027,4203.0,1187.0,1.0
0.193,0.968,-1.459,2.064,0.015,0.022,4177.0,1459.0,1.0
0.225,0.985,-1.823,1.913,0.012,0.028,6528.0,1230.0,1.0
0.145,0.945,-1.612,1.897,0.016,0.029,3614.0,978.0,1.01
0.288,0.956,-1.463,2.066,0.015,0.022,4313.0,1524.0,1.0
0.268,0.953,-1.673,1.886,0.016,0.023,3571.0,1421.0,1.0
0.378,0.947,-1.496,2.094,0.015,0.021,3782.0,1562.0,1.0
0.256,0.96,-1.622,1.972,0.017,0.022,3382.0,1401.0,1.0
0.28,0.922,-1.42,2.061,0.015,0.022,3920.0,1219.0,1.0
0.261,0.915,-1.534,1.931,0.016,0.021,3339.0,1577.0,1.0
0.298,0.977,-1.415,2.173,0.016,0.02,3903.0,1526.0,1.0
0.254,1.001,-1.625,2.208,0.015,0.024,4295.0,1278.0,1.0
0.242,0.964,-1.601,2.02,0.014,0.023,4834.0,1308.0,1.01
0.204,0.963,-1.605,1.961,0.014,0.027,4904.0,1274.0,1.0
-0.047,0.968,-1.866,1.775,0.015,0.024,4079.0,1620.0,1.0
-0.125,0.965,-1.899,1.67,0.014,0.027,4543.0,1228.0,1.0
-0.338,0.962,-2.1,1.47,0.015,0.021,4315.0,1364.0,1.0
-0.206,0.977,-1.969,1.639,0.016,0.027,3584.0,1166.0,1.0
-0.016,1.006,-1.83,1.959,0.017,0.025,3635.0,1565.0,1.0
-0.006,0.996,-1.794,1.845,0.015,0.026,4443.0,1103.0,1.0
-0.028,1.028,-1.982,1.93,0.016,0.026,4378.0,1446.0,1.01
-0.014,0.931,-1.733,1.742,0.014,0.023,4384.0,1743.0,1.0
-0.066,1.016,-1.851,1.861,0.016,0.022,4063.0,1478.0,1.0
-0.036,1.007,-2.147,1.65,0.014,0.025,5420.0,1471.0,1.0
-0.144,1.004,-1.973,1.809,0.014,0.028,5403.0,1322.0,1.0
-0.285,1.049,-2.402,1.564,0.015,0.027,4838.0,1377.0,1.01
-0.279,1.021,-2.248,1.641,0.016,0.025,4375.0,1018.0,1.0
-0.232,0.988,-2.004,1.751,0.014,0.022,5084.0,1522.0,1.0
-0.163,1.017,-2.031,1.826,0.016,0.026,4292.0,1355.0,1.0
-0.153,0.996,-1.974,1.778,0.014,0.023,4766.0,1585.0,1.01
-0.108,0.967,-1.926,1.677,0.015,0.024,3981.0,1465.0,1.0
-0.083,0.918,-1.818,1.555,0.014,0.023,4160.0,1473.0,1.0
-0.13,0.965,-1.991,1.56,0.015,0.026,4113.0,1301.0,1.0
-0.118,1.017,-1.878,1.911,0.018,0.023,3048.0,1473.0,1.0
-0.058,0.983,-1.955,1.702,0.016,0.023,3593.0,1450.0,1.0
-0.114,0.983,-1.943,1.716,0.016,0.026,3734.0,1360.0,1.0
-0.162,1.06,-2.121,1.826,0.016,0.027,4454.0,1263.0,1.0
-0.113,0.991,-1.809,1.885,0.014,0.026,5253.0,1621.0,1.0
-0.092,0.958,-1.884,1.561,0.015,0.025,3793.0,1458.0,1.0
-0.187,1.018,-2.167,1.666,0.017,0.029,3808.0,1330.0,1.0
-0.22,0.995,-1.959,1.822,0.016,0.022,4035.0,1453.0,1.0
-0.181,0.99,-2.026,1.658,0.015,0.027,4611.0,1466.0,1.0
-0.219,0.973,-2.04,1.616,0.015,0.026,4153.0,1247.0,1.01
-0.023,0.94,-1.758,1.798,0.013,0.024,5503.0,1385.0,1.0
-0.058,1.018,-1.914,1.878,0.015,0.029,4571.0,1254.0,1.0
-0.07,0.974,-1.957,1.699,0.013,0.027,5302.0,1555.0,1.0
0.04,0.999,-1.757,1.961,0.015,0.027,4439.0,1112.0,1.01
0.117,0.965,-1.748,1.93,0.015,0.022,4119.0,1549.0,1.0
0.145,0.972,-1.671,1.962,0.014,0.024,4582.0,1413.0,1.0
0.122,0.991,-1.591,2.086,0.016,0.024,4026.0,1388.0,1.0
0.048,1.019,-1.715,2.143,0.015,0.027,4967.0,1353.0,1.0
