mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.609,1.557,-7.456,-1.695,0.039,0.028,1585.0,1274.0,1.0
-0.833,0.942,-2.453,1.12,0.021,0.017,2087.0,1445.0,1.0
-0.444,0.872,-2.092,1.2,0.015,0.019,3527.0,1392.0,1.0
-0.187,0.843,-1.695,1.412,0.016,0.016,2922.0,1788.0,1.0
0.024,0.885,-1.66,1.613,0.019,0.02,2248.0,1423.0,1.0
0.227,0.875,-1.371,1.862,0.016,0.02,2935.0,1417.0,1.0
0.474,0.85,-1.1,2.043,0.016,0.017,2859.0,1589.0,1.0
0.817,0.831,-0.734,2.413,0.017,0.015,2510.0,1457.0,1.0
1.572,0.713,0.312,2.973,0.016,0.012,2082.0,1321.0,1.0
2.111,0.594,1.013,3.186,0.028,0.019,468.0,967.0,1.01
0.694,0.261,0.262,1.211,0.012,0.009,482.0,857.0,1.01
0.653,0.211,0.285,1.039,0.011,0.008,372.0,932.0,1.0
0.592,0.182,0.275,0.933,0.01,0.007,371.0,754.0,1.01
0.348,0.118,0.136,0.556,0.006,0.004,432.0,748.0,1.01
0.414,0.125,0.187,0.64,0.007,0.005,327.0,733.0,1.01
0.296,0.097,0.145,0.492,0.005,0.003,454.0,806.0,1.0
0.188,0.072,0.063,0.333,0.003,0.002,544.0,678.0,1.01
0.085,0.058,-0.023,0.187,0.002,0.002,933.0,866.0,1.0
-0.238,0.083,-0.39,-0.091,0.004,0.003,405.0,664.0,1.01
-0.001,1.013,-1.853,1.935,0.018,0.022,3191.0,1767.0,1.0
0.085,1.013,-1.849,1.981,0.016,0.027,3838.0,1230.0,1.0
0.102,1.017,-1.807,2.042,0.017,0.024,3388.0,1416.0,1.0
0.063,0.987,-1.766,1.891,0.017,0.025,3204.0,1408.0,1.0
0.015,0.996,-1.835,1.846,0.016,0.026,4107.0,1454.0,1.0
0.006,0.951,-1.675,1.8,0.013,0.024,5202.0,1580.0,1.0
-0.031,0.951,-1.815,1.684,0.016,0.024,3568.0,1524.0,1.0
0.033,0.938,-1.706,1.783,0.015,0.022,4099.0,1214.0,1.0
-0.029,0.977,-1.776,1.874,0.018,0.023,2944.0,1382.0,1.0
-0.021,0.994,-1.938,1.789,0.018,0.026,3213.0,1336.0,1.01
0.019,0.994,-1.838,1.832,0.017,0.025,3592.0,1216.0,1.0
0.042,0.96,-1.751,1.766,0.014,0.025,4373.0,1356.0,1.0
0.121,1.009,-1.784,1.988,0.018,0.027,3321.0,1165.0,1.01
0.117,1.011,-1.608,2.218,0.019,0.024,2909.0,1482.0,1.0
0.024,0.962,-1.846,1.833,0.016,0.024,3798.0,1401.0,1.0
-0.048,0.996,-1.81,1.834,0.017,0.023,3402.0,1476.0,1.0
-0.058,0.975,-1.836,1.753,0.015,0.025,3976.0,1337.0,1.0
-0.109,0.993,-1.935,1.699,0.015,0.024,4080.0,1463.0,1.0
-0.05,0.984,-1.904,1.786,0.016,0.026,3731.0,1471.0,1.0
-0.086,0.989,-1.919,1.757,0.018,0.022,3049.0,1597.0,1.0
