mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-1.988,0.531,-3.033,-1.042,0.012,0.008,2034.0,1594.0,1.0
-0.161,0.996,-1.972,1.685,0.02,0.025,2491.0,1415.0,1.0
1.763,0.559,0.695,2.768,0.011,0.008,2836.0,1734.0,1.0
-0.271,0.472,-1.136,0.627,0.009,0.009,2498.0,1388.0,1.0
0.421,0.468,-0.407,1.328,0.01,0.008,2382.0,1667.0,1.0
0.266,0.45,-0.573,1.055,0.009,0.01,2316.0,1452.0,1.0
0.757,0.428,-0.112,1.548,0.011,0.009,1711.0,1255.0,1.0
0.912,0.4,0.184,1.644,0.01,0.008,1692.0,1472.0,1.0
1.412,0.391,0.741,2.148,0.013,0.01,875.0,1290.0,1.0
1.152,0.327,0.54,1.76,0.011,0.008,921.0,1424.0,1.0
0.973,0.276,0.469,1.498,0.01,0.007,846.0,1212.0,1.0
1.078,0.268,0.634,1.608,0.01,0.007,678.0,1266.0,1.0
0.934,0.237,0.49,1.37,0.009,0.006,734.0,1195.0,1.0
0.911,0.223,0.494,1.3,0.009,0.006,662.0,1217.0,1.0
0.935,0.215,0.528,1.327,0.008,0.006,651.0,1168.0,1.0
0.711,0.185,0.368,1.045,0.007,0.005,697.0,1036.0,1.0
0.681,0.176,0.365,1.006,0.006,0.004,791.0,1140.0,1.0
0.385,0.137,0.136,0.643,0.004,0.003,1118.0,1397.0,1.0
-0.091,0.116,-0.321,0.119,0.002,0.002,2297.0,1521.0,1.0
-0.003,0.983,-1.768,1.909,0.014,0.025,4836.0,1408.0,1.0
0.379,0.843,-1.181,1.943,0.013,0.02,4323.0,1282.0,1.0
0.491,0.872,-1.1,2.16,0.015,0.02,3596.0,1469.0,1.0
0.834,0.847,-0.684,2.488,0.013,0.015,4608.0,1419.0,1.0
0.769,0.85,-0.827,2.344,0.012,0.014,4562.0,1538.0,1.0
0.627,0.859,-0.924,2.292,0.014,0.017,3831.0,1358.0,1.0
0.791,0.827,-0.737,2.345,0.013,0.014,3766.0,1713.0,1.0
1.162,0.813,-0.29,2.689,0.013,0.012,3749.0,1651.0,1.0
1.092,0.789,-0.303,2.656,0.014,0.013,3334.0,1563.0,1.0
1.503,0.832,-0.029,3.07,0.014,0.011,3786.0,1608.0,1.0
0.821,0.821,-0.645,2.411,0.013,0.013,4069.0,1742.0,1.0
0.994,0.777,-0.527,2.361,0.012,0.011,4135.0,1363.0,1.0
1.2,0.8,-0.266,2.76,0.013,0.011,4054.0,1305.0,1.0
1.77,0.805,0.395,3.351,0.013,0.011,4012.0,1186.0,1.0
1.091,0.779,-0.415,2.531,0.013,0.012,3745.0,1265.0,1.0
0.61,0.825,-0.832,2.277,0.013,0.014,3930.0,1595.0,1.01
0.421,0.812,-1.118,1.907,0.014,0.017,3355.0,1464.0,1.0
0.612,0.776,-0.861,2.027,0.014,0.013,2861.0,1655.0,1.01
0.206,0.799,-1.207,1.726,0.013,0.017,3830.0,1492.0,1.0
0.29,0.748,-1.224,1.584,0.011,0.017,4320.0,1230.0,1.0
0.277,0.771,-1.119,1.73,0.012,0.017,4466.0,1542.0,1.0
-0.042,0.759,-1.41,1.425,0.012,0.018,3788.0,1568.0,1.0
0.107,0.774,-1.311,1.638,0.012,0.018,4189.0,1507.0,1.0
-0.294,0.762,-1.748,1.11,0.011,0.016,4735.0,1623.0,1.0
-0.039,0.769,-1.507,1.393,0.012,0.018,4225.0,1440.0,1.0
-0.078,0.792,-1.542,1.463,0.013,0.021,3648.0,1310.0,1.0
-0.121,0.769,-1.496,1.415,0.014,0.018,3071.0,1504.0,1.0
-0.53,0.776,-2.047,0.861,0.012,0.015,4198.0,1509.0,1.0
-0.123,0.795,-1.699,1.354,0.014,0.02,3442.0,1462.0,1.0
0.0,0.787,-1.552,1.383,0.012,0.018,4036.0,1605.0,1.0
0.094,0.775,-1.476,1.454,0.013,0.018,3765.0,1555.0,1.0
0.049,0.791,-1.519,1.492,0.012,0.021,3981.0,1535.0,1.0
0.046,0.795,-1.498,1.45,0.013,0.018,3846.0,1686.0,1.0
0.077,0.795,-1.495,1.482,0.012,0.022,4054.0,1493.0,1.0
-0.296,0.759,-1.704,1.046,0.012,0.015,3836.0,1619.0,1.0
-0.244,0.807,-1.678,1.339,0.012,0.019,4225.0,1467.0,1.0
0.157,0.762,-1.243,1.661,0.013,0.019,3210.0,1535.0,1.0
0.095,0.781,-1.366,1.534,0.011,0.019,4945.0,1491.0,1.0
0.108,0.771,-1.297,1.541,0.013,0.017,3366.0,1576.0,1.0
0.4,0.784,-1.15,1.798,0.013,0.015,3548.0,1485.0,1.0
0.194,0.765,-1.306,1.56,0.011,0.017,4699.0,1680.0,1.0
0.017,0.775,-1.461,1.417,0.012,0.021,4524.0,1510.0,1.0
0.233,0.784,-1.22,1.698,0.012,0.017,4070.0,1654.0,1.0
0.451,0.772,-0.991,1.889,0.014,0.015,3079.0,1549.0,1.0
-0.263,0.814,-1.703,1.251,0.012,0.019,4547.0,1224.0,1.0
0.193,0.776,-1.273,1.529,0.012,0.017,4167.0,1231.0,1.0
0.289,0.767,-1.118,1.739,0.013,0.017,3428.0,1413.0,1.0
-0.037,0.757,-1.34,1.488,0.012,0.02,4119.0,1378.0,1.0
-0.387,0.754,-1.953,0.91,0.011,0.015,4713.0,1538.0,1.0
0.135,0.786,-1.365,1.5,0.011,0.017,5357.0,1398.0,1.0
-0.246,0.793,-1.612,1.357,0.012,0.019,4622.0,1304.0,1.0
-0.044,0.86,-1.749,1.518,0.012,0.024,5268.0,1443.0,1.0
0.002,1.019,-1.943,1.899,0.014,0.029,5196.0,1190.0,1.0
0.017,0.99,-1.786,1.9,0.013,0.026,6069.0,1347.0,1.0
0.044,0.973,-1.789,1.821,0.013,0.025,5259.0,1437.0,1.0
0.034,0.991,-1.799,1.852,0.013,0.024,5624.0,1402.0,1.01
-0.08,0.953,-1.873,1.613,0.013,0.024,5647.0,1468.0,1.01
-0.061,0.973,-1.809,1.823,0.016,0.025,3830.0,1438.0,1.0
0.02,0.984,-1.75,1.801,0.013,0.025,5624.0,1391.0,1.0
0.116,0.952,-1.735,1.842,0.014,0.023,4538.0,1530.0,1.0
0.041,0.946,-1.797,1.714,0.013,0.024,5390.0,1340.0,1.01
-0.103,0.949,-1.946,1.677,0.014,0.023,4404.0,1327.0,1.0
0.139,0.939,-1.682,1.841,0.013,0.025,5095.0,1324.0,1.01
0.096,0.991,-1.865,1.904,0.014,0.026,5259.0,1374.0,1.0
0.063,0.975,-1.807,1.835,0.014,0.022,4547.0,1622.0,1.0
0.028,0.938,-1.816,1.691,0.013,0.024,5431.0,1624.0,1.0
0.291,0.961,-1.499,2.113,0.014,0.025,4689.0,1288.0,1.0
0.182,0.934,-1.752,1.745,0.013,0.023,4879.0,1503.0,1.01
0.055,0.939,-1.628,1.906,0.014,0.025,4700.0,1359.0,1.0
-0.115,0.94,-1.887,1.653,0.014,0.021,4810.0,1688.0,1.0
