mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-3.272,0.626,-4.549,-2.181,0.016,0.011,1554.0,1103.0,1.0
-0.242,1.003,-2.198,1.612,0.024,0.02,1718.0,1316.0,1.0
0.663,0.731,-0.652,2.162,0.014,0.014,2802.0,1151.0,1.0
0.263,0.697,-1.073,1.521,0.013,0.016,3020.0,1653.0,1.0
0.358,0.665,-0.883,1.63,0.015,0.013,1902.0,1422.0,1.0
1.631,0.614,0.541,2.836,0.014,0.01,1874.0,1621.0,1.0
1.638,0.542,0.674,2.638,0.017,0.012,994.0,1326.0,1.0
0.973,0.417,0.235,1.767,0.013,0.01,1146.0,959.0,1.0
0.809,0.34,0.226,1.499,0.01,0.008,1244.0,1251.0,1.0
0.856,0.31,0.271,1.394,0.01,0.007,1021.0,1384.0,1.0
1.217,0.316,0.644,1.803,0.012,0.009,664.0,1260.0,1.0
0.951,0.257,0.471,1.406,0.01,0.007,706.0,1045.0,1.01
0.815,0.221,0.423,1.256,0.009,0.007,620.0,792.0,1.0
0.849,0.21,0.473,1.229,0.008,0.006,636.0,1046.0,1.01
0.727,0.19,0.387,1.08,0.008,0.006,548.0,943.0,1.0
0.57,0.161,0.292,0.883,0.006,0.004,724.0,1300.0,1.01
0.548,0.159,0.259,0.829,0.006,0.004,693.0,1126.0,1.0
0.185,0.118,-0.049,0.392,0.003,0.003,1471.0,1333.0,1.0
-0.187,0.117,-0.418,0.018,0.003,0.002,1496.0,1124.0,1.0
-0.058,1.038,-2.023,1.877,0.017,0.025,3823.0,1529.0,1.0
0.457,0.882,-1.268,2.03,0.011,0.02,6602.0,1280.0,1.01
1.092,0.878,-0.634,2.61,0.013,0.015,4336.0,1222.0,1.0
1.008,0.854,-0.673,2.569,0.015,0.014,3043.0,1414.0,1.0
1.089,0.849,-0.512,2.665,0.015,0.014,3309.0,1624.0,1.0
0.73,0.869,-0.94,2.295,0.014,0.015,3657.0,1625.0,1.01
0.575,0.853,-1.069,2.113,0.016,0.015,2987.0,1374.0,1.0
1.192,0.825,-0.457,2.638,0.015,0.014,3185.0,1235.0,1.0
1.27,0.834,-0.393,2.798,0.014,0.013,3445.0,1392.0,1.0
0.897,0.804,-0.582,2.393,0.017,0.012,2288.0,1673.0,1.0
1.081,0.819,-0.432,2.626,0.016,0.014,2759.0,1422.0,1.0
1.273,0.845,-0.301,2.876,0.013,0.013,4373.0,1456.0,1.0
0.98,0.805,-0.541,2.48,0.013,0.011,3685.0,1647.0,1.0
1.23,0.808,-0.328,2.709,0.013,0.012,3900.0,1571.0,1.0
1.073,0.776,-0.377,2.482,0.013,0.012,3346.0,1594.0,1.0
0.829,0.823,-0.677,2.413,0.015,0.014,3126.0,1520.0,1.0
0.877,0.843,-0.614,2.565,0.015,0.014,2996.0,1325.0,1.0
