mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
2.634,0.464,1.722,3.506,0.014,0.01,1099.0,1116.0,1.0
0.181,0.956,-1.556,2.061,0.027,0.02,1276.0,1548.0,1.0
-1.192,0.255,-1.714,-0.757,0.018,0.013,209.0,427.0,1.02
0.073,0.141,-0.181,0.346,0.003,0.003,1787.0,1267.0,1.0
1.08,0.236,0.667,1.537,0.016,0.011,220.0,482.0,1.01
0.905,0.209,0.504,1.279,0.015,0.01,208.0,372.0,1.02
0.84,0.19,0.54,1.246,0.013,0.009,227.0,503.0,1.02
0.607,0.15,0.345,0.881,0.01,0.007,246.0,512.0,1.01
0.789,0.176,0.479,1.135,0.013,0.009,194.0,343.0,1.02
0.938,0.194,0.576,1.292,0.014,0.01,185.0,371.0,1.02
1.214,0.243,0.773,1.673,0.019,0.013,167.0,335.0,1.02
1.436,0.279,0.942,1.971,0.022,0.015,164.0,326.0,1.03
1.385,0.27,0.931,1.912,0.021,0.015,165.0,325.0,1.03
1.271,0.25,0.814,1.723,0.019,0.014,166.0,338.0,1.03
1.034,0.207,0.65,1.419,0.016,0.011,172.0,357.0,1.02
0.793,0.166,0.505,1.106,0.012,0.009,184.0,361.0,1.02
0.579,0.131,0.363,0.84,0.009,0.006,212.0,346.0,1.01
0.334,0.097,0.142,0.503,0.006,0.004,311.0,583.0,1.01
0.052,0.077,-0.086,0.203,0.002,0.002,1497.0,1031.0,1.0
0.024,0.987,-1.755,1.981,0.02,0.023,2437.0,1428.0,1.0
0.257,0.968,-1.623,2.07,0.021,0.021,2061.0,1559.0,1.0
0.28,0.932,-1.534,2.013,0.019,0.02,2312.0,1410.0,1.0
0.288,0.975,-1.399,2.224,0.02,0.022,2344.0,1458.0,1.0
0.151,0.92,-1.534,1.865,0.019,0.021,2432.0,1467.0,1.0
0.024,0.942,-1.728,1.792,0.02,0.021,2215.0,1645.0,1.0
0.143,0.918,-1.54,1.858,0.019,0.018,2398.0,1774.0,1.0
0.061,0.927,-1.718,1.755,0.019,0.018,2415.0,1734.0,1.0
0.12,0.919,-1.518,1.985,0.019,0.021,2298.0,1514.0,1.0
0.26,0.946,-1.447,2.019,0.021,0.019,2114.0,1440.0,1.0
0.455,0.912,-1.148,2.243,0.019,0.018,2230.0,1722.0,1.0
0.354,0.965,-1.292,2.321,0.019,0.022,2615.0,1327.0,1.0
