mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
2.535,0.505,1.606,3.507,0.013,0.009,1488.0,1060.0,1.0
0.175,1.024,-1.841,1.911,0.024,0.025,1788.0,1273.0,1.0
-1.478,0.292,-2.077,-0.971,0.018,0.012,279.0,587.0,1.02
0.389,0.166,0.097,0.715,0.005,0.004,1100.0,953.0,1.0
1.143,0.247,0.688,1.594,0.014,0.01,322.0,737.0,1.01
1.196,0.244,0.761,1.665,0.014,0.01,303.0,482.0,1.01
1.302,0.256,0.851,1.813,0.016,0.011,276.0,518.0,1.02
1.243,0.24,0.807,1.705,0.015,0.01,270.0,531.0,1.02
1.152,0.225,0.75,1.593,0.014,0.01,271.0,454.0,1.02
1.249,0.239,0.781,1.682,0.015,0.011,249.0,441.0,1.02
1.135,0.219,0.728,1.544,0.013,0.009,273.0,532.0,1.02
0.731,0.152,0.454,1.027,0.009,0.006,311.0,586.0,1.01
0.66,0.142,0.366,0.906,0.008,0.006,304.0,583.0,1.01
0.698,0.146,0.429,0.976,0.008,0.006,302.0,712.0,1.02
0.605,0.131,0.363,0.852,0.007,0.005,348.0,601.0,1.01
0.497,0.117,0.281,0.71,0.006,0.004,368.0,815.0,1.01
0.365,0.099,0.181,0.543,0.005,0.003,487.0,1040.0,1.01
0.316,0.091,0.138,0.48,0.004,0.003,557.0,1249.0,1.01
0.02,0.073,-0.113,0.161,0.002,0.002,2314.0,1409.0,1.0
-0.008,0.988,-1.904,1.738,0.019,0.024,2777.0,1435.0,1.0
-0.038,0.939,-1.779,1.675,0.017,0.021,3387.0,1473.0,1.0
0.147,0.944,-1.614,1.914,0.017,0.02,2912.0,1667.0,1.0
-0.005,0.943,-1.8,1.659,0.017,0.023,3143.0,1461.0,1.0
-0.019,0.91,-1.711,1.698,0.016,0.021,3096.0,1699.0,1.0
-0.048,0.885,-1.756,1.546,0.018,0.019,2398.0,1582.0,1.0
0.176,0.882,-1.329,1.994,0.015,0.022,3309.0,1423.0,1.0
0.234,0.902,-1.522,1.833,0.017,0.019,2671.0,1511.0,1.0
0.213,0.934,-1.526,1.956,0.017,0.022,3123.0,1451.0,1.0
0.239,0.924,-1.387,2.076,0.017,0.026,2920.0,917.0,1.01
0.144,0.899,-1.56,1.818,0.015,0.019,3507.0,1641.0,1.0
0.057,0.901,-1.562,1.778,0.018,0.022,2616.0,1464.0,1.0
0.191,0.9,-1.468,1.856,0.015,0.022,3468.0,1411.0,1.0
0.249,0.908,-1.438,1.96,0.015,0.02,3470.0,1571.0,1.0
0.219,0.94,-1.688,1.854,0.017,0.021,3175.0,1585.0,1.0
0.141,0.875,-1.564,1.672,0.016,0.02,2927.0,1650.0,1.0
0.162,0.914,-1.577,1.865,0.015,0.022,3912.0,1468.0,1.0
0.089,0.944,-1.71,1.768,0.017,0.023,2989.0,1392.0,1.0
0.011,0.921,-1.692,1.729,0.017,0.021,2870.0,1217.0,1.0
0.004,0.902,-1.696,1.588,0.017,0.02,2900.0,1450.0,1.0
0.01,0.939,-1.71,1.758,0.016,0.023,3287.0,1407.0,1.0
-0.187,0.938,-2.006,1.487,0.017,0.021,3006.0,1472.0,1.0
-0.035,0.894,-1.775,1.63,0.018,0.019,2430.0,1642.0,1.0
-0.172,0.905,-1.683,1.662,0.016,0.02,3352.0,1625.0,1.0
-0.01,0.942,-1.867,1.647,0.017,0.021,3164.0,1559.0,1.0
-0.056,0.907,-1.658,1.694,0.016,0.021,3222.0,1471.0,1.0
-0.074,0.925,-1.779,1.717,0.019,0.021,2333.0,1289.0,1.0
-0.152,0.912,-1.805,1.612,0.016,0.021,3131.0,1495.0,1.0
-0.068,0.927,-1.834,1.637,0.017,0.022,2843.0,1621.0,1.0
-0.049,0.955,-1.865,1.643,0.017,0.024,3213.0,1396.0,1.0
0.16,0.94,-1.596,1.863,0.017,0.022,3065.0,1588.0,1.0
0.314,0.928,-1.458,2.061,0.016,0.022,3233.0,1415.0,1.0
0.186,0.905,-1.491,1.861,0.016,0.019,3183.0,1741.0,1.0
0.231,0.911,-1.352,2.029,0.015,0.021,3440.0,1511.0,1.0
0.274,0.927,-1.495,2.002,0.017,0.02,2998.0,1511.0,1.0
0.171,0.937,-1.469,2.01,0.02,0.031,2320.0,1158.0,1.0
0.367,0.888,-1.377,1.934,0.016,0.018,3259.0,1614.0,1.0
0.467,0.955,-1.236,2.331,0.019,0.02,2563.0,1375.0,1.0
0.617,0.932,-1.204,2.304,0.017,0.017,2905.0,1651.0,1.0
0.721,0.897,-0.894,2.521,0.018,0.017,2489.0,1434.0,1.0
0.871,0.925,-0.782,2.711,0.016,0.016,3427.0,1471.0,1.01
0.923,0.897,-0.704,2.711,0.015,0.016,3445.0,1497.0,1.0
0.865,0.91,-0.786,2.592,0.016,0.014,3298.0,1477.0,1.0
0.878,0.92,-0.789,2.671,0.015,0.015,3540.0,1795.0,1.0
0.74,0.928,-1.008,2.485,0.018,0.018,2788.0,1333.0,1.0
0.403,0.943,-1.323,2.213,0.017,0.021,3222.0,1448.0,1.0
0.302,0.891,-1.285,2.064,0.016,0.02,3052.0,1386.0,1.0
0.358,0.902,-1.301,2.035,0.015,0.02,3532.0,1574.0,1.0
0.065,0.92,-1.644,1.834,0.017,0.023,2904.0,1368.0,1.0
-0.084,0.968,-1.87,1.737,0.016,0.023,3547.0,1576.0,1.0
-0.293,0.955,-2.121,1.451,0.017,0.022,3424.0,1370.0,1.0
-0.002,0.977,-1.908,1.802,0.016,0.023,3612.0,1291.0,1.0
-0.019,1.006,-1.869,1.826,0.018,0.028,3215.0,1241.0,1.0
-0.014,1.056,-2.041,1.854,0.021,0.026,2594.0,1596.0,1.0
-0.087,0.944,-1.913,1.673,0.015,0.025,4024.0,1146.0,1.0
-0.087,1.029,-1.917,1.905,0.017,0.027,3466.0,1224.0,1.0
-0.087,0.966,-1.956,1.715,0.017,0.024,3386.0,1359.0,1.0
-0.168,0.975,-1.95,1.695,0.018,0.022,2957.0,1584.0,1.0
-0.252,0.983,-2.018,1.634,0.016,0.021,3742.0,1697.0,1.0
-0.28,0.948,-2.03,1.52,0.018,0.019,2834.0,1544.0,1.0
-0.274,0.967,-2.065,1.527,0.016,0.022,3433.0,1572.0,1.0
-0.342,0.954,-2.079,1.4,0.017,0.02,3323.0,1665.0,1.01
-0.308,0.96,-2.211,1.32,0.018,0.021,2947.0,1516.0,1.0
-0.384,0.937,-2.003,1.314,0.018,0.023,2759.0,1487.0,1.0
-0.44,0.908,-2.192,1.23,0.018,0.019,2639.0,1580.0,1.0
-0.329,0.965,-2.142,1.397,0.017,0.021,3090.0,1450.0,1.0
-0.353,0.957,-2.029,1.53,0.017,0.019,3154.0,1559.0,1.0
-0.381,1.016,-2.406,1.362,0.019,0.024,2796.0,1391.0,1.0
-0.306,0.973,-2.075,1.55,0.016,0.022,3436.0,1275.0,1.0
-0.495,0.911,-2.225,1.193,0.015,0.019,3583.0,1435.0,1.0
-0.532,0.912,-2.182,1.251,0.017,0.018,2979.0,1671.0,1.0
-0.5,0.937,-2.279,1.187,0.017,0.019,3181.0,1539.0,1.0
-0.436,0.944,-2.319,1.273,0.019,0.021,2399.0,1445.0,1.0
-0.467,0.899,-2.108,1.159,0.017,0.017,2626.0,1491.0,1.0
-0.476,0.93,-2.253,1.194,0.016,0.021,3304.0,1512.0,1.0
-0.276,0.913,-1.838,1.586,0.016,0.02,3076.0,1361.0,1.0
-0.197,0.905,-1.867,1.529,0.016,0.02,3183.0,1623.0,1.0
-0.101,0.955,-1.82,1.742,0.02,0.023,2258.0,1449.0,1.0
-0.09,0.908,-1.695,1.648,0.016,0.02,3375.0,1312.0,1.0
-0.065,0.911,-1.724,1.719,0.016,0.02,3139.0,1571.0,1.0
0.05,0.888,-1.638,1.647,0.016,0.019,3199.0,1772.0,1.0
0.135,0.907,-1.522,1.926,0.016,0.02,3348.0,1654.0,1.0
0.192,0.924,-1.486,1.987,0.017,0.019,2843.0,1715.0,1.0
