mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1.907,0.392,1.198,2.683,0.013,0.009,975.0,1234.0,1.0
0.103,0.98,-1.766,1.912,0.019,0.022,2619.0,1589.0,1.0
-1.301,0.432,-2.187,-0.546,0.012,0.009,1445.0,1236.0,1.0
-0.149,0.412,-0.871,0.644,0.009,0.009,2361.0,1369.0,1.0
-0.134,0.415,-0.996,0.577,0.009,0.008,2167.0,1620.0,1.0
0.567,0.406,-0.236,1.288,0.009,0.007,1872.0,1547.0,1.0
1.238,0.427,0.417,1.987,0.013,0.009,1149.0,1258.0,1.0
1.024,0.393,0.338,1.781,0.01,0.008,1495.0,1396.0,1.0
1.186,0.385,0.466,1.9,0.012,0.009,1050.0,1143.0,1.0
1.021,0.365,0.379,1.729,0.01,0.008,1286.0,1096.0,1.0
1.257,0.357,0.585,1.914,0.012,0.009,943.0,1091.0,1.0
1.364,0.357,0.745,2.065,0.012,0.009,837.0,1155.0,1.0
1.069,0.311,0.483,1.627,0.01,0.007,964.0,1329.0,1.01
0.92,0.293,0.377,1.471,0.009,0.007,1089.0,1064.0,1.0
0.559,0.246,0.099,1.012,0.007,0.005,1353.0,1550.0,1.0
0.16,0.227,-0.225,0.637,0.005,0.004,1802.0,1433.0,1.0
-0.217,0.235,-0.642,0.239,0.006,0.005,1691.0,1239.0,1.0
-0.819,0.28,-1.33,-0.3,0.008,0.006,1283.0,1019.0,1.0
-0.829,0.302,-1.369,-0.268,0.01,0.008,925.0,972.0,1.0
0.039,1.019,-1.732,2.087,0.016,0.024,4223.0,1708.0,1.0
0.338,0.942,-1.469,2.092,0.015,0.021,4128.0,1509.0,1.0
0.081,0.903,-1.508,1.931,0.015,0.021,3630.0,1408.0,1.0
0.014,0.901,-1.651,1.746,0.016,0.019,3058.0,1557.0,1.0
0.267,0.903,-1.435,2.005,0.014,0.022,3904.0,1477.0,1.0
0.372,0.877,-1.235,2.044,0.014,0.02,3837.0,1315.0,1.0
0.471,0.911,-1.175,2.204,0.016,0.018,3181.0,1298.0,1.0
0.198,0.882,-1.328,1.903,0.016,0.022,3201.0,1328.0,1.0
0.359,0.867,-1.21,2.052,0.016,0.019,3052.0,1291.0,1.0
0.337,0.872,-1.361,1.951,0.016,0.02,2928.0,1473.0,1.0
0.665,0.877,-0.926,2.304,0.014,0.016,3794.0,1644.0,1.0
0.617,0.886,-0.964,2.314,0.016,0.016,3184.0,1798.0,1.0
1.248,0.838,-0.286,2.802,0.014,0.012,3723.0,1558.0,1.0
0.994,0.9,-0.671,2.665,0.016,0.014,3308.0,1392.0,1.0
0.835,0.869,-0.767,2.521,0.014,0.014,3633.0,1515.0,1.0
0.08,0.871,-1.49,1.784,0.016,0.019,3177.0,1499.0,1.0
0.096,0.892,-1.516,1.753,0.015,0.021,3534.0,1401.0,1.0
-0.024,0.884,-1.674,1.581,0.016,0.022,3211.0,1495.0,1.0
-0.117,0.915,-1.773,1.696,0.017,0.022,2794.0,1520.0,1.0
-0.041,0.877,-1.817,1.508,0.015,0.021,3241.0,1375.0,1.0
-0.367,0.866,-1.961,1.251,0.018,0.018,2438.0,1384.0,1.0
-0.509,0.85,-2.05,1.098,0.015,0.016,3254.0,1477.0,1.0
-0.244,0.879,-1.817,1.501,0.015,0.021,3355.0,1267.0,1.0
-0.492,0.846,-1.942,1.231,0.015,0.017,3092.0,1571.0,1.0
-0.442,0.892,-2.044,1.219,0.015,0.02,3791.0,1344.0,1.0
-0.297,0.891,-2.097,1.283,0.016,0.019,2984.0,1381.0,1.0
-0.734,0.9,-2.454,0.952,0.014,0.018,3941.0,1426.0,1.0
-0.175,0.888,-1.921,1.432,0.017,0.02,2630.0,1543.0,1.0
-0.297,0.884,-1.907,1.294,0.015,0.02,3534.0,1667.0,1.0
-0.63,0.862,-2.181,1.075,0.015,0.015,3549.0,1645.0,1.0
-0.553,0.854,-2.205,1.011,0.013,0.016,4061.0,1625.0,1.0
-0.398,0.868,-1.998,1.186,0.016,0.016,2907.0,1796.0,1.0
-0.01,0.879,-1.677,1.606,0.016,0.02,3023.0,1452.0,1.0
-0.086,0.876,-1.735,1.573,0.015,0.019,3250.0,1690.0,1.0
-0.14,0.833,-1.723,1.414,0.017,0.017,2489.0,1251.0,1.0
-0.083,0.932,-1.86,1.627,0.016,0.021,3195.0,1513.0,1.01
-0.319,0.889,-1.93,1.311,0.017,0.018,2600.0,1523.0,1.0
-0.057,0.897,-1.668,1.615,0.016,0.019,2962.0,1682.0,1.0
0.28,0.898,-1.3,2.025,0.016,0.019,3289.0,1538.0,1.0
0.45,0.867,-1.173,2.07,0.017,0.019,2551.0,1448.0,1.0
0.615,0.869,-1.069,2.163,0.016,0.016,3012.0,1472.0,1.0
0.363,0.856,-1.335,1.989,0.016,0.022,2886.0,1146.0,1.01
0.045,0.88,-1.533,1.752,0.016,0.02,3004.0,1279.0,1.0
0.021,0.846,-1.576,1.569,0.016,0.021,2792.0,1570.0,1.0
-0.189,0.831,-1.74,1.337,0.014,0.019,3720.0,1664.0,1.0
-0.48,0.87,-2.096,1.119,0.015,0.019,3302.0,1360.0,1.0
-0.64,0.913,-2.346,1.078,0.016,0.016,3432.0,1627.0,1.0
-0.319,0.886,-2.032,1.287,0.017,0.019,2769.0,1493.0,1.0
-0.65,0.89,-2.322,1.057,0.016,0.018,3031.0,1559.0,1.0
-0.541,0.879,-2.191,1.017,0.015,0.017,3238.0,1615.0,1.0
-0.473,0.91,-2.17,1.254,0.013,0.02,4765.0,1324.0,1.0
-0.559,0.913,-2.197,1.22,0.015,0.018,3650.0,1700.0,1.0
-0.006,1.001,-1.88,1.916,0.015,0.024,4240.0,1638.0,1.0
0.021,1.029,-1.895,1.974,0.016,0.025,4094.0,1320.0,1.0
0.175,0.932,-1.6,1.875,0.014,0.023,4177.0,1495.0,1.0
-0.04,1.033,-2.035,1.84,0.016,0.031,4004.0,1259.0,1.0
-0.446,0.978,-2.301,1.361,0.016,0.022,3754.0,1347.0,1.0
-0.374,0.953,-2.108,1.379,0.014,0.019,5010.0,1692.0,1.0
-0.661,0.96,-2.414,1.178,0.017,0.018,3095.0,1677.0,1.0
-1.228,0.914,-2.95,0.437,0.014,0.013,4044.0,1709.0,1.0
-1.07,0.942,-2.899,0.655,0.014,0.015,4849.0,1774.0,1.01
-1.139,0.924,-2.727,0.812,0.015,0.014,3678.0,1524.0,1.0
-1.006,0.978,-2.706,0.879,0.016,0.017,3803.0,1452.0,1.01
-1.242,0.951,-3.038,0.523,0.015,0.015,3909.0,1620.0,1.0
-0.979,0.936,-2.823,0.7,0.018,0.016,2837.0,1282.0,1.0
-0.85,0.938,-2.594,0.916,0.016,0.017,3309.0,1156.0,1.0
-0.711,0.904,-2.333,0.962,0.016,0.015,3134.0,1538.0,1.0
-0.666,0.956,-2.552,1.033,0.016,0.019,3836.0,1468.0,1.0
-0.498,0.924,-2.184,1.266,0.016,0.02,3372.0,1566.0,1.0
-0.285,0.912,-2.066,1.318,0.015,0.02,3725.0,1579.0,1.0
-0.336,0.935,-2.248,1.242,0.017,0.023,3151.0,1420.0,1.0
-0.075,0.962,-1.874,1.646,0.017,0.025,3297.0,1413.0,1.0
-0.277,0.917,-2.067,1.359,0.017,0.019,2849.0,1564.0,1.0
-0.439,0.879,-2.168,1.074,0.015,0.019,3308.0,1417.0,1.0
-0.553,0.923,-2.219,1.172,0.014,0.017,4348.0,1592.0,1.0
-0.504,0.86,-2.133,1.072,0.014,0.02,3642.0,1332.0,1.01
-0.606,0.911,-2.376,1.024,0.017,0.018,2780.0,1858.0,1.0
-0.351,0.903,-2.088,1.267,0.014,0.018,3961.0,1542.0,1.0
-0.685,0.912,-2.315,1.032,0.015,0.016,3568.0,1623.0,1.01
-0.609,0.926,-2.311,1.103,0.016,0.017,3388.0,1806.0,1.0
-0.619,0.862,-2.121,1.174,0.014,0.016,3608.0,1671.0,1.0
-0.247,0.883,-1.851,1.443,0.016,0.022,3063.0,1456.0,1.0
-0.108,0.886,-1.765,1.521,0.015,0.019,3751.0,1651.0,1.0
-0.009,0.899,-1.631,1.707,0.014,0.021,4245.0,1595.0,1.0
-0.16,0.891,-1.804,1.469,0.015,0.021,3517.0,1435.0,1.0
-0.087,0.864,-1.73,1.53,0.014,0.019,3964.0,1566.0,1.0
0.055,0.884,-1.564,1.692,0.015,0.021,3509.0,1658.0,1.0
0.252,0.884,-1.335,1.946,0.015,0.019,3615.0,1538.0,1.0
0.036,0.913,-1.668,1.771,0.015,0.024,3678.0,1640.0,1.01
-0.069,0.888,-1.716,1.602,0.016,0.019,3266.0,1595.0,1.0
-0.182,0.9,-1.839,1.558,0.014,0.021,4200.0,1590.0,1.0
-0.292,0.902,-2.04,1.307,0.016,0.02,3390.0,1795.0,1.0
-0.355,0.892,-2.076,1.265,0.016,0.02,3181.0,1511.0,1.01
-0.043,0.864,-1.611,1.691,0.014,0.021,3650.0,1470.0,1.0
-0.039,0.891,-1.653,1.699,0.016,0.022,3271.0,1449.0,1.0
0.129,0.925,-1.422,1.992,0.016,0.024,3492.0,1335.0,1.0
0.391,0.878,-1.344,1.936,0.016,0.019,3137.0,1423.0,1.0
0.371,0.903,-1.389,2.037,0.015,0.02,3585.0,1700.0,1.0
