mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1.948,0.467,1.029,2.797,0.017,0.012,744.0,1006.0,1.0
0.108,0.983,-1.73,1.939,0.024,0.022,1619.0,1543.0,1.0
-1.033,0.378,-1.758,-0.34,0.012,0.008,1030.0,1191.0,1.0
0.152,0.358,-0.497,0.852,0.01,0.008,1435.0,1266.0,1.0
-0.645,0.385,-1.332,0.099,0.011,0.008,1214.0,1271.0,1.0
0.747,0.386,0.113,1.54,0.011,0.009,1304.0,1466.0,1.0
1.013,0.398,0.264,1.74,0.013,0.009,1003.0,1277.0,1.0
1.36,0.385,0.685,2.126,0.017,0.012,546.0,1181.0,1.0
1.226,0.348,0.559,1.876,0.014,0.01,614.0,1067.0,1.01
1.365,0.341,0.759,2.014,0.014,0.01,587.0,1014.0,1.01
1.377,0.332,0.747,1.97,0.015,0.011,505.0,1061.0,1.01
0.807,0.252,0.361,1.283,0.01,0.008,710.0,581.0,1.0
0.798,0.244,0.367,1.263,0.009,0.006,834.0,1125.0,1.01
0.808,0.241,0.397,1.285,0.01,0.007,584.0,894.0,1.01
0.415,0.204,0.029,0.791,0.006,0.004,1301.0,1525.0,1.0
0.171,0.201,-0.221,0.539,0.006,0.004,1312.0,1177.0,1.01
-0.42,0.219,-0.86,-0.055,0.007,0.006,966.0,1157.0,1.0
-0.699,0.238,-1.146,-0.268,0.008,0.006,872.0,1010.0,1.01
-1.055,0.291,-1.586,-0.51,0.013,0.009,498.0,957.0,1.01
0.005,0.994,-1.942,1.731,0.018,0.022,3128.0,1484.0,1.0
0.346,0.889,-1.329,2.033,0.019,0.018,2218.0,1444.0,1.0
0.339,0.856,-1.121,2.132,0.018,0.018,2321.0,1409.0,1.0
0.032,0.878,-1.587,1.74,0.017,0.021,2726.0,1496.0,1.0
0.104,0.891,-1.697,1.73,0.018,0.018,2370.0,1347.0,1.0
0.524,0.904,-1.013,2.315,0.018,0.018,2521.0,1475.0,1.0
0.585,0.869,-0.947,2.267,0.018,0.015,2378.0,1573.0,1.0
0.295,0.873,-1.383,1.791,0.02,0.018,1989.0,1709.0,1.0
0.596,0.867,-0.897,2.35,0.019,0.017,2120.0,1368.0,1.0
0.528,0.9,-1.143,2.197,0.022,0.017,1714.0,1385.0,1.0
0.283,0.956,-1.435,2.24,0.022,0.021,1866.0,1258.0,1.0
0.434,0.915,-1.26,2.197,0.02,0.019,2060.0,1263.0,1.0
0.965,0.911,-0.661,2.752,0.019,0.016,2406.0,1532.0,1.0
0.898,0.885,-0.819,2.517,0.019,0.017,2190.0,1544.0,1.0
1.012,0.89,-0.532,2.806,0.018,0.015,2476.0,1430.0,1.0
0.397,0.882,-1.182,2.128,0.017,0.018,2597.0,1436.0,1.0
0.26,0.889,-1.381,2.015,0.02,0.02,2020.0,1256.0,1.0
-0.173,0.832,-1.723,1.398,0.018,0.018,2124.0,1506.0,1.0
-0.335,0.851,-1.78,1.421,0.017,0.019,2369.0,1505.0,1.0
-0.385,0.862,-2.041,1.18,0.018,0.017,2225.0,1469.0,1.0
-0.527,0.847,-2.019,1.147,0.02,0.018,1781.0,1175.0,1.0
-0.642,0.863,-2.275,0.953,0.018,0.015,2325.0,1655.0,1.0
0.03,0.888,-1.543,1.806,0.02,0.02,2041.0,1212.0,1.0
-0.263,0.869,-2.058,1.25,0.018,0.017,2288.0,1632.0,1.0
-0.015,0.861,-1.523,1.683,0.018,0.019,2241.0,1662.0,1.0
-0.078,0.9,-1.855,1.524,0.022,0.022,1725.0,1164.0,1.0
-0.215,0.9,-1.844,1.575,0.019,0.019,2259.0,1402.0,1.0
-0.198,0.887,-1.832,1.427,0.016,0.018,2931.0,1579.0,1.0
-0.223,0.881,-1.924,1.411,0.02,0.02,1911.0,1344.0,1.0
-0.758,0.872,-2.262,0.974,0.017,0.014,2594.0,1675.0,1.0
-0.783,0.898,-2.412,0.892,0.019,0.017,2353.0,1467.0,1.0
-0.383,0.891,-1.977,1.311,0.021,0.019,1869.0,1427.0,1.0
-0.185,0.875,-1.767,1.465,0.02,0.019,1858.0,1391.0,1.0
0.051,0.869,-1.463,1.733,0.019,0.019,2033.0,1598.0,1.0
-0.062,0.87,-1.615,1.664,0.019,0.019,2172.0,1572.0,1.0
0.195,0.861,-1.349,1.809,0.019,0.019,2003.0,1659.0,1.0
0.048,0.842,-1.54,1.575,0.018,0.017,2157.0,1638.0,1.0
-0.014,0.84,-1.441,1.7,0.016,0.018,2837.0,1858.0,1.0
-0.028,0.876,-1.522,1.69,0.02,0.018,1949.0,1533.0,1.0
-0.063,0.846,-1.718,1.464,0.021,0.018,1627.0,1589.0,1.0
0.233,0.854,-1.332,1.877,0.019,0.018,2129.0,1406.0,1.0
-0.224,0.858,-1.803,1.371,0.018,0.018,2228.0,1496.0,1.0
-0.147,0.866,-1.824,1.504,0.018,0.018,2291.0,1563.0,1.0
-0.132,0.859,-1.656,1.579,0.017,0.018,2618.0,1593.0,1.0
-0.331,0.873,-1.968,1.301,0.019,0.018,2194.0,1468.0,1.0
-0.459,0.86,-2.045,1.191,0.018,0.016,2277.0,1548.0,1.0
-0.587,0.868,-2.139,1.086,0.021,0.016,1666.0,1316.0,1.0
-0.521,0.868,-2.078,1.17,0.018,0.018,2262.0,1487.0,1.0
-0.743,0.888,-2.456,0.858,0.017,0.016,2765.0,1476.0,1.0
-0.997,0.919,-2.745,0.698,0.02,0.016,2212.0,1623.0,1.0
-0.67,0.893,-2.37,1.026,0.017,0.016,2792.0,1635.0,1.0
-0.633,0.895,-2.333,0.976,0.018,0.017,2570.0,1602.0,1.0
-0.021,1.016,-1.958,1.763,0.02,0.023,2727.0,1403.0,1.0
0.001,0.976,-1.73,1.924,0.018,0.021,2940.0,1364.0,1.0
-0.198,0.941,-2.001,1.486,0.018,0.02,2763.0,1571.0,1.0
-0.451,0.993,-2.31,1.54,0.02,0.022,2506.0,1266.0,1.0
-0.709,0.939,-2.358,1.114,0.016,0.018,3571.0,1634.0,1.0
-0.789,0.951,-2.671,0.837,0.018,0.018,2873.0,1653.0,1.0
-0.962,0.975,-2.719,0.939,0.019,0.016,2511.0,1509.0,1.0
-1.266,0.953,-2.954,0.639,0.018,0.014,2787.0,1508.0,1.0
-1.094,0.917,-2.814,0.68,0.019,0.016,2269.0,1631.0,1.0
-1.073,0.969,-2.851,0.758,0.02,0.018,2411.0,1292.0,1.0
-1.013,0.904,-2.688,0.61,0.02,0.015,1975.0,1108.0,1.0
-1.305,0.927,-2.985,0.472,0.018,0.015,2674.0,1610.0,1.0
-1.301,0.888,-2.925,0.421,0.018,0.015,2402.0,1383.0,1.0
-0.797,0.949,-2.473,1.025,0.018,0.018,2689.0,1551.0,1.0
-0.809,0.919,-2.459,0.975,0.016,0.016,3195.0,1765.0,1.0
-0.661,0.916,-2.269,1.14,0.019,0.016,2399.0,1307.0,1.0
-0.623,0.934,-2.473,1.037,0.02,0.017,2219.0,1344.0,1.0
-0.782,0.914,-2.449,0.951,0.018,0.017,2649.0,1744.0,1.0
-0.614,0.911,-2.227,1.184,0.017,0.018,3019.0,1507.0,1.0
-0.802,0.899,-2.46,0.889,0.017,0.018,2756.0,1311.0,1.01
-0.578,0.869,-2.257,0.929,0.017,0.015,2747.0,1525.0,1.0
-0.619,0.892,-2.266,1.071,0.02,0.017,1964.0,1597.0,1.0
-1.012,0.907,-2.599,0.696,0.018,0.014,2548.0,1697.0,1.0
-0.723,0.901,-2.51,0.911,0.018,0.016,2476.0,1682.0,1.0
-0.857,0.91,-2.634,0.734,0.019,0.016,2360.0,1359.0,1.0
-0.523,0.889,-2.155,1.148,0.017,0.016,2604.0,1758.0,1.0
-0.409,0.887,-2.026,1.361,0.018,0.018,2452.0,1498.0,1.0
-0.342,0.899,-1.957,1.423,0.018,0.018,2613.0,1319.0,1.0
-0.27,0.883,-1.962,1.31,0.019,0.018,2062.0,1517.0,1.0
-0.249,0.86,-1.917,1.312,0.019,0.018,1967.0,1493.0,1.0
-0.333,0.853,-1.797,1.359,0.019,0.016,2060.0,1345.0,1.0
0.004,0.869,-1.707,1.563,0.019,0.018,2079.0,1517.0,1.0
-0.189,0.863,-1.837,1.361,0.018,0.017,2286.0,1754.0,1.0
-0.264,0.857,-1.779,1.444,0.018,0.017,2201.0,1520.0,1.0
-0.081,0.876,-1.733,1.527,0.017,0.019,2737.0,1607.0,1.0
0.101,0.837,-1.542,1.677,0.016,0.017,2660.0,1653.0,1.0
-0.365,0.88,-1.972,1.275,0.017,0.018,2594.0,1545.0,1.0
0.097,0.86,-1.643,1.579,0.018,0.017,2200.0,1680.0,1.0
0.099,0.83,-1.393,1.671,0.017,0.017,2381.0,1597.0,1.0
0.032,0.852,-1.541,1.654,0.016,0.018,2842.0,1795.0,1.0
0.002,0.871,-1.636,1.588,0.018,0.019,2430.0,1500.0,1.0
0.198,0.857,-1.339,1.868,0.018,0.018,2216.0,1516.0,1.0
0.068,0.892,-1.576,1.735,0.018,0.021,2349.0,1416.0,1.0
-0.02,0.859,-1.628,1.554,0.018,0.02,2361.0,1646.0,1.0
0.136,0.855,-1.474,1.748,0.018,0.018,2286.0,1660.0,1.0
0.705,0.844,-0.901,2.246,0.018,0.016,2325.0,1580.0,1.0
0.253,0.826,-1.37,1.746,0.019,0.019,1861.0,1332.0,1.0
0.269,0.85,-1.345,1.788,0.02,0.016,1786.0,1582.0,1.0
-0.008,0.862,-1.651,1.565,0.018,0.019,2273.0,1606.0,1.0
0.398,0.85,-1.226,1.899,0.018,0.016,2203.0,1552.0,1.0
