mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.799,1.474,-7.616,-2.157,0.069,0.049,567.0,353.0,1.01
-0.784,0.923,-2.463,1.014,0.031,0.024,869.0,1143.0,1.01
-0.462,0.864,-2.112,1.112,0.025,0.02,1172.0,634.0,1.0
-0.165,0.892,-1.745,1.614,0.025,0.022,1257.0,1144.0,1.0
-0.051,0.895,-1.626,1.736,0.025,0.02,1303.0,570.0,1.0
0.133,0.871,-1.471,1.812,0.023,0.019,1400.0,1425.0,1.0
0.323,0.906,-1.245,2.119,0.022,0.022,1663.0,1316.0,1.0
0.597,0.835,-0.97,2.187,0.021,0.017,1593.0,1069.0,1.0
0.97,0.824,-0.535,2.511,0.02,0.015,1784.0,989.0,1.0
1.907,0.724,0.509,3.231,0.02,0.015,1308.0,1203.0,1.01
0.082,0.55,-0.887,1.175,0.016,0.015,1236.0,789.0,1.0
1.039,0.525,0.167,2.097,0.023,0.018,561.0,707.0,1.01
1.173,0.461,0.385,2.016,0.023,0.016,410.0,432.0,1.01
0.524,0.283,0.075,1.108,0.012,0.009,610.0,914.0,1.01
0.475,0.245,0.08,0.982,0.012,0.009,513.0,699.0,1.01
0.55,0.233,0.189,0.996,0.011,0.008,446.0,618.0,1.0
0.102,0.153,-0.167,0.406,0.005,0.004,1111.0,917.0,1.01
0.262,0.162,-0.012,0.585,0.007,0.005,684.0,739.0,1.0
0.237,0.147,-0.005,0.531,0.005,0.004,851.0,906.0,1.0
-0.046,1.008,-2.161,1.67,0.022,0.026,2068.0,1154.0,1.0
-0.371,0.969,-2.256,1.365,0.023,0.021,1882.0,1515.0,1.0
-0.272,1.039,-2.223,1.801,0.029,0.023,1277.0,960.0,1.0
-0.294,0.992,-2.127,1.504,0.027,0.027,1314.0,794.0,1.0
-0.26,0.98,-2.046,1.584,0.025,0.022,1482.0,615.0,1.0
-0.129,0.987,-1.978,1.715,0.02,0.024,2375.0,1398.0,1.0
-0.172,1.016,-2.11,1.635,0.026,0.025,1513.0,745.0,1.0
0.072,0.992,-1.73,1.935,0.028,0.025,1190.0,621.0,1.0
-0.078,0.95,-1.966,1.594,0.024,0.023,1595.0,1234.0,1.0
0.004,0.959,-1.749,1.838,0.025,0.022,1449.0,1183.0,1.01
0.177,0.964,-1.543,2.001,0.027,0.022,1278.0,1161.0,1.0
-0.107,0.971,-1.984,1.619,0.024,0.022,1653.0,1415.0,1.0
-0.112,1.028,-2.066,1.833,0.028,0.028,1350.0,851.0,1.01
-0.067,0.988,-1.885,1.847,0.026,0.024,1452.0,1348.0,1.01
0.067,0.98,-1.775,1.887,0.021,0.023,2133.0,1209.0,1.0
0.156,0.925,-1.448,1.98,0.023,0.023,1649.0,1102.0,1.0
0.276,0.973,-1.544,2.149,0.025,0.026,1459.0,1118.0,1.0
0.156,0.996,-1.619,2.004,0.021,0.024,2306.0,1383.0,1.0
