mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.56,1.53,-7.217,-1.407,0.054,0.039,795.0,1032.0,1.0
-0.997,0.886,-2.653,0.665,0.028,0.02,999.0,1378.0,1.0
-0.249,0.827,-1.77,1.293,0.025,0.018,1135.0,1262.0,1.0
0.284,0.802,-1.178,1.767,0.027,0.019,906.0,1052.0,1.0
0.893,0.731,-0.496,2.286,0.023,0.016,1048.0,1308.0,1.0
2.575,0.607,1.528,3.795,0.041,0.029,218.0,735.0,1.03
1.866,0.423,1.115,2.677,0.065,0.047,46.0,289.0,1.08
0.987,0.217,0.613,1.417,0.035,0.025,45.0,228.0,1.09
0.704,0.155,0.423,0.991,0.025,0.018,47.0,225.0,1.09
0.598,0.132,0.364,0.847,0.02,0.015,53.0,259.0,1.08
0.449,0.1,0.263,0.631,0.017,0.012,41.0,202.0,1.09
0.142,0.044,0.06,0.221,0.006,0.004,62.0,329.0,1.06
0.129,0.041,0.061,0.215,0.004,0.003,81.0,356.0,1.04
0.186,0.051,0.098,0.285,0.007,0.005,52.0,126.0,1.07
0.126,0.039,0.059,0.201,0.005,0.004,62.0,415.0,1.06
0.056,0.034,-0.004,0.122,0.002,0.002,219.0,477.0,1.02
-0.029,0.031,-0.088,0.028,0.001,0.001,484.0,583.0,1.01
0.12,0.04,0.054,0.198,0.004,0.003,127.0,337.0,1.04
-0.009,0.033,-0.074,0.048,0.002,0.001,419.0,711.0,1.01
-0.015,0.97,-1.839,1.8,0.025,0.02,1455.0,1415.0,1.0
0.058,0.982,-1.732,1.881,0.022,0.022,1968.0,1549.0,1.0
0.239,0.966,-1.52,2.06,0.024,0.021,1690.0,1520.0,1.0
0.291,0.913,-1.506,1.881,0.026,0.018,1292.0,1468.0,1.0
0.342,0.947,-1.382,2.119,0.026,0.02,1374.0,1152.0,1.0
0.303,0.925,-1.379,2.166,0.025,0.017,1415.0,1588.0,1.0
0.576,0.962,-1.095,2.528,0.031,0.022,946.0,1128.0,1.0
0.555,0.951,-1.269,2.227,0.033,0.023,851.0,1130.0,1.0
0.322,0.925,-1.526,1.995,0.027,0.019,1196.0,1083.0,1.0
0.23,0.979,-1.553,2.056,0.026,0.02,1446.0,1162.0,1.0
-0.018,0.907,-1.646,1.702,0.025,0.018,1354.0,1229.0,1.0
0.002,0.959,-1.696,1.847,0.026,0.021,1404.0,1421.0,1.01
-0.204,0.987,-1.923,1.737,0.025,0.02,1497.0,1536.0,1.0
-0.109,0.961,-2.033,1.547,0.026,0.019,1385.0,1408.0,1.0
0.087,0.941,-1.525,1.999,0.025,0.02,1421.0,1418.0,1.0
0.205,0.958,-1.58,1.912,0.024,0.019,1578.0,1557.0,1.0
0.261,0.94,-1.436,2.064,0.025,0.018,1395.0,1473.0,1.0
0.297,0.954,-1.417,2.133,0.03,0.021,1047.0,1473.0,1.0
0.314,0.956,-1.48,2.1,0.028,0.021,1129.0,1197.0,1.01
0.325,0.946,-1.485,2.067,0.026,0.019,1324.0,1562.0,1.0
0.35,0.964,-1.443,2.162,0.031,0.022,1002.0,1381.0,1.0
0.064,0.889,-1.516,1.801,0.025,0.018,1226.0,1384.0,1.0
-0.148,0.945,-1.867,1.639,0.025,0.02,1401.0,1380.0,1.0
0.025,0.933,-1.803,1.639,0.023,0.019,1625.0,1687.0,1.0
0.255,0.942,-1.395,2.133,0.028,0.02,1111.0,1438.0,1.01
