mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.026,1.038,-5.868,-1.969,0.031,0.022,1160.0,1193.0,1.0
-0.575,0.922,-2.312,1.159,0.025,0.018,1309.0,1557.0,1.0
0.31,0.828,-1.179,1.907,0.018,0.018,2106.0,1403.0,1.0
1.279,0.762,-0.103,2.779,0.017,0.013,1928.0,1289.0,1.0
2.307,0.625,1.225,3.578,0.024,0.017,703.0,1219.0,1.0
0.795,0.361,0.166,1.488,0.015,0.011,585.0,1165.0,1.0
0.94,0.306,0.39,1.496,0.014,0.01,475.0,676.0,1.0
0.85,0.259,0.398,1.333,0.014,0.01,338.0,717.0,1.01
0.853,0.222,0.461,1.267,0.013,0.009,282.0,553.0,1.01
0.881,0.208,0.522,1.297,0.013,0.009,246.0,502.0,1.01
0.722,0.173,0.409,1.037,0.011,0.008,235.0,449.0,1.01
0.816,0.187,0.493,1.182,0.013,0.009,215.0,397.0,1.01
0.709,0.162,0.41,1.008,0.011,0.008,211.0,314.0,1.01
0.7,0.159,0.419,1.0,0.011,0.008,216.0,411.0,1.01
0.554,0.127,0.313,0.784,0.008,0.006,224.0,336.0,1.01
0.476,0.113,0.277,0.686,0.007,0.005,236.0,445.0,1.01
0.362,0.09,0.201,0.532,0.006,0.004,252.0,454.0,1.01
0.213,0.066,0.095,0.335,0.003,0.002,373.0,784.0,1.01
-0.019,0.049,-0.113,0.071,0.001,0.001,1496.0,1148.0,1.0
-0.008,0.994,-1.839,1.824,0.019,0.023,2704.0,1390.0,1.0
0.095,0.955,-1.622,1.927,0.017,0.024,3143.0,1475.0,1.0
0.055,0.95,-1.704,1.834,0.017,0.022,3042.0,1490.0,1.0
0.178,0.96,-1.774,1.905,0.016,0.024,3616.0,1506.0,1.0
0.204,0.998,-1.626,2.145,0.019,0.021,2774.0,1730.0,1.0
0.317,0.984,-1.52,2.137,0.02,0.022,2533.0,1573.0,1.0
0.261,1.01,-1.724,2.057,0.019,0.022,2974.0,1367.0,1.0
0.244,0.981,-1.661,2.002,0.018,0.025,2908.0,977.0,1.0
0.226,0.947,-1.564,2.054,0.016,0.025,3334.0,1372.0,1.0
0.268,1.021,-1.437,2.395,0.021,0.023,2340.0,1319.0,1.0
0.231,0.991,-1.535,2.143,0.017,0.02,3235.0,1621.0,1.0
0.238,0.981,-1.553,2.113,0.019,0.022,2634.0,1163.0,1.0
0.288,1.023,-1.679,2.132,0.018,0.024,3257.0,1349.0,1.0
0.253,0.976,-1.523,2.141,0.018,0.023,2935.0,1370.0,1.0
0.266,1.02,-1.5,2.264,0.02,0.022,2730.0,1601.0,1.0
0.289,0.995,-1.546,2.218,0.018,0.026,3158.0,1427.0,1.01
0.145,0.97,-1.644,1.981,0.018,0.022,3033.0,1459.0,1.0
0.097,0.99,-1.79,1.871,0.021,0.023,2254.0,1481.0,1.01
0.14,0.978,-1.756,1.896,0.018,0.023,3011.0,1555.0,1.0
0.159,0.98,-1.61,2.014,0.019,0.022,2567.0,1563.0,1.0
0.213,0.956,-1.599,1.972,0.02,0.021,2262.0,1371.0,1.0
0.216,0.952,-1.622,1.913,0.017,0.02,3086.0,1686.0,1.0
0.227,0.949,-1.495,2.119,0.016,0.023,3499.0,1057.0,1.0
0.121,0.985,-1.709,1.99,0.019,0.024,2760.0,1204.0,1.0
0.111,0.921,-1.697,1.791,0.016,0.02,3189.0,1650.0,1.0
0.072,0.96,-1.725,1.942,0.017,0.021,2992.0,1670.0,1.0
0.048,0.962,-1.765,1.933,0.018,0.023,2684.0,1539.0,1.0
0.158,0.958,-1.569,1.944,0.017,0.021,3259.0,1474.0,1.0
0.146,1.021,-1.642,2.193,0.017,0.023,3777.0,1518.0,1.0
0.158,0.95,-1.546,1.897,0.018,0.021,2867.0,1617.0,1.0
0.101,0.945,-1.713,1.803,0.018,0.02,2623.0,1457.0,1.0
0.183,0.969,-1.556,2.106,0.023,0.02,1806.0,1592.0,1.0
0.198,0.951,-1.527,2.069,0.021,0.021,2058.0,1372.0,1.01
0.218,0.971,-1.563,2.058,0.018,0.023,2870.0,1289.0,1.0
0.165,0.977,-1.671,1.875,0.02,0.02,2418.0,1592.0,1.0
0.107,0.983,-1.714,1.955,0.018,0.023,2985.0,1475.0,1.0
0.191,0.966,-1.653,1.89,0.019,0.022,2721.0,1570.0,1.0
0.071,0.991,-1.779,1.887,0.02,0.021,2356.0,1465.0,1.0
0.061,0.968,-1.74,1.732,0.019,0.022,2528.0,1518.0,1.0
0.093,1.009,-1.76,2.028,0.02,0.023,2620.0,1452.0,1.0
0.022,0.94,-1.694,1.759,0.017,0.021,2898.0,1728.0,1.0
0.0,0.965,-1.896,1.738,0.017,0.024,3379.0,1605.0,1.0
-0.069,0.979,-1.923,1.737,0.017,0.024,3388.0,1467.0,1.0
-0.101,0.974,-1.921,1.752,0.021,0.026,2029.0,1418.0,1.0
-0.094,0.964,-1.832,1.731,0.018,0.022,3049.0,1705.0,1.01
-0.032,0.995,-1.927,1.783,0.019,0.022,2843.0,1675.0,1.0
-0.069,0.971,-1.812,1.789,0.017,0.024,3243.0,1591.0,1.0
-0.126,0.972,-1.976,1.693,0.017,0.023,3365.0,1439.0,1.0
-0.145,0.983,-2.058,1.57,0.02,0.022,2423.0,1522.0,1.0
