mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-3.424,0.929,-5.227,-1.821,0.023,0.016,1694.0,1299.0,1.0
-0.406,0.964,-2.262,1.38,0.023,0.019,1796.0,1488.0,1.01
0.883,0.744,-0.522,2.269,0.015,0.012,2610.0,1320.0,1.0
2.447,0.643,1.254,3.624,0.016,0.012,1630.0,1473.0,1.0
1.359,0.437,0.517,2.131,0.016,0.012,734.0,1200.0,1.0
0.679,0.305,0.155,1.258,0.011,0.008,758.0,926.0,1.0
0.371,0.232,-0.086,0.788,0.006,0.005,1847.0,1345.0,1.0
0.777,0.245,0.364,1.259,0.011,0.008,540.0,778.0,1.0
1.03,0.243,0.554,1.44,0.014,0.01,318.0,658.0,1.01
0.891,0.204,0.528,1.276,0.011,0.008,329.0,616.0,1.01
0.88,0.19,0.532,1.228,0.012,0.008,259.0,586.0,1.01
0.825,0.175,0.516,1.156,0.011,0.007,272.0,474.0,1.01
0.683,0.149,0.425,0.965,0.009,0.006,266.0,548.0,1.01
0.598,0.13,0.349,0.834,0.008,0.006,269.0,570.0,1.01
0.588,0.127,0.357,0.83,0.007,0.005,293.0,539.0,1.01
0.487,0.11,0.291,0.7,0.006,0.004,295.0,535.0,1.01
0.418,0.097,0.244,0.599,0.005,0.004,357.0,596.0,1.01
0.288,0.076,0.155,0.438,0.004,0.003,392.0,705.0,1.01
-0.085,0.06,-0.198,0.026,0.001,0.001,1860.0,1154.0,1.0
-0.003,1.013,-1.826,1.931,0.016,0.026,3887.0,1403.0,1.0
-0.025,1.023,-1.822,1.997,0.015,0.029,4372.0,1416.0,1.0
0.041,0.994,-1.829,1.857,0.015,0.026,4521.0,1195.0,1.0
0.089,0.94,-1.575,1.879,0.015,0.022,3833.0,1618.0,1.0
0.004,0.998,-1.731,2.009,0.016,0.024,3817.0,1425.0,1.01
0.028,0.924,-1.739,1.79,0.016,0.022,3340.0,1521.0,1.0
0.114,0.967,-1.758,1.796,0.016,0.023,3591.0,1439.0,1.0
0.208,0.994,-1.443,2.389,0.017,0.028,3520.0,1207.0,1.0
0.284,0.979,-1.498,2.165,0.018,0.021,2977.0,1519.0,1.0
0.336,0.985,-1.484,2.114,0.017,0.023,3296.0,1296.0,1.0
0.332,0.97,-1.553,2.015,0.015,0.022,4267.0,1511.0,1.0
0.185,0.989,-1.792,1.926,0.015,0.021,4366.0,1597.0,1.0
0.157,0.98,-1.782,1.916,0.014,0.025,5076.0,1459.0,1.0
0.135,0.999,-1.748,1.967,0.017,0.027,3415.0,1493.0,1.01
0.028,0.94,-1.724,1.828,0.016,0.024,3521.0,1300.0,1.0
0.015,0.97,-1.73,1.909,0.015,0.026,4134.0,1549.0,1.0
-0.052,0.974,-1.84,1.797,0.015,0.024,4333.0,1590.0,1.0
-0.082,1.011,-1.993,1.757,0.015,0.025,4563.0,1715.0,1.0
-0.153,0.949,-1.884,1.744,0.016,0.022,3723.0,1549.0,1.0
-0.1,0.983,-2.004,1.664,0.015,0.025,4486.0,1533.0,1.0
-0.117,0.999,-1.866,1.796,0.015,0.029,4329.0,1359.0,1.0
-0.155,0.942,-1.879,1.656,0.014,0.022,4705.0,1611.0,1.0
-0.182,0.978,-1.981,1.707,0.015,0.024,4330.0,1458.0,1.0
-0.235,0.952,-1.928,1.554,0.016,0.021,3669.0,1672.0,1.0
-0.215,0.984,-2.113,1.531,0.016,0.023,3756.0,1455.0,1.0
-0.195,1.025,-2.228,1.504,0.017,0.025,3789.0,1283.0,1.0
-0.155,0.958,-1.856,1.706,0.013,0.023,5454.0,1724.0,1.0
-0.094,0.974,-1.931,1.63,0.016,0.024,3712.0,1525.0,1.0
0.008,0.974,-1.839,1.785,0.015,0.023,4174.0,1378.0,1.0
0.082,0.933,-1.665,1.799,0.015,0.02,3923.0,1689.0,1.0
0.047,0.992,-1.741,1.969,0.016,0.023,3697.0,1540.0,1.0
0.111,0.976,-1.794,1.819,0.015,0.024,4049.0,1338.0,1.0
0.178,0.984,-1.715,1.982,0.016,0.023,3776.0,1323.0,1.0
0.187,0.986,-1.606,2.115,0.015,0.027,4134.0,1259.0,1.0
0.256,0.963,-1.5,2.165,0.016,0.021,3694.0,1568.0,1.0
0.295,0.964,-1.463,2.177,0.018,0.026,3084.0,1108.0,1.0
0.211,0.966,-1.601,1.957,0.013,0.022,5276.0,1502.0,1.0
0.281,0.971,-1.425,2.182,0.018,0.023,2909.0,1349.0,1.0
0.163,0.966,-1.709,1.923,0.016,0.023,3555.0,1479.0,1.0
0.122,0.929,-1.581,1.907,0.014,0.022,4134.0,1455.0,1.0
0.146,0.961,-1.661,1.929,0.014,0.025,4526.0,1382.0,1.01
0.154,0.962,-1.461,2.091,0.015,0.023,4157.0,1591.0,1.0
0.121,0.974,-1.66,2.015,0.017,0.022,3059.0,1612.0,1.01
0.142,0.942,-1.712,1.839,0.016,0.021,3408.0,1521.0,1.0
0.146,0.99,-1.814,1.875,0.015,0.025,4213.0,1447.0,1.0
