|Value|CT|Gender|20_24|25_29|30_34|35_39|40_44|45_49|50_54|55_59|60_64|65_69|70_74|75_79|80_84|85+|
|--|--|--|--|--|--|--|--|--|--|--|--|--|--|--|--|--|
|lower|breast|Men|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|real|breast|Men|0|0|1|0|3|1|2|12|7|16|21|11|15|7|
|mean|breast|Men|0|0|0|0|0|0|1|3|5|7|11|9|6|6|
|upper|breast|Men|0|0|0|1|3|3|5|12|15|19|26|22|15|13|
|lower|breast|Women|0|9|67|166|339|555|613|689|744|836|951|768|527|479|
|real|breast|Women|5|65|131|302|604|951|1127|1203|1200|1474|1664|1027|803|771|
|mean|breast|Women|2|35|132|284|555|901|993|1092|1190|1347|1490|1207|824|766|
|upper|breast|Women|7|60|198|402|771|1247|1374|1495|1637|1857|2028|1645|1122|1054|
|lower|OSC|Men|0|0|0|0|0|3|17|51|117|235|499|806|752|915|
|real|OSC|Men|1|1|3|4|12|29|70|131|207|391|893|1474|1432|1722|
|mean|OSC|Men|0|1|2|4|11|24|53|115|221|426|892|1385|1286|1524|
|upper|OSC|Men|2|5|9|13|24|45|88|180|325|617|1285|1964|1820|2133|
|lower|OSC|Women|0|0|0|0|0|9|30|59|96|168|318|487|457|806|
|real|OSC|Women|2|3|1|5|12|40|101|151|213|364|651|981|869|1601|
|mean|OSC|Women|0|1|4|8|18|40|77|131|195|326|575|883|823|1457|
|upper|OSC|Women|2|5|13|19|35|72|125|202|294|484|833|1279|1188|2108|
|lower|uterus|Women|0|8|28|31|36|48|71|94|105|128|162|158|110|100|
|real|uterus|Women|3|31|76|69|79|84|135|176|215|220|303|292|195|183|
|mean|uterus|Women|6|35|72|77|81|103|141|182|195|235|287|278|193|177|
|upper|uterus|Women|16|62|116|123|127|158|212|270|284|341|411|399|276|254|
|lower|colon|Men|0|0|0|4|16|37|77|138|207|311|447|527|369|266|
|real|colon|Men|5|14|19|24|56|85|161|213|401|481|741|798|556|462|
|mean|colon|Men|2|6|14|25|47|85|150|246|356|522|733|864|597|439|
|upper|colon|Men|8|16|29|46|77|132|222|355|504|733|1018|1201|825|611|
|lower|colon|Women|0|0|0|3|14|36|74|117|165|241|346|439|353|348|
|real|colon|Women|6|6|24|26|38|94|155|207|284|429|591|671|619|601|
|mean|colon|Women|4|6|12|23|42|82|140|212|284|411|569|702|569|576|
|upper|colon|Women|11|16|27|43|70|127|207|306|403|580|792|965|785|804|
|lower|UT|Men|0|0|0|0|0|4|18|49|92|172|275|353|242|200|
|real|UT|Men|2|1|3|8|6|24|68|103|156|283|450|628|456|330|
|mean|UT|Men|0|1|2|5|11|26|54|106|174|300|478|597|413|332|
|upper|UT|Men|1|5|8|14|24|49|89|162|256|428|680|841|584|465|
|lower|UT|Women|0|0|0|0|0|0|1|10|26|43|73|90|67|69|
|real|UT|Women|0|1|0|2|4|10|11|41|79|101|162|200|150|147|
|mean|UT|Women|0|0|0|1|3|8|19|39|66|97|149|181|132|134|
|upper|UT|Women|0|1|2|5|10|20|37|68|106|150|225|272|198|198|
|lower|melanoma|Men|0|0|6|16|29|55|80|108|123|155|205|227|158|135|
|real|melanoma|Men|5|14|24|39|78|117|203|247|261|320|432|475|283|232|
|mean|melanoma|Men|7|17|34|52|74|119|166|216|239|286|375|412|284|239|
|upper|melanoma|Men|16|34|62|89|120|183|252|325|356|418|544|598|411|343|
|lower|melanoma|Women|0|6|20|34|58|83|98|102|100|113|144|153|97|115|
|real|melanoma|Women|13|31|50|78|102|171|200|216|199|231|306|310|174|220|
|mean|melanoma|Women|14|34|60|83|120|167|194|201|191|215|267|278|180|206|
|upper|melanoma|Women|28|61|101|131|183|251|291|300|282|317|389|403|264|297|
|lower|lung|Men|0|0|0|0|0|1|12|40|87|168|262|299|168|86|
|real|lung|Men|0|1|7|4|5|18|40|71|126|270|383|540|312|144|
|mean|lung|Men|0|0|1|3|8|19|44|92|167|305|459|515|289|151|
|upper|lung|Men|0|1|5|10|19|38|76|143|248|442|656|731|410|216|
|lower|lung|Women|0|0|0|0|0|5|20|54|113|196|315|306|158|96|
|real|lung|Women|0|2|3|6|10|28|54|117|190|369|529|590|314|161|
|mean|lung|Women|0|0|1|4|11|27|57|120|222|370|562|549|284|179|
|upper|lung|Women|0|2|5|11|25|49|94|185|332|544|810|791|409|262|
|lower|brain|Men|0|0|1|5|8|14|21|26|32|32|33|27|12|5|
|real|brain|Men|15|14|18|30|32|44|50|77|73|77|86|83|25|9|
|mean|brain|Men|12|18|25|29|35|47|61|70|78|79|80|66|31|17|
|upper|brain|Men|25|37|49|53|61|81|101|114|124|127|127|104|49|29|
|lower|brain|Women|0|0|1|5|10|20|25|30|34|37|40|29|13|7|
|real|brain|Women|5|19|20|30|40|65|48|70|61|77|89|96|28|17|
|mean|brain|Women|7|14|22|27|39|60|70|79|82|86|93|70|33|24|
|upper|brain|Women|17|29|43|50|68|100|114|127|130|134|146|111|54|41|
|lower|esophagus|Men|0|0|0|0|0|0|0|3|11|22|31|32|19|13|
|real|esophagus|Men|0|2|0|1|2|1|16|27|42|63|85|85|50|27|
|mean|esophagus|Men|0|0|0|0|0|4|11|25|40|59|80|77|45|31|
|upper|esophagus|Men|0|0|0|1|3|11|25|48|69|96|128|122|72|49|
|lower|esophagus|Women|0|0|0|0|0|0|0|0|0|0|2|5|4|4|
|real|esophagus|Women|0|0|0|0|0|0|2|9|14|23|24|35|25|24|
|mean|esophagus|Women|0|0|0|0|0|0|2|7|11|18|26|29|19|21|
|upper|esophagus|Women|0|0|0|0|1|3|7|18|24|36|51|52|35|38|
|lower|kidney|Men|0|0|0|0|1|9|22|36|49|63|88|87|42|20|
|real|kidney|Men|0|4|5|10|23|36|79|91|102|134|193|185|94|26|
|mean|kidney|Men|0|1|2|10|21|40|66|90|112|136|178|178|87|45|
|upper|kidney|Men|1|6|9|23|41|71|111|144|175|209|269|270|132|70|
|lower|kidney|Women|0|0|0|0|0|0|5|12|17|24|37|42|24|15|
|real|kidney|Women|0|0|3|1|10|12|35|41|47|81|108|87|72|35|
|mean|kidney|Women|0|0|1|2|7|14|28|44|52|66|91|98|58|42|
|upper|kidney|Women|1|2|5|8|18|30|51|76|86|108|145|154|92|69|
|lower|liver|Men|0|0|0|0|0|0|5|19|42|59|70|64|40|22|
|real|liver|Men|1|0|4|5|5|15|19|49|88|121|178|187|95|33|
|mean|liver|Men|0|0|1|1|6|13|30|61|97|126|151|144|84|48|
|upper|liver|Men|0|2|7|7|17|29|55|103|152|193|232|223|128|75|
|lower|liver|Women|0|0|0|0|0|0|0|4|12|25|42|48|36|29|
|real|liver|Women|1|1|0|0|5|12|17|33|41|74|87|121|83|47|
|mean|liver|Women|0|0|0|0|3|8|15|28|43|66|99|110|78|68|
|upper|liver|Women|0|1|2|4|9|19|31|53|74|108|156|172|119|106|
|lower|OEG|Men|0|0|0|0|0|2|7|11|12|16|17|17|6|1|
|real|OEG|Men|11|7|13|13|24|17|44|42|48|59|66|51|23|6|
|mean|OEG|Men|4|9|16|17|21|25|36|45|45|51|55|50|21|10|
|upper|OEG|Men|13|22|33|36|42|48|66|78|77|85|92|84|36|18|
|lower|OEG|Women|0|4|5|8|10|14|22|25|22|24|28|21|8|1|
|real|OEG|Women|13|19|21|35|34|42|71|86|94|87|82|90|35|10|
|mean|OEG|Women|17|30|35|37|42|49|66|70|62|64|71|58|25|13|
|upper|OEG|Women|34|55|65|66|75|83|111|115|103|105|114|95|43|24|
|lower|HL|Men|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|real|HL|Men|15|6|6|6|9|4|7|3|3|6|11|10|6|3|
|mean|HL|Men|9|10|10|8|7|5|6|6|6|7|8|6|3|2|
|upper|HL|Men|21|24|24|20|18|15|15|16|16|16|19|16|8|5|
|lower|HL|Women|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|real|HL|Women|9|8|12|4|7|3|5|3|3|9|8|5|4|3|
