|Value|CT|Gender|20_24|25_29|30_34|35_39|40_44|45_49|50_54|55_59|60_64|65_69|70_74|75_79|80_84|85+|
|--|--|--|--|--|--|--|--|--|--|--|--|--|--|--|--|--|
|lower|breast|Men|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|mean|breast|Men|0|0|0|0|0|0|1|3|5|8|11|10|7|6|
|upper|breast|Men|0|0|0|1|2|2|5|11|14|19|26|24|15|13|
|lower|breast|Women|0|8|67|166|341|573|629|699|757|833|932|801|540|492|
|mean|breast|Women|2|34|138|295|572|932|1013|1133|1200|1343|1468|1271|872|791|
|upper|breast|Women|7|59|210|423|803|1290|1397|1567|1643|1854|2004|1740|1203|1090|
|lower|OSC|Men|0|0|0|0|0|3|17|50|109|227|490|823|802|902|
|mean|OSC|Men|0|1|2|5|11|24|52|116|221|426|865|1458|1399|1597|
|upper|OSC|Men|2|5|9|14|25|45|86|181|334|626|1239|2093|1997|2291|
|lower|OSC|Women|0|0|0|0|0|9|27|60|94|165|299|509|473|819|
|mean|OSC|Women|0|1|4|8|18|39|75|135|199|329|559|933|893|1506|
|upper|OSC|Women|2|5|13|20|36|69|124|210|304|493|818|1357|1313|2194|
|lower|uterus|Women|0|8|27|33|38|49|72|96|104|130|152|158|114|102|
|mean|uterus|Women|6|33|73|80|84|103|141|186|194|231|272|282|199|177|
|upper|uterus|Women|16|59|119|127|129|157|210|275|284|332|391|407|284|252|
|lower|colon|Men|0|0|0|3|16|38|80|145|213|314|444|542|393|275|
|mean|colon|Men|2|6|14|25|48|85|155|257|364|529|723|887|636|452|
|upper|colon|Men|8|15|30|47|80|131|231|370|514|744|1002|1233|879|628|
|lower|colon|Women|0|0|0|3|14|36|75|121|166|244|338|435|367|357|
|mean|colon|Women|4|6|13|23|43|82|142|220|284|412|560|719|600|583|
|upper|colon|Women|11|15|28|44|71|129|209|318|402|580|781|1003|833|808|
|lower|UT|Men|0|0|0|0|0|3|18|49|89|167|264|359|262|203|
|mean|UT|Men|0|1|2|5|11|26|54|106|172|297|465|619|443|344|
|upper|UT|Men|1|5|8|14|25|48|89|163|254|426|666|879|624|486|
|lower|UT|Women|0|0|0|0|0|0|0|10|26|43|72|93|74|69|
|mean|UT|Women|0|0|0|1|3|8|18|40|67|98|148|187|142|137|
|upper|UT|Women|0|1|2|5|10|20|37|69|109|153|224|281|210|206|
|lower|melanoma|Men|0|0|5|16|29|51|79|114|127|156|189|232|163|138|
|mean|melanoma|Men|6|16|34|51|76|116|164|227|247|293|361|433|303|248|
|upper|melanoma|Men|17|34|63|87|123|182|250|340|368|430|533|634|443|359|
|lower|melanoma|Women|0|7|19|32|55|79|100|103|98|111|137|155|102|110|
|mean|melanoma|Women|13|32|60|83|118|163|197|208|195|213|260|291|193|210|
|upper|melanoma|Women|28|56|101|133|181|248|295|313|293|316|384|427|284|309|
|lower|lung|Men|0|0|0|0|0|1|13|41|82|162|248|302|174|87|
|mean|lung|Men|0|0|1|3|8|20|43|92|161|296|436|527|306|155|
|upper|lung|Men|0|2|5|10|19|38|73|144|240|430|625|752|438|223|
|lower|lung|Women|0|0|0|0|0|4|19|53|109|192|294|312|170|99|
|mean|lung|Women|0|0|1|4|11|27|55|117|218|364|532|584|313|187|
|upper|lung|Women|0|2|5|11|25|49|92|182|327|536|771|856|455|275|
|lower|brain|Men|0|0|1|5|8|13|21|27|30|32|31|28|12|6|
|mean|brain|Men|12|17|26|29|34|47|62|73|78|79|78|70|32|18|
|upper|brain|Men|25|35|50|54|61|81|104|119|125|126|124|111|52|31|
|lower|brain|Women|0|0|1|4|12|21|26|31|33|36|38|31|12|7|
|mean|brain|Women|8|13|23|29|40|59|73|84|83|86|90|74|35|25|
|upper|brain|Women|19|28|46|53|69|97|119|136|132|135|142|117|58|43|
|lower|esophagus|Men|0|0|0|0|0|0|0|3|10|21|31|34|20|13|
|mean|esophagus|Men|0|0|0|0|0|4|11|26|40|60|78|81|49|32|
|upper|esophagus|Men|0|0|0|1|3|11|24|48|70|99|125|128|78|51|
|lower|esophagus|Women|0|0|0|0|0|0|0|0|0|0|2|5|4|4|
|mean|esophagus|Women|0|0|0|0|0|0|2|7|11|18|25|31|21|21|
|upper|esophagus|Women|0|0|0|0|1|2|7|19|24|36|49|57|38|38|
|lower|kidney|Men|0|0|0|0|1|11|24|35|49|63|82|92|45|21|
|mean|kidney|Men|0|1|3|10|22|40|69|94|115|139|173|185|96|47|
|upper|kidney|Men|1|5|10|23|43|70|113|153|181|214|264|279|146|73|
|lower|kidney|Women|0|0|0|0|0|0|5|12|17|25|37|42|25|15|
|mean|kidney|Women|0|0|1|2|8|14|29|46|52|67|90|99|61|43|
|upper|kidney|Women|1|2|5|9|18|30|53|81|88|109|143|155|98|71|
|lower|liver|Men|0|0|0|0|0|0|4|20|39|56|68|67|40|22|
|mean|liver|Men|0|0|1|2|7|14|31|63|97|133|155|155|91|51|
|upper|liver|Men|0|2|7|8|17|30|58|107|155|209|241|242|141|80|
|lower|liver|Women|0|0|0|0|0|0|0|4|12|23|38|47|35|29|
|mean|liver|Women|0|0|0|1|3|7|15|29|42|65|95|114|83|69|
|upper|liver|Women|0|1|2|4|9|19|31|54|73|106|152|182|132|110|
|lower|OEG|Men|0|0|0|0|0|2|7|10|12|16|17|16|6|2|
|mean|OEG|Men|4|9|16|18|22|26|37|46|46|51|54|52|23|10|
|upper|OEG|Men|13|21|36|38|43|49|67|82|79|85|90|89|40|18|
|lower|OEG|Women|0|4|7|8|11|13|23|25|23|23|24|23|8|1|
|mean|OEG|Women|18|29|37|39|44|51|69|73|65|65|68|62|27|12|
|upper|OEG|Women|35|54|67|70|77|88|116|121|107|107|112|101|47|24|
|lower|HL|Men|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|mean|HL|Men|9|9|10|8|7|6|6|6|6|7|7|7|4|2|
|upper|HL|Men|22|23|25|20|19|16|16|16|16|17|18|16|9|5|
|lower|HL|Women|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
|mean|HL|Women|9|8|9|5|4|3|3|3|3|4|4|3|3|2|
|upper|HL|Women|22|20|22|15|12|10|10|10|10|11|12|11|8|6|
|lower|MM|Men|0|0|0|0|0|0|0|5|14|23|34|44|29|18|
|mean|MM|Men|0|0|0|0|3|8|18|31|46|62|83|102|68|42|
|upper|MM|Men|0|0|1|4|10|19|35|57|77|100|133|160|106|65|
|lower|MM|Women|0|0|0|0|0|0|0|1|5|13|21|27|20|13|
|mean|MM|Women|0|0|0|0|2|5|10|21|28|42|58|69|49|38|
|upper|MM|Women|0|0|0|1|7|13|23|41|50|71|96|111|79|63|
|lower|NHL|Men|0|0|0|0|2|7|16|29|41|64|84|113|81|53|
|mean|NHL|Men|3|4|8|14|22|33|52|79|97|136|180|228|158|108|
|upper|NHL|Men|9|13|21|29|41|60|88|129|153|207|275|343|234|162|
|lower|NHL|Women|0|0|0|0|0|1|8|16|26|37|54|72|54|48|
|mean|NHL|Women|1|3|6|8|12|22|35|53|68|94|125|159|114|104|
|upper|NHL|Women|5|10|17|21|26|42|62|91|111|151|196|246|173|160|
|lower|ovarian|Women|0|0|0|0|1|10|19|28|32|39|46|47|25|15|
|mean|ovarian|Women|3|5|8|12|21|36|54|71|76|88|100|98|56|38|
|upper|ovarian|Women|9|14|20|26|40|62|89|113|121|136|154|150|86|61|
|lower|pancreas|Men|0|0|0|0|0|0|2|12|26|47|69|79|43|22|
|mean|pancreas|Men|0|0|0|0|2|9|23|47|70|108|151|170|93|51|
|upper|pancreas|Men|0|0|1|3|9|21|44|82|115|169|233|262|142|79|
|lower|pancreas|Women|0|0|0|0|0|0|1|9|22|41|63|80|50|36|
|mean|pancreas|Women|0|0|0|0|2|8|21|39|65|98|140|172|107|84|
|upper|pancreas|Women|0|0|1|3|9|20|41|69|107|155|217|263|165|132|
|lower|stomach|Men|0|0|0|0|0|0|0|8|15|29|43|53|37|29|
