mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.244,1.608,-7.505,-1.414,0.044,0.031,1342.0,1208.0,1.01
-0.871,0.919,-2.667,0.826,0.02,0.017,2125.0,1588.0,1.0
-0.456,0.847,-2.053,1.078,0.017,0.017,2493.0,1459.0,1.0
-0.217,0.852,-1.747,1.453,0.016,0.018,2809.0,1572.0,1.0
-0.058,0.867,-1.858,1.391,0.016,0.019,3092.0,1511.0,1.0
0.152,0.851,-1.47,1.723,0.018,0.018,2279.0,1393.0,1.0
0.322,0.863,-1.31,1.946,0.019,0.018,1989.0,1621.0,1.0
0.658,0.842,-0.945,2.16,0.02,0.015,1855.0,1791.0,1.0
1.17,0.802,-0.387,2.663,0.017,0.014,2145.0,1244.0,1.0
1.701,0.621,0.592,2.907,0.019,0.014,1051.0,1325.0,1.01
1.725,0.485,0.877,2.649,0.029,0.021,262.0,849.0,1.02
0.827,0.247,0.387,1.295,0.016,0.011,243.0,859.0,1.02
0.648,0.182,0.331,1.0,0.012,0.009,228.0,954.0,1.02
0.468,0.132,0.252,0.722,0.009,0.006,214.0,732.0,1.02
0.316,0.098,0.128,0.481,0.006,0.004,292.0,795.0,1.01
0.245,0.083,0.113,0.415,0.005,0.003,304.0,1103.0,1.02
0.101,0.055,0.009,0.218,0.002,0.001,1154.0,1096.0,1.01
0.066,0.05,-0.022,0.167,0.001,0.001,1224.0,1116.0,1.0
-0.041,0.052,-0.147,0.05,0.001,0.001,1633.0,1248.0,1.0
-0.0,1.002,-1.96,1.855,0.019,0.024,2705.0,1459.0,1.0
-0.021,0.982,-1.749,1.938,0.017,0.023,3410.0,1218.0,1.0
-0.037,0.984,-1.982,1.754,0.016,0.023,3650.0,1362.0,1.0
-0.076,0.981,-1.839,1.816,0.02,0.02,2491.0,1682.0,1.0
-0.028,0.975,-1.992,1.767,0.019,0.021,2544.0,1497.0,1.0
0.004,0.922,-1.637,1.847,0.017,0.02,2878.0,1818.0,1.0
0.063,0.982,-1.881,1.785,0.017,0.023,3408.0,1397.0,1.01
0.11,0.997,-1.672,1.993,0.02,0.022,2505.0,1572.0,1.0
0.072,0.978,-1.741,1.861,0.018,0.022,3127.0,1611.0,1.0
0.09,0.972,-1.667,2.0,0.018,0.022,3063.0,1482.0,1.0
0.111,0.968,-1.681,1.974,0.017,0.02,3107.0,1424.0,1.0
0.032,0.957,-1.744,1.785,0.017,0.021,3159.0,1710.0,1.0
0.034,1.014,-1.749,1.996,0.019,0.024,2794.0,1525.0,1.0
0.022,0.954,-1.767,1.849,0.018,0.022,2627.0,1574.0,1.0
0.022,0.971,-1.781,1.829,0.018,0.023,2748.0,1445.0,1.0
0.029,0.985,-1.732,1.879,0.017,0.024,3223.0,1660.0,1.0
-0.09,0.977,-1.972,1.649,0.02,0.021,2446.0,1650.0,1.0
-0.194,1.0,-2.055,1.742,0.017,0.023,3497.0,1365.0,1.0
-0.195,0.962,-2.0,1.569,0.019,0.021,2644.0,1541.0,1.0
-0.232,1.004,-1.956,1.799,0.019,0.022,2655.0,1625.0,1.0
-0.151,0.982,-1.88,1.675,0.017,0.023,3498.0,1756.0,1.0
-0.16,0.983,-1.959,1.75,0.017,0.022,3216.0,1436.0,1.0
-0.145,1.022,-2.073,1.788,0.02,0.024,2541.0,1303.0,1.0
-0.18,1.002,-2.179,1.57,0.022,0.021,2101.0,1538.0,1.0
-0.122,1.0,-1.887,1.834,0.019,0.024,2787.0,1409.0,1.0
-0.036,0.967,-1.801,1.798,0.019,0.03,2655.0,1485.0,1.0
0.064,1.02,-1.794,2.033,0.018,0.023,3212.0,1600.0,1.0
0.033,1.007,-1.722,1.9,0.02,0.024,2645.0,1423.0,1.0
0.076,0.936,-1.722,1.792,0.018,0.023,2666.0,1322.0,1.0
0.094,0.948,-1.608,1.851,0.018,0.022,2672.0,1301.0,1.0
0.088,0.983,-1.705,1.872,0.018,0.021,3124.0,1407.0,1.0
0.057,0.963,-1.878,1.759,0.019,0.021,2672.0,1540.0,1.0
0.03,0.98,-1.74,1.84,0.017,0.026,3271.0,1448.0,1.0
0.052,1.011,-1.847,1.901,0.018,0.023,3039.0,1653.0,1.0
-0.028,1.001,-1.967,1.779,0.019,0.022,2662.0,1539.0,1.0
-0.091,0.971,-1.91,1.759,0.019,0.023,2659.0,1460.0,1.0
