mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.34,1.603,-7.335,-1.376,0.028,0.021,3143.0,1516.0,1.0
-0.819,0.952,-2.482,1.037,0.015,0.016,3918.0,1502.0,1.0
-0.468,0.892,-1.99,1.303,0.012,0.019,5623.0,1488.0,1.0
-0.246,0.938,-1.9,1.695,0.014,0.025,4654.0,1148.0,1.0
-0.09,0.869,-1.625,1.615,0.013,0.02,4322.0,1593.0,1.01
0.055,0.846,-1.466,1.751,0.012,0.02,4694.0,1536.0,1.0
0.211,0.885,-1.426,1.928,0.013,0.021,4419.0,1619.0,1.0
0.395,0.889,-1.283,2.043,0.013,0.018,4412.0,1541.0,1.0
0.678,0.875,-1.104,2.175,0.014,0.017,3900.0,1292.0,1.0
1.18,0.783,-0.232,2.674,0.012,0.011,4136.0,1455.0,1.0
1.624,0.664,0.503,2.929,0.015,0.011,2173.0,1729.0,1.0
1.351,0.5,0.49,2.301,0.015,0.011,1110.0,1524.0,1.0
1.102,0.337,0.484,1.699,0.012,0.008,833.0,1665.0,1.0
0.404,0.159,0.134,0.693,0.005,0.003,1212.0,1499.0,1.0
0.488,0.161,0.218,0.793,0.005,0.004,942.0,1469.0,1.0
0.315,0.122,0.114,0.56,0.004,0.003,1096.0,1379.0,1.0
0.246,0.102,0.069,0.445,0.003,0.002,1419.0,1344.0,1.0
0.143,0.083,-0.004,0.301,0.002,0.002,1604.0,1506.0,1.0
0.099,0.077,-0.033,0.259,0.002,0.002,2332.0,1391.0,1.0
-0.036,0.998,-1.838,1.84,0.014,0.026,4976.0,1506.0,1.0
0.239,1.005,-1.715,2.056,0.013,0.026,5743.0,1449.0,1.0
0.167,0.942,-1.544,2.008,0.013,0.025,5472.0,1485.0,1.0
-0.139,0.971,-2.003,1.66,0.014,0.025,4835.0,1274.0,1.0
-0.172,0.98,-1.966,1.766,0.014,0.025,4645.0,1377.0,1.0
-0.195,0.956,-1.981,1.566,0.014,0.026,4385.0,1347.0,1.0
-0.127,0.967,-1.904,1.702,0.013,0.027,5263.0,1442.0,1.0
0.056,0.987,-1.737,1.826,0.015,0.029,4386.0,1531.0,1.0
-0.023,1.002,-1.721,1.909,0.015,0.03,4566.0,950.0,1.01
0.077,0.994,-1.968,1.882,0.014,0.032,4876.0,965.0,1.0
