mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.42,1.105,-1.638,2.469,0.033,0.025,1105.0,1082.0,1.0
0.083,0.918,-1.648,1.815,0.026,0.02,1290.0,1313.0,1.0
-2.055,0.48,-2.957,-1.215,0.031,0.022,279.0,508.0,1.02
-1.353,0.581,-2.486,-0.346,0.017,0.013,1239.0,1241.0,1.0
-0.459,0.702,-1.816,0.783,0.018,0.014,1444.0,1126.0,1.01
0.702,0.668,-0.539,1.968,0.017,0.014,1531.0,1179.0,1.0
1.915,0.564,0.854,2.896,0.017,0.013,1072.0,1485.0,1.0
0.601,0.331,-0.007,1.199,0.013,0.01,684.0,655.0,1.01
1.313,0.328,0.716,1.918,0.02,0.014,275.0,655.0,1.01
0.836,0.215,0.481,1.266,0.015,0.011,235.0,537.0,1.03
0.656,0.159,0.383,0.957,0.01,0.008,251.0,689.0,1.02
0.552,0.133,0.311,0.792,0.01,0.007,239.0,623.0,1.02
0.407,0.104,0.221,0.601,0.007,0.005,263.0,621.0,1.02
0.384,0.097,0.213,0.558,0.007,0.005,225.0,476.0,1.02
0.277,0.075,0.143,0.412,0.004,0.003,311.0,676.0,1.02
0.215,0.065,0.106,0.345,0.003,0.002,400.0,694.0,1.01
0.1,0.052,0.006,0.205,0.002,0.001,733.0,1143.0,1.01
-0.095,0.052,-0.193,-0.001,0.002,0.001,1051.0,1166.0,1.01
-0.335,0.086,-0.492,-0.179,0.006,0.004,248.0,746.0,1.02
0.01,0.945,-1.805,1.703,0.018,0.024,2753.0,1449.0,1.0
0.271,0.91,-1.508,1.882,0.019,0.019,2190.0,1006.0,1.0
0.326,0.91,-1.481,1.91,0.019,0.019,2378.0,1443.0,1.0
0.752,0.859,-0.855,2.333,0.016,0.015,2891.0,1436.0,1.0
0.495,0.849,-1.029,2.144,0.019,0.016,2045.0,1640.0,1.0
0.125,0.893,-1.603,1.752,0.021,0.022,1832.0,1335.0,1.0
0.222,0.885,-1.413,1.807,0.018,0.019,2358.0,1628.0,1.0
0.242,0.845,-1.358,1.78,0.02,0.018,1861.0,1375.0,1.0
0.359,0.887,-1.366,1.965,0.019,0.021,2170.0,1067.0,1.0
0.484,0.838,-1.178,2.051,0.018,0.016,2175.0,1333.0,1.0
0.537,0.842,-1.068,2.059,0.017,0.015,2359.0,1562.0,1.0
0.21,0.862,-1.499,1.747,0.02,0.018,1798.0,1342.0,1.0
0.19,0.877,-1.389,1.895,0.019,0.019,2138.0,1511.0,1.0
0.038,0.852,-1.586,1.604,0.018,0.019,2387.0,1441.0,1.0
-0.084,0.847,-1.655,1.562,0.018,0.018,2325.0,1537.0,1.0
-0.135,0.855,-1.711,1.431,0.02,0.018,1872.0,1562.0,1.01
-0.48,0.903,-2.083,1.273,0.021,0.018,1929.0,1224.0,1.0
-0.364,0.858,-2.012,1.184,0.02,0.019,1902.0,1201.0,1.0
-0.635,0.854,-2.228,0.974,0.018,0.015,2197.0,1056.0,1.0
-0.494,0.843,-2.291,0.889,0.019,0.018,2078.0,1358.0,1.0
-0.519,0.862,-2.142,1.134,0.018,0.017,2287.0,1507.0,1.0
-0.66,0.857,-2.238,0.974,0.018,0.016,2215.0,1646.0,1.0
-0.452,0.873,-2.153,1.104,0.019,0.017,2116.0,1451.0,1.0
-0.59,0.873,-2.18,1.092,0.02,0.017,1864.0,1565.0,1.0
-0.717,0.907,-2.405,1.053,0.021,0.019,1833.0,1408.0,1.0
-0.953,0.854,-2.736,0.505,0.019,0.017,2140.0,1203.0,1.0
-0.865,0.91,-2.453,0.964,0.023,0.018,1507.0,1345.0,1.0
-0.731,0.909,-2.631,0.807,0.021,0.018,1825.0,927.0,1.0
-0.377,0.883,-1.927,1.425,0.018,0.018,2449.0,1384.0,1.0
-0.286,0.858,-1.819,1.34,0.019,0.019,1954.0,1377.0,1.0
-0.328,0.842,-1.902,1.22,0.019,0.02,1989.0,1464.0,1.01
-0.101,0.881,-1.757,1.523,0.021,0.019,1769.0,1143.0,1.0
-0.378,0.891,-2.091,1.229,0.021,0.021,1878.0,1165.0,1.0
