mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.878,1.033,-1.089,2.845,0.027,0.021,1439.0,1491.0,1.0
0.134,0.928,-1.714,1.812,0.024,0.019,1542.0,1488.0,1.01
-2.041,0.463,-2.863,-1.167,0.02,0.014,522.0,1091.0,1.0
-1.867,0.577,-2.972,-0.82,0.014,0.01,1755.0,1690.0,1.0
-0.152,0.67,-1.391,1.091,0.015,0.014,1913.0,1497.0,1.0
0.272,0.682,-0.984,1.56,0.013,0.014,2759.0,1602.0,1.0
0.954,0.63,-0.2,2.157,0.012,0.01,2715.0,1511.0,1.0
1.215,0.499,0.315,2.211,0.012,0.01,1672.0,1412.0,1.0
1.05,0.358,0.405,1.706,0.012,0.009,934.0,1096.0,1.0
1.177,0.29,0.677,1.724,0.012,0.008,615.0,1299.0,1.0
0.625,0.168,0.309,0.914,0.007,0.005,626.0,1220.0,1.0
0.686,0.159,0.401,0.979,0.007,0.005,504.0,1106.0,1.0
0.505,0.121,0.291,0.722,0.005,0.004,566.0,1175.0,1.0
0.353,0.094,0.179,0.529,0.004,0.003,711.0,1335.0,1.0
0.264,0.079,0.12,0.411,0.003,0.002,716.0,1146.0,1.0
0.281,0.078,0.138,0.421,0.003,0.002,734.0,1159.0,1.0
0.095,0.059,-0.015,0.206,0.002,0.001,1313.0,923.0,1.0
-0.119,0.06,-0.238,-0.013,0.002,0.001,1466.0,1189.0,1.0
-0.385,0.095,-0.564,-0.225,0.004,0.003,556.0,1096.0,1.0
0.023,0.957,-1.644,1.924,0.016,0.024,3588.0,1202.0,1.0
-0.256,0.912,-2.038,1.377,0.017,0.02,2947.0,1554.0,1.0
0.079,0.924,-1.608,1.932,0.018,0.022,2733.0,1340.0,1.0
0.349,0.938,-1.399,2.06,0.017,0.02,2945.0,1585.0,1.0
0.212,0.909,-1.429,1.95,0.016,0.022,3295.0,1398.0,1.0
0.241,0.901,-1.502,1.844,0.016,0.02,3148.0,1489.0,1.0
-0.056,0.88,-1.748,1.54,0.018,0.021,2346.0,1500.0,1.0
0.242,0.871,-1.316,1.923,0.015,0.022,3307.0,1373.0,1.0
0.352,0.915,-1.449,1.986,0.018,0.02,2621.0,1436.0,1.0
0.545,0.882,-1.071,2.123,0.016,0.016,3028.0,1614.0,1.0
0.272,0.875,-1.363,1.907,0.015,0.021,3240.0,1190.0,1.0
0.412,0.897,-1.307,2.072,0.015,0.023,3692.0,1328.0,1.0
0.396,0.888,-1.241,2.067,0.015,0.019,3348.0,1361.0,1.0
0.413,0.884,-1.141,2.147,0.017,0.018,2678.0,1523.0,1.0
0.098,0.939,-1.61,1.83,0.016,0.022,3353.0,1476.0,1.01
0.027,0.904,-1.666,1.698,0.016,0.02,3091.0,1597.0,1.0
-0.178,0.918,-1.813,1.617,0.016,0.022,3083.0,1278.0,1.0
-0.152,0.894,-1.803,1.572,0.017,0.019,2680.0,1456.0,1.0
