mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-1.573,1.176,-3.787,0.547,0.032,0.023,1322.0,1146.0,1.0
-0.324,0.907,-2.041,1.348,0.022,0.017,1702.0,1491.0,1.0
-1.897,0.65,-3.062,-0.669,0.013,0.01,2655.0,1500.0,1.0
-0.645,0.774,-2.121,0.782,0.015,0.013,2629.0,1494.0,1.0
-0.034,0.751,-1.483,1.344,0.013,0.016,3180.0,1523.0,1.0
0.578,0.758,-0.822,1.953,0.013,0.014,3345.0,1747.0,1.0
1.534,0.679,0.271,2.808,0.012,0.01,3254.0,1707.0,1.0
1.393,0.517,0.472,2.343,0.019,0.014,780.0,1231.0,1.0
0.394,0.323,-0.169,1.025,0.011,0.009,1022.0,842.0,1.0
1.305,0.372,0.674,2.011,0.02,0.014,348.0,848.0,1.01
0.749,0.229,0.358,1.188,0.013,0.009,321.0,530.0,1.01
0.774,0.214,0.385,1.178,0.013,0.009,271.0,605.0,1.01
0.662,0.179,0.36,1.009,0.011,0.008,266.0,523.0,1.01
0.521,0.143,0.284,0.802,0.009,0.006,270.0,509.0,1.01
0.4,0.115,0.198,0.611,0.007,0.005,281.0,422.0,1.01
0.348,0.101,0.181,0.546,0.006,0.004,309.0,644.0,1.0
0.211,0.074,0.078,0.347,0.004,0.003,379.0,606.0,1.01
0.072,0.052,-0.014,0.179,0.001,0.001,1529.0,1340.0,1.0
-0.167,0.069,-0.292,-0.042,0.003,0.002,520.0,790.0,1.01
-0.024,0.999,-1.855,1.876,0.017,0.024,3399.0,1603.0,1.0
0.537,0.9,-1.159,2.19,0.015,0.017,3668.0,1704.0,1.0
0.685,0.903,-1.088,2.305,0.016,0.018,3129.0,1348.0,1.0
0.806,0.864,-0.81,2.303,0.015,0.015,3294.0,1316.0,1.0
0.547,0.838,-0.948,2.14,0.015,0.016,3074.0,1522.0,1.0
0.661,0.843,-0.823,2.268,0.015,0.015,3202.0,1500.0,1.0
0.674,0.845,-0.975,2.177,0.014,0.016,3664.0,1621.0,1.0
0.582,0.845,-0.975,2.152,0.015,0.016,3218.0,1584.0,1.0
0.685,0.827,-0.887,2.224,0.014,0.015,3311.0,1524.0,1.0
0.855,0.871,-0.729,2.526,0.016,0.015,3087.0,1378.0,1.0
0.512,0.835,-1.12,2.045,0.016,0.018,2747.0,1327.0,1.0
0.738,0.829,-0.808,2.28,0.016,0.014,2738.0,1719.0,1.0
0.569,0.819,-0.957,2.044,0.014,0.015,3203.0,1610.0,1.0
0.392,0.846,-1.062,2.101,0.014,0.02,3739.0,1292.0,1.0
0.042,0.816,-1.537,1.532,0.012,0.019,4425.0,1362.0,1.0
-0.052,0.845,-1.747,1.439,0.014,0.024,3459.0,1179.0,1.0
-0.065,0.822,-1.574,1.452,0.014,0.019,3454.0,1540.0,1.0
-0.053,0.824,-1.577,1.473,0.016,0.021,2642.0,1450.0,1.0
-0.171,0.835,-1.639,1.478,0.015,0.018,2927.0,1358.0,1.0
-0.313,0.848,-1.85,1.313,0.014,0.018,3843.0,1371.0,1.0
-0.494,0.832,-2.136,0.961,0.013,0.015,4316.0,1704.0,1.0
-0.33,0.828,-1.845,1.245,0.012,0.015,4576.0,1862.0,1.0
-0.672,0.795,-2.079,0.908,0.014,0.014,3001.0,1418.0,1.0
-0.454,0.835,-1.957,1.115,0.015,0.017,3100.0,1356.0,1.0
-0.385,0.806,-1.923,1.082,0.014,0.015,3160.0,1727.0,1.0
-0.596,0.852,-2.076,1.112,0.015,0.016,3229.0,1340.0,1.0
-0.354,0.836,-1.816,1.273,0.014,0.016,3418.0,1822.0,1.0
-0.444,0.844,-2.044,1.111,0.014,0.019,3696.0,1466.0,1.0
-0.368,0.899,-2.052,1.344,0.016,0.02,3296.0,1540.0,1.0
-0.703,0.822,-2.172,0.873,0.012,0.015,4389.0,1376.0,1.0
-0.617,0.855,-2.11,1.133,0.013,0.015,4022.0,1772.0,1.0
-0.605,0.842,-2.13,0.942,0.013,0.016,4002.0,1773.0,1.0
-0.266,0.897,-1.981,1.286,0.016,0.021,3139.0,1387.0,1.01
-0.641,0.877,-2.328,0.88,0.014,0.016,3812.0,1432.0,1.0
-0.288,0.833,-1.786,1.327,0.014,0.018,3436.0,1624.0,1.0
-0.489,0.847,-2.086,1.025,0.013,0.017,4133.0,1694.0,1.0
-0.489,0.822,-1.909,1.122,0.014,0.017,3365.0,1616.0,1.0
-0.524,0.873,-2.065,1.238,0.014,0.017,4018.0,1518.0,1.01
0.328,0.853,-1.241,1.909,0.014,0.018,3865.0,1733.0,1.01
0.543,0.849,-1.025,2.156,0.015,0.016,3018.0,1473.0,1.0
0.549,0.855,-0.946,2.183,0.014,0.018,3909.0,1522.0,1.0
0.729,0.827,-0.797,2.313,0.015,0.015,3021.0,1589.0,1.0
0.503,0.862,-1.034,2.154,0.015,0.017,3494.0,1480.0,1.0
0.716,0.824,-0.86,2.199,0.014,0.014,3524.0,1379.0,1.0
0.253,0.834,-1.342,1.85,0.014,0.017,3575.0,1625.0,1.0
0.231,0.811,-1.244,1.83,0.013,0.018,3807.0,1584.0,1.0
0.261,0.816,-1.204,1.862,0.013,0.018,3917.0,1610.0,1.01
0.146,0.802,-1.302,1.729,0.015,0.018,2892.0,1448.0,1.0
0.047,0.842,-1.64,1.545,0.014,0.019,3464.0,1735.0,1.0
-0.48,0.842,-1.928,1.213,0.015,0.016,3348.0,1566.0,1.0
-0.603,0.878,-2.284,1.054,0.014,0.021,4115.0,1192.0,1.0
-0.31,0.902,-2.068,1.302,0.013,0.02,4676.0,1358.0,1.0
0.014,1.024,-1.824,1.964,0.019,0.025,3065.0,1496.0,1.0
-0.017,1.001,-1.894,1.795,0.015,0.027,4641.0,1100.0,1.01
-0.064,0.962,-1.776,1.771,0.014,0.025,4605.0,1558.0,1.0
-0.253,0.915,-1.876,1.511,0.012,0.021,5604.0,1428.0,1.01
-0.327,0.909,-2.025,1.341,0.015,0.021,3807.0,1617.0,1.0
-0.777,0.922,-2.525,0.835,0.015,0.016,3993.0,1373.0,1.0
-0.897,0.924,-2.691,0.785,0.016,0.018,3404.0,1307.0,1.01
-0.986,0.901,-2.784,0.544,0.015,0.015,3444.0,1491.0,1.0
-0.369,0.918,-2.191,1.295,0.016,0.02,3151.0,1403.0,1.0
-0.498,0.906,-2.294,1.106,0.017,0.018,2988.0,1462.0,1.0
-0.638,0.885,-2.241,1.039,0.017,0.018,2867.0,1399.0,1.01
-0.993,0.928,-2.756,0.7,0.016,0.018,3354.0,1240.0,1.01
-0.826,0.903,-2.469,0.929,0.015,0.015,3844.0,1459.0,1.0
-0.578,0.889,-2.115,1.232,0.016,0.017,3083.0,1457.0,1.0
-0.38,0.884,-1.974,1.324,0.016,0.018,3013.0,1434.0,1.0
-0.408,0.886,-2.006,1.251,0.015,0.018,3585.0,1664.0,1.0
-0.599,0.859,-2.214,0.978,0.014,0.016,3719.0,1286.0,1.0
-0.619,0.873,-2.131,1.07,0.015,0.016,3367.0,1510.0,1.0
-0.681,0.875,-2.281,1.0,0.015,0.016,3564.0,1645.0,1.0
-0.63,0.917,-2.317,1.064,0.015,0.02,3466.0,1214.0,1.0
-0.419,0.902,-2.225,1.159,0.016,0.02,3321.0,1378.0,1.0
-0.464,0.882,-2.139,1.135,0.014,0.017,3616.0,1810.0,1.0
-0.641,0.903,-2.353,1.037,0.015,0.016,3545.0,1353.0,1.0
-0.451,0.867,-2.085,1.136,0.015,0.019,3595.0,1403.0,1.0
-0.645,0.871,-2.187,1.039,0.014,0.016,4120.0,1469.0,1.0
-0.502,0.895,-2.219,1.093,0.013,0.019,4698.0,1605.0,1.0
-0.507,0.834,-2.148,1.027,0.014,0.016,3572.0,1563.0,1.0
-0.229,0.89,-1.887,1.415,0.017,0.025,2839.0,1197.0,1.0
-0.276,0.851,-1.783,1.377,0.014,0.021,3545.0,1514.0,1.0
-0.683,0.835,-2.37,0.805,0.014,0.015,3472.0,1574.0,1.0
-0.215,0.808,-1.61,1.377,0.015,0.019,2819.0,1284.0,1.0
-0.283,0.851,-1.756,1.436,0.016,0.018,2693.0,1289.0,1.0
-0.348,0.839,-2.066,1.115,0.014,0.016,3677.0,1637.0,1.0
-0.091,0.862,-1.629,1.556,0.014,0.019,3736.0,1439.0,1.0
-0.313,0.871,-1.882,1.414,0.015,0.023,3188.0,1272.0,1.0
-0.082,0.823,-1.617,1.471,0.016,0.019,2519.0,1332.0,1.0
-0.252,0.852,-1.803,1.335,0.013,0.021,4523.0,1405.0,1.0
-0.207,0.854,-1.901,1.305,0.016,0.018,2722.0,1491.0,1.0
-0.52,0.886,-2.263,1.096,0.014,0.018,4053.0,1405.0,1.0
0.106,0.877,-1.425,1.799,0.015,0.021,3301.0,1416.0,1.0
0.133,0.894,-1.529,1.723,0.015,0.022,3785.0,1555.0,1.0
0.021,0.867,-1.671,1.627,0.015,0.02,3282.0,1510.0,1.0
0.434,0.874,-1.252,1.998,0.015,0.02,3631.0,1280.0,1.0
0.11,0.879,-1.551,1.789,0.014,0.022,4092.0,1534.0,1.0
0.108,0.87,-1.54,1.682,0.014,0.02,3623.0,1553.0,1.0
-0.011,0.845,-1.662,1.546,0.013,0.021,4272.0,1398.0,1.0
0.084,0.833,-1.553,1.549,0.014,0.019,3666.0,1782.0,1.0
-0.308,0.855,-1.994,1.253,0.015,0.018,3237.0,1606.0,1.0
-0.121,0.825,-1.726,1.347,0.014,0.018,3389.0,1415.0,1.0
-0.292,0.821,-1.799,1.276,0.013,0.018,3980.0,1368.0,1.0
-0.194,0.851,-1.721,1.444,0.014,0.018,3522.0,1611.0,1.0
0.12,0.815,-1.322,1.761,0.015,0.017,2913.0,1770.0,1.0
0.324,0.887,-1.328,1.973,0.014,0.022,4048.0,1554.0,1.0
0.467,0.849,-1.045,2.167,0.015,0.016,3311.0,1608.0,1.0
0.221,0.878,-1.521,1.745,0.015,0.02,3540.0,1342.0,1.0
0.036,0.834,-1.538,1.606,0.014,0.02,3429.0,1421.0,1.0
0.166,0.85,-1.473,1.742,0.014,0.019,3669.0,1413.0,1.0
0.009,0.831,-1.579,1.526,0.014,0.018,3249.0,1526.0,1.0
0.016,0.852,-1.626,1.572,0.014,0.02,3752.0,1657.0,1.01
-0.067,0.845,-1.653,1.51,0.014,0.018,3465.0,1919.0,1.0
0.506,0.879,-1.203,2.107,0.017,0.016,2729.0,1422.0,1.0
0.239,0.855,-1.32,1.84,0.015,0.019,3292.0,1453.0,1.0
