mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-2.082,1.072,-4.152,-0.111,0.024,0.017,1991.0,1541.0,1.0
-0.299,0.935,-1.938,1.46,0.017,0.018,3049.0,1666.0,1.0
-1.284,0.759,-2.779,0.053,0.012,0.011,4134.0,1122.0,1.0
-0.469,0.789,-1.958,0.963,0.014,0.016,3482.0,1574.0,1.0
0.078,0.811,-1.468,1.527,0.014,0.019,3147.0,1428.0,1.0
0.67,0.816,-0.799,2.284,0.013,0.015,3814.0,1354.0,1.0
0.757,0.742,-0.719,2.105,0.015,0.016,2393.0,1447.0,1.01
1.591,0.617,0.524,2.785,0.013,0.011,2410.0,1313.0,1.0
1.334,0.507,0.423,2.259,0.017,0.013,972.0,1067.0,1.0
1.275,0.39,0.624,2.056,0.017,0.012,551.0,1139.0,1.0
1.129,0.301,0.607,1.695,0.014,0.01,455.0,1009.0,1.0
0.797,0.215,0.4,1.186,0.01,0.007,468.0,925.0,1.01
0.727,0.187,0.403,1.089,0.009,0.006,412.0,788.0,1.01
0.589,0.154,0.304,0.87,0.007,0.005,431.0,971.0,1.01
0.507,0.133,0.267,0.757,0.006,0.005,425.0,916.0,1.01
0.434,0.119,0.224,0.666,0.005,0.004,482.0,1012.0,1.01
0.277,0.09,0.122,0.447,0.004,0.003,532.0,1279.0,1.0
0.141,0.072,0.0,0.27,0.002,0.002,1260.0,1313.0,1.0
-0.17,0.081,-0.33,-0.025,0.003,0.002,1021.0,1190.0,1.0
0.006,1.036,-2.01,1.82,0.015,0.027,4894.0,1327.0,1.0
0.225,0.9,-1.464,1.895,0.014,0.021,4448.0,1693.0,1.0
0.672,0.863,-1.071,2.234,0.013,0.016,4663.0,1583.0,1.01
0.377,0.822,-1.231,1.858,0.014,0.018,3601.0,1601.0,1.0
0.606,0.838,-0.817,2.294,0.012,0.014,4703.0,1799.0,1.0
0.592,0.825,-0.947,2.109,0.013,0.014,4203.0,1531.0,1.0
0.801,0.841,-0.776,2.364,0.014,0.018,3413.0,1268.0,1.0
0.547,0.84,-1.027,2.158,0.013,0.019,4189.0,1198.0,1.0
0.253,0.852,-1.215,1.881,0.012,0.022,4968.0,1442.0,1.0
0.323,0.81,-1.162,1.89,0.012,0.019,4262.0,1437.0,1.0
0.251,0.83,-1.326,1.863,0.013,0.024,3939.0,1216.0,1.0
0.126,0.788,-1.342,1.624,0.012,0.017,4276.0,1736.0,1.0
0.214,0.814,-1.337,1.704,0.012,0.018,4559.0,1548.0,1.0
0.236,0.802,-1.378,1.669,0.013,0.018,3802.0,1403.0,1.0
-0.1,0.824,-1.553,1.537,0.012,0.019,4472.0,1838.0,1.0
-0.019,0.845,-1.563,1.503,0.013,0.019,3996.0,1615.0,1.01
-0.135,0.822,-1.796,1.301,0.014,0.019,3541.0,1430.0,1.0
-0.138,0.802,-1.644,1.353,0.014,0.018,3434.0,1679.0,1.01
-0.221,0.82,-1.726,1.328,0.012,0.019,4597.0,1454.0,1.0
-0.503,0.831,-2.13,1.044,0.013,0.016,4279.0,1521.0,1.0
-0.725,0.8,-2.153,0.759,0.012,0.012,4371.0,1921.0,1.0
-0.757,0.838,-2.379,0.785,0.012,0.014,4836.0,1753.0,1.01
-0.619,0.846,-2.164,0.976,0.014,0.015,3648.0,1420.0,1.0
-0.645,0.821,-2.305,0.716,0.013,0.017,4002.0,1389.0,1.0
-0.766,0.845,-2.275,0.863,0.014,0.015,3443.0,1429.0,1.01
-1.085,0.85,-2.73,0.359,0.013,0.012,4234.0,1438.0,1.0
-0.825,0.812,-2.45,0.628,0.012,0.015,4181.0,1529.0,1.01
-0.891,0.863,-2.467,0.691,0.013,0.015,4185.0,1243.0,1.0
