mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-3.872,1.361,-6.524,-1.551,0.042,0.03,1034.0,1189.0,1.0
-0.649,0.935,-2.431,1.128,0.029,0.021,1018.0,1266.0,1.0
-0.248,0.854,-1.859,1.323,0.02,0.017,1795.0,1467.0,1.0
0.113,0.842,-1.547,1.584,0.022,0.017,1412.0,1625.0,1.0
0.455,0.86,-1.075,2.181,0.024,0.02,1333.0,1048.0,1.0
1.014,0.788,-0.447,2.468,0.021,0.015,1376.0,1583.0,1.0
1.377,0.707,0.055,2.717,0.021,0.015,1183.0,1206.0,1.0
1.55,0.516,0.651,2.609,0.025,0.018,440.0,977.0,1.01
1.436,0.378,0.772,2.137,0.022,0.016,279.0,899.0,1.02
0.954,0.238,0.514,1.386,0.017,0.012,201.0,578.0,1.03
0.875,0.202,0.513,1.261,0.015,0.01,188.0,507.0,1.03
0.783,0.178,0.449,1.107,0.013,0.009,182.0,460.0,1.03
0.665,0.151,0.399,0.942,0.011,0.008,190.0,454.0,1.03
0.574,0.131,0.326,0.801,0.009,0.007,188.0,510.0,1.03
0.448,0.105,0.264,0.646,0.008,0.005,196.0,483.0,1.03
0.304,0.077,0.166,0.443,0.005,0.004,224.0,663.0,1.03
0.155,0.055,0.055,0.249,0.003,0.002,358.0,714.0,1.01
-0.073,0.049,-0.159,0.022,0.002,0.001,956.0,1080.0,1.0
-0.399,0.098,-0.58,-0.223,0.006,0.005,222.0,581.0,1.02
-0.005,0.996,-1.822,1.878,0.023,0.021,1849.0,1580.0,1.0
0.403,0.933,-1.276,2.23,0.02,0.019,2109.0,1557.0,1.0
0.547,0.914,-1.125,2.293,0.02,0.017,2082.0,1571.0,1.0
0.67,0.879,-1.045,2.304,0.02,0.016,1923.0,1399.0,1.0
0.503,0.9,-1.221,2.153,0.021,0.018,1783.0,1589.0,1.0
0.424,0.932,-1.405,2.089,0.022,0.02,1865.0,1344.0,1.0
0.497,0.855,-1.015,2.166,0.02,0.016,1857.0,1463.0,1.0
0.28,0.896,-1.348,1.977,0.019,0.019,2312.0,1545.0,1.0
0.353,0.877,-1.234,2.124,0.021,0.017,1713.0,1482.0,1.0
0.144,0.885,-1.553,1.749,0.02,0.019,1922.0,1606.0,1.0
0.428,0.883,-1.214,2.12,0.02,0.019,1923.0,1403.0,1.0
0.276,0.883,-1.372,1.965,0.019,0.02,2139.0,1584.0,1.0
0.102,0.893,-1.692,1.62,0.022,0.019,1637.0,1306.0,1.0
-0.181,0.868,-1.959,1.295,0.02,0.018,1949.0,1465.0,1.0
-0.303,0.913,-1.986,1.424,0.021,0.018,1927.0,1367.0,1.01
-0.44,0.875,-2.156,1.09,0.02,0.016,1959.0,1480.0,1.0
-0.511,0.894,-2.19,1.187,0.02,0.017,2005.0,1356.0,1.0
-0.548,0.842,-2.199,0.959,0.02,0.016,1760.0,1224.0,1.0
-0.633,0.87,-2.19,0.957,0.019,0.015,2025.0,1662.0,1.0
-0.596,0.866,-2.18,1.081,0.021,0.017,1686.0,1397.0,1.0
-0.606,0.909,-2.396,0.95,0.021,0.018,1883.0,1501.0,1.0
-0.82,0.861,-2.436,0.759,0.019,0.015,1960.0,1721.0,1.0
-0.715,0.882,-2.426,0.869,0.021,0.015,1784.0,1433.0,1.0
-0.75,0.894,-2.454,0.875,0.018,0.015,2401.0,1625.0,1.0
-0.684,0.887,-2.258,1.035,0.019,0.015,2278.0,1815.0,1.0
-0.866,0.888,-2.518,0.805,0.022,0.017,1624.0,1418.0,1.0
-0.692,0.892,-2.332,1.0,0.02,0.017,1930.0,1527.0,1.0
-0.402,0.886,-2.11,1.198,0.02,0.017,2064.0,1592.0,1.0
-0.276,0.919,-2.141,1.303,0.023,0.02,1577.0,1183.0,1.0
-0.264,0.879,-1.82,1.413,0.02,0.018,1975.0,1270.0,1.0
-0.061,0.866,-1.721,1.43,0.02,0.017,1948.0,1434.0,1.0
0.127,0.872,-1.346,1.871,0.02,0.018,1973.0,1544.0,1.0
0.095,0.93,-1.637,1.855,0.021,0.023,1936.0,1517.0,1.0
0.018,0.894,-1.687,1.67,0.021,0.02,1788.0,1402.0,1.0
0.212,0.905,-1.342,2.008,0.024,0.019,1408.0,1394.0,1.0
-0.069,0.895,-1.724,1.642,0.024,0.018,1395.0,1543.0,1.0
-0.39,0.879,-2.126,1.185,0.022,0.016,1648.0,1658.0,1.0
-0.234,0.906,-1.92,1.465,0.021,0.021,1948.0,1344.0,1.0
-0.078,0.885,-1.7,1.596,0.021,0.02,1836.0,1510.0,1.0
0.023,0.907,-1.604,1.78,0.022,0.019,1724.0,1426.0,1.0
0.242,0.91,-1.338,2.043,0.021,0.02,1938.0,1581.0,1.0
0.041,0.903,-1.684,1.704,0.019,0.019,2147.0,1622.0,1.0
-0.17,0.907,-1.821,1.593,0.021,0.02,1873.0,1470.0,1.0
-0.227,0.911,-1.885,1.495,0.023,0.021,1624.0,1202.0,1.0
-0.126,0.936,-1.872,1.678,0.021,0.021,1915.0,1541.0,1.0
-0.072,0.919,-1.694,1.703,0.023,0.02,1633.0,1449.0,1.0
-0.157,0.906,-1.795,1.57,0.023,0.019,1589.0,1458.0,1.0
-0.058,0.901,-1.708,1.604,0.019,0.018,2215.0,1543.0,1.0
-0.115,0.87,-1.899,1.36,0.021,0.018,1705.0,1578.0,1.0
-0.427,0.96,-2.082,1.432,0.021,0.02,2052.0,1509.0,1.0
-0.425,0.906,-2.05,1.267,0.019,0.016,2203.0,1541.0,1.0
-0.402,0.947,-1.971,1.443,0.02,0.019,2142.0,1591.0,1.0
0.026,0.992,-1.817,1.942,0.022,0.024,2016.0,1156.0,1.0
0.024,0.965,-1.753,1.847,0.022,0.02,2001.0,1522.0,1.0
0.065,0.974,-1.807,1.77,0.02,0.022,2338.0,1163.0,1.0
0.019,0.966,-1.804,1.782,0.019,0.022,2476.0,1384.0,1.0
0.076,0.924,-1.663,1.797,0.019,0.021,2442.0,1590.0,1.0
0.044,0.915,-1.532,1.87,0.021,0.02,1930.0,1515.0,1.0
-0.203,0.979,-2.082,1.581,0.022,0.021,1936.0,1229.0,1.0
-0.061,0.97,-1.93,1.663,0.021,0.022,2230.0,1284.0,1.0
0.188,0.931,-1.543,1.941,0.022,0.019,1797.0,1609.0,1.0
0.419,0.93,-1.268,2.224,0.02,0.018,2199.0,1624.0,1.0
0.296,0.914,-1.359,2.079,0.023,0.019,1579.0,1520.0,1.0
0.429,0.952,-1.399,2.212,0.023,0.022,1744.0,1498.0,1.0
0.067,0.927,-1.652,1.811,0.022,0.018,1777.0,1651.0,1.0
0.224,0.917,-1.421,1.983,0.021,0.022,1971.0,1479.0,1.0
0.18,0.908,-1.48,1.958,0.022,0.019,1731.0,1508.0,1.0
0.093,0.888,-1.592,1.749,0.019,0.019,2113.0,1457.0,1.0
0.193,0.891,-1.435,1.855,0.02,0.018,1924.0,1653.0,1.0
-0.148,0.865,-1.639,1.55,0.022,0.019,1620.0,1366.0,1.0
0.231,0.895,-1.509,1.879,0.023,0.019,1541.0,1382.0,1.0
-0.175,0.883,-1.811,1.492,0.023,0.019,1430.0,1295.0,1.0
-0.262,0.916,-2.007,1.384,0.026,0.021,1192.0,1064.0,1.0
-0.186,0.902,-1.791,1.63,0.019,0.019,2315.0,1330.0,1.0
-0.312,0.871,-1.842,1.435,0.018,0.019,2269.0,1353.0,1.0
-0.107,0.857,-1.792,1.472,0.02,0.018,1861.0,1345.0,1.0
-0.384,0.883,-2.07,1.201,0.021,0.017,1771.0,1631.0,1.0
-0.315,0.882,-1.981,1.305,0.021,0.018,1758.0,1444.0,1.0
-0.251,0.843,-1.835,1.313,0.02,0.017,1755.0,1466.0,1.0
-0.076,0.88,-1.738,1.6,0.02,0.018,1836.0,1526.0,1.0
0.004,0.846,-1.414,1.728,0.018,0.019,2186.0,1596.0,1.0
-0.081,0.864,-1.748,1.491,0.023,0.018,1418.0,1407.0,1.0
0.027,0.871,-1.553,1.728,0.019,0.021,2089.0,1606.0,1.0
0.008,0.843,-1.615,1.518,0.018,0.017,2079.0,1542.0,1.0
0.105,0.878,-1.586,1.713,0.02,0.018,1942.0,1462.0,1.0
0.152,0.873,-1.435,1.841,0.019,0.017,2147.0,1585.0,1.0
0.368,0.856,-1.152,2.001,0.019,0.017,2028.0,1593.0,1.0
0.435,0.84,-1.256,1.889,0.021,0.017,1648.0,1381.0,1.0
0.47,0.862,-1.112,2.107,0.02,0.017,1801.0,1604.0,1.0
0.385,0.87,-1.271,2.006,0.024,0.017,1347.0,1509.0,1.0
0.322,0.846,-1.28,1.883,0.021,0.016,1674.0,1508.0,1.0
0.35,0.859,-1.246,1.957,0.018,0.017,2294.0,1649.0,1.0
0.449,0.843,-1.214,1.969,0.021,0.017,1660.0,1597.0,1.0
0.313,0.869,-1.307,1.942,0.022,0.017,1516.0,1444.0,1.0
0.189,0.855,-1.355,1.816,0.021,0.018,1714.0,1470.0,1.0
0.251,0.854,-1.384,1.815,0.021,0.018,1706.0,1559.0,1.0
0.088,0.854,-1.484,1.703,0.022,0.019,1543.0,1531.0,1.0
0.149,0.847,-1.55,1.627,0.021,0.017,1585.0,1467.0,1.0
0.33,0.826,-1.158,1.927,0.019,0.015,1837.0,1691.0,1.0
0.157,0.857,-1.423,1.746,0.023,0.018,1399.0,1277.0,1.0
0.451,0.872,-1.159,2.111,0.021,0.019,1789.0,1446.0,1.0
0.229,0.857,-1.302,1.912,0.022,0.018,1579.0,1490.0,1.0
0.017,0.856,-1.553,1.632,0.022,0.018,1530.0,1306.0,1.0
0.174,0.876,-1.511,1.795,0.022,0.018,1583.0,1492.0,1.0
0.029,0.846,-1.653,1.537,0.021,0.018,1694.0,1475.0,1.0
-0.042,0.831,-1.553,1.523,0.018,0.016,2082.0,1676.0,1.0
-0.218,0.853,-1.746,1.469,0.02,0.017,1770.0,1518.0,1.0
