mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.758,1.305,-6.955,-2.048,0.039,0.027,1150.0,1176.0,1.0
-0.699,0.952,-2.399,1.162,0.023,0.018,1653.0,1793.0,1.0
-0.247,0.824,-1.799,1.207,0.016,0.016,2682.0,1767.0,1.0
0.082,0.846,-1.469,1.664,0.018,0.02,2259.0,1383.0,1.01
0.512,0.795,-1.044,1.897,0.017,0.016,2157.0,1594.0,1.0
1.056,0.766,-0.35,2.548,0.015,0.012,2775.0,1730.0,1.0
1.666,0.637,0.531,2.833,0.016,0.013,1714.0,1530.0,1.0
1.169,0.486,0.282,2.075,0.023,0.016,466.0,983.0,1.01
1.452,0.406,0.734,2.207,0.028,0.02,215.0,417.0,1.02
1.268,0.318,0.686,1.877,0.025,0.018,160.0,597.0,1.03
0.957,0.232,0.537,1.386,0.018,0.013,165.0,503.0,1.03
0.729,0.176,0.409,1.057,0.014,0.01,155.0,466.0,1.03
0.622,0.152,0.358,0.922,0.012,0.008,162.0,543.0,1.03
0.591,0.143,0.339,0.879,0.011,0.008,163.0,481.0,1.03
0.448,0.113,0.255,0.67,0.008,0.006,176.0,739.0,1.03
0.337,0.093,0.173,0.521,0.007,0.005,185.0,581.0,1.02
0.157,0.061,0.053,0.274,0.003,0.002,389.0,646.0,1.01
-0.029,0.055,-0.13,0.074,0.001,0.001,1846.0,1221.0,1.01
-0.357,0.101,-0.542,-0.172,0.007,0.005,218.0,704.0,1.02
0.001,1.021,-1.823,2.044,0.018,0.029,3162.0,1167.0,1.0
0.266,1.003,-1.648,2.052,0.019,0.026,2876.0,1337.0,1.0
0.539,0.928,-1.279,2.222,0.016,0.019,3203.0,1276.0,1.0
0.638,0.949,-1.103,2.466,0.019,0.02,2521.0,1327.0,1.0
0.696,0.9,-0.99,2.333,0.016,0.017,3264.0,1485.0,1.0
0.536,0.917,-1.153,2.271,0.018,0.018,2565.0,1448.0,1.0
0.356,0.946,-1.417,2.174,0.018,0.02,2800.0,1640.0,1.0
0.586,0.908,-1.048,2.372,0.013,0.017,4562.0,1516.0,1.0
0.862,0.896,-0.847,2.571,0.018,0.015,2571.0,1599.0,1.01
0.828,0.939,-0.895,2.649,0.017,0.016,2953.0,1699.0,1.0
0.873,0.924,-0.955,2.519,0.02,0.016,2207.0,1658.0,1.0
0.735,0.93,-0.918,2.481,0.018,0.017,2549.0,1785.0,1.0
0.739,0.918,-0.985,2.391,0.017,0.016,2838.0,1476.0,1.0
0.562,0.865,-0.974,2.24,0.019,0.018,2107.0,1311.0,1.0
0.222,0.914,-1.52,1.83,0.02,0.018,2055.0,1426.0,1.01
0.128,0.89,-1.65,1.746,0.02,0.021,2010.0,1208.0,1.0
-0.066,0.887,-1.806,1.485,0.016,0.019,3030.0,1759.0,1.0
0.038,0.909,-1.72,1.657,0.019,0.02,2383.0,1689.0,1.0
-0.271,0.894,-1.956,1.412,0.018,0.019,2558.0,1520.0,1.0
-0.453,0.913,-2.177,1.234,0.018,0.022,2553.0,1215.0,1.01
-0.251,0.867,-1.836,1.444,0.017,0.019,2508.0,1498.0,1.0
-0.223,0.883,-1.874,1.441,0.017,0.018,2609.0,1488.0,1.0
-0.403,0.888,-2.129,1.209,0.019,0.02,2275.0,1303.0,1.0
-0.39,0.919,-2.095,1.351,0.018,0.02,2679.0,1633.0,1.0
-0.209,0.853,-1.833,1.374,0.016,0.018,2920.0,1310.0,1.0
-0.33,0.912,-1.944,1.433,0.019,0.018,2419.0,1591.0,1.0
-0.464,0.918,-2.294,1.139,0.018,0.023,2460.0,1337.0,1.0
-0.416,0.894,-2.095,1.254,0.018,0.018,2359.0,1440.0,1.0
-0.198,0.903,-1.925,1.478,0.019,0.019,2256.0,1810.0,1.0
0.093,0.899,-1.579,1.779,0.017,0.022,2670.0,1632.0,1.0
0.173,0.938,-1.55,1.971,0.017,0.021,3031.0,1620.0,1.0
0.303,0.906,-1.274,2.082,0.019,0.018,2236.0,1533.0,1.0
0.177,0.895,-1.55,1.808,0.019,0.018,2149.0,1700.0,1.0
0.209,0.929,-1.562,1.929,0.017,0.025,2858.0,1362.0,1.0
0.369,0.89,-1.295,2.007,0.017,0.018,2659.0,1652.0,1.0
0.283,0.908,-1.309,2.068,0.017,0.02,2918.0,1514.0,1.0
0.253,0.906,-1.449,1.937,0.019,0.017,2232.0,1763.0,1.0
