mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-5.163,1.195,-7.327,-2.858,0.031,0.022,1438.0,1116.0,1.01
-0.774,0.99,-2.633,1.072,0.024,0.019,1723.0,1538.0,1.0
0.069,0.834,-1.503,1.573,0.019,0.018,2030.0,1324.0,1.0
0.94,0.757,-0.482,2.354,0.019,0.015,1648.0,1521.0,1.0
2.828,0.643,1.694,4.052,0.023,0.016,785.0,1465.0,1.0
1.538,0.464,0.734,2.447,0.03,0.021,243.0,507.0,1.03
0.753,0.246,0.325,1.19,0.016,0.011,244.0,402.0,1.02
0.557,0.18,0.24,0.884,0.012,0.008,257.0,408.0,1.03
0.506,0.157,0.242,0.79,0.01,0.007,263.0,560.0,1.03
0.323,0.119,0.108,0.539,0.007,0.005,277.0,534.0,1.02
0.386,0.127,0.162,0.606,0.009,0.006,225.0,401.0,1.03
0.318,0.108,0.134,0.522,0.007,0.005,269.0,374.0,1.03
0.366,0.113,0.163,0.571,0.007,0.005,244.0,510.0,1.03
0.341,0.111,0.142,0.535,0.008,0.006,214.0,458.0,1.03
0.334,0.107,0.162,0.555,0.007,0.005,221.0,373.0,1.03
0.297,0.099,0.124,0.491,0.007,0.005,235.0,365.0,1.04
0.269,0.092,0.111,0.442,0.006,0.004,254.0,447.0,1.03
0.247,0.09,0.096,0.416,0.005,0.004,318.0,513.0,1.03
0.256,0.092,0.094,0.426,0.006,0.004,254.0,379.0,1.03
-0.047,0.97,-1.845,1.767,0.016,0.025,3762.0,1360.0,1.0
0.001,0.918,-1.605,1.82,0.016,0.022,3312.0,1263.0,1.0
0.388,0.867,-1.193,2.02,0.017,0.019,2546.0,1242.0,1.01
0.181,0.84,-1.32,1.767,0.016,0.018,2736.0,1491.0,1.0
0.056,0.888,-1.525,1.768,0.016,0.02,3269.0,1498.0,1.0
0.785,0.888,-0.982,2.386,0.018,0.016,2526.0,1511.0,1.0
0.749,0.871,-0.929,2.28,0.014,0.015,4002.0,1410.0,1.0
0.559,0.835,-0.999,2.166,0.015,0.014,3127.0,1559.0,1.0
0.186,0.885,-1.536,1.753,0.018,0.019,2566.0,1557.0,1.0
0.22,0.824,-1.259,1.823,0.017,0.017,2376.0,1406.0,1.0
0.972,0.86,-0.703,2.479,0.016,0.013,2899.0,1712.0,1.0
0.628,0.845,-0.753,2.349,0.015,0.015,3140.0,1464.0,1.0
0.783,0.854,-0.869,2.316,0.016,0.014,3026.0,1669.0,1.0
0.635,0.846,-0.896,2.261,0.016,0.018,2864.0,1352.0,1.0
0.604,0.835,-0.891,2.212,0.015,0.017,2917.0,1652.0,1.01
0.203,0.837,-1.276,1.773,0.014,0.017,3678.0,1715.0,1.0
0.104,0.825,-1.634,1.508,0.015,0.021,3100.0,1428.0,1.0
0.167,0.834,-1.423,1.727,0.016,0.018,2531.0,1461.0,1.0
0.326,0.849,-1.313,1.808,0.016,0.016,2786.0,1680.0,1.0
0.203,0.816,-1.265,1.838,0.016,0.016,2513.0,1664.0,1.0
0.197,0.845,-1.413,1.759,0.015,0.017,3013.0,1658.0,1.0
-0.367,0.851,-1.961,1.196,0.015,0.017,3025.0,1581.0,1.0
-0.476,0.816,-1.962,1.038,0.016,0.016,2674.0,1650.0,1.0
0.008,0.851,-1.531,1.604,0.017,0.021,2567.0,1633.0,1.0
0.109,0.845,-1.461,1.652,0.016,0.018,2834.0,1612.0,1.0
-0.121,0.826,-1.818,1.316,0.016,0.018,2745.0,1337.0,1.0
-0.244,0.837,-1.86,1.321,0.016,0.018,2678.0,1495.0,1.0
0.251,0.863,-1.354,1.835,0.02,0.019,1999.0,1273.0,1.0
-0.239,0.838,-1.774,1.335,0.015,0.021,2989.0,1573.0,1.0
-0.169,0.851,-1.737,1.4,0.018,0.017,2317.0,1588.0,1.0
0.134,0.838,-1.439,1.648,0.016,0.019,2726.0,1245.0,1.0
0.624,0.827,-0.851,2.209,0.016,0.015,2800.0,1705.0,1.0
0.55,0.843,-1.092,2.064,0.017,0.017,2377.0,1337.0,1.0
0.124,0.85,-1.435,1.773,0.016,0.018,2885.0,1688.0,1.0
0.208,0.828,-1.293,1.812,0.016,0.018,2668.0,1564.0,1.0
0.828,0.827,-0.658,2.465,0.015,0.014,3186.0,1586.0,1.0
0.711,0.836,-0.947,2.225,0.013,0.016,4030.0,1189.0,1.0
0.709,0.83,-0.849,2.289,0.015,0.016,2955.0,1576.0,1.0
1.092,0.805,-0.335,2.663,0.015,0.013,2858.0,1477.0,1.0
0.965,0.841,-0.552,2.619,0.018,0.015,2152.0,1286.0,1.0
0.845,0.793,-0.702,2.29,0.014,0.013,3080.0,1512.0,1.0
0.967,0.828,-0.595,2.493,0.016,0.014,2833.0,1446.0,1.0
0.462,0.847,-1.004,2.161,0.016,0.018,2728.0,1494.0,1.0
0.398,0.803,-1.083,1.938,0.016,0.016,2489.0,1488.0,1.0
0.935,0.821,-0.602,2.442,0.016,0.014,2803.0,1616.0,1.0
0.684,0.785,-0.674,2.222,0.015,0.014,2749.0,1422.0,1.0
0.558,0.805,-1.055,2.007,0.015,0.014,3012.0,1712.0,1.0
0.257,0.8,-1.201,1.811,0.015,0.018,2916.0,1485.0,1.0
0.397,0.831,-1.259,1.836,0.016,0.02,2602.0,1308.0,1.0
0.224,0.828,-1.222,1.833,0.014,0.017,3494.0,1513.0,1.0
0.151,0.842,-1.354,1.756,0.015,0.018,3172.0,1451.0,1.0
0.426,0.871,-1.217,2.073,0.015,0.017,3559.0,1564.0,1.0
-0.026,0.972,-1.866,1.702,0.016,0.023,3825.0,1255.0,1.0
-0.069,0.977,-1.811,1.829,0.017,0.025,3154.0,1382.0,1.01
-0.218,0.952,-1.95,1.592,0.016,0.022,3604.0,1486.0,1.0
0.127,1.012,-1.7,2.079,0.017,0.026,3446.0,1548.0,1.0
-0.482,0.967,-2.461,1.155,0.017,0.02,3308.0,1366.0,1.0
-0.581,0.959,-2.441,1.21,0.016,0.02,3740.0,1389.0,1.01
-0.217,0.972,-1.979,1.627,0.015,0.024,4167.0,1171.0,1.0
0.009,0.948,-1.901,1.7,0.017,0.026,3099.0,1385.0,1.0
-0.188,0.935,-1.827,1.678,0.018,0.021,2856.0,1478.0,1.01
-0.296,0.941,-2.045,1.561,0.015,0.024,3844.0,1336.0,1.0
-0.01,0.925,-1.774,1.639,0.017,0.021,3003.0,1445.0,1.0
0.181,0.91,-1.579,1.848,0.016,0.021,3417.0,1519.0,1.0
0.268,0.895,-1.379,1.91,0.018,0.02,2585.0,1387.0,1.0
0.468,0.931,-1.23,2.179,0.017,0.019,2947.0,1654.0,1.01
0.422,0.933,-1.43,2.089,0.016,0.019,3302.0,1445.0,1.0
0.448,0.926,-1.39,2.062,0.017,0.021,3155.0,1529.0,1.0
0.266,0.931,-1.343,2.199,0.017,0.02,2966.0,1535.0,1.0
0.503,0.872,-1.112,2.127,0.016,0.017,2901.0,1680.0,1.0
0.422,0.891,-1.097,2.179,0.019,0.019,2187.0,1052.0,1.0
0.586,0.875,-1.107,2.126,0.015,0.017,3282.0,1522.0,1.0
0.69,0.887,-0.904,2.344,0.016,0.014,3194.0,1564.0,1.0
0.679,0.896,-0.927,2.444,0.016,0.018,3184.0,1361.0,1.0
0.985,0.918,-0.667,2.728,0.017,0.015,3017.0,1491.0,1.0
0.505,0.929,-1.209,2.256,0.016,0.019,3219.0,1491.0,1.0
0.876,0.876,-0.77,2.506,0.017,0.016,2548.0,1412.0,1.0
0.723,0.899,-0.823,2.412,0.018,0.016,2548.0,1538.0,1.0
1.121,0.863,-0.492,2.742,0.016,0.013,2874.0,1440.0,1.0
0.657,0.861,-0.988,2.214,0.015,0.015,3457.0,1746.0,1.0
0.588,0.87,-1.109,2.145,0.018,0.018,2445.0,1134.0,1.0
0.611,0.863,-0.922,2.293,0.016,0.016,2812.0,1339.0,1.0
0.788,0.869,-0.899,2.39,0.016,0.014,2913.0,1690.0,1.0
1.346,0.849,-0.333,2.872,0.015,0.013,3116.0,1705.0,1.0
1.151,0.831,-0.389,2.751,0.016,0.013,2794.0,1517.0,1.0
0.665,0.83,-0.975,2.095,0.015,0.016,3239.0,1502.0,1.0
0.971,0.893,-0.802,2.574,0.016,0.016,3012.0,1580.0,1.0
0.907,0.808,-0.651,2.434,0.016,0.013,2677.0,1465.0,1.0
0.915,0.844,-0.608,2.548,0.015,0.014,3020.0,1658.0,1.0
0.657,0.856,-1.048,2.232,0.016,0.017,3049.0,1365.0,1.0
0.703,0.847,-0.85,2.316,0.014,0.015,3453.0,1533.0,1.0
0.418,0.819,-1.092,1.933,0.015,0.017,3004.0,1492.0,1.0
0.232,0.874,-1.417,1.767,0.017,0.018,2746.0,1395.0,1.0
0.435,0.816,-1.075,1.916,0.016,0.016,2729.0,1615.0,1.0
0.455,0.828,-1.142,1.993,0.014,0.017,3310.0,1513.0,1.01
0.221,0.813,-1.396,1.667,0.015,0.015,2980.0,1820.0,1.0
0.296,0.805,-1.184,1.825,0.017,0.016,2165.0,1712.0,1.0
0.248,0.842,-1.364,1.809,0.018,0.018,2219.0,1341.0,1.0
0.483,0.815,-1.0,2.061,0.014,0.015,3272.0,1760.0,1.0
0.786,0.814,-0.704,2.342,0.016,0.014,2530.0,1566.0,1.0
0.525,0.825,-0.926,2.123,0.016,0.02,2685.0,1285.0,1.0
0.326,0.785,-1.171,1.671,0.016,0.016,2573.0,1360.0,1.0
0.039,0.82,-1.483,1.59,0.015,0.018,2838.0,1331.0,1.0
0.031,0.799,-1.482,1.511,0.016,0.017,2453.0,1575.0,1.0
0.275,0.84,-1.436,1.702,0.016,0.018,2796.0,1519.0,1.0
0.386,0.805,-1.12,1.89,0.013,0.015,3564.0,1786.0,1.0
0.123,0.798,-1.339,1.602,0.016,0.018,2581.0,1618.0,1.0
0.413,0.79,-1.033,1.876,0.015,0.015,2912.0,1553.0,1.0
0.362,0.808,-1.059,1.928,0.015,0.016,2978.0,1571.0,1.01
0.11,0.825,-1.472,1.541,0.016,0.018,2747.0,1638.0,1.0
0.016,0.817,-1.472,1.537,0.016,0.02,2755.0,1435.0,1.0
0.129,0.831,-1.451,1.716,0.015,0.018,2899.0,1497.0,1.0
0.025,0.826,-1.493,1.524,0.017,0.018,2505.0,1481.0,1.0
0.24,0.837,-1.21,1.842,0.018,0.018,2264.0,1465.0,1.0
0.188,0.798,-1.266,1.701,0.016,0.017,2461.0,1549.0,1.0
0.265,0.854,-1.364,1.817,0.015,0.019,3345.0,1447.0,1.0
0.109,0.847,-1.415,1.668,0.017,0.017,2561.0,1544.0,1.0
0.297,0.853,-1.34,1.858,0.015,0.018,3031.0,1406.0,1.0
-0.06,0.856,-1.678,1.534,0.016,0.019,2862.0,1548.0,1.0
-0.419,0.858,-1.912,1.238,0.016,0.016,3017.0,1239.0,1.0
-0.298,0.822,-1.797,1.284,0.016,0.018,2611.0,1417.0,1.0
-0.125,0.821,-1.705,1.322,0.015,0.017,2883.0,1595.0,1.0
-0.111,0.868,-1.7,1.52,0.017,0.018,2601.0,1282.0,1.0
-0.074,0.86,-1.788,1.473,0.016,0.02,3021.0,1512.0,1.0
0.05,0.848,-1.459,1.708,0.017,0.019,2437.0,1466.0,1.0
0.289,0.864,-1.254,1.942,0.016,0.018,2772.0,1590.0,1.0
0.157,0.873,-1.481,1.798,0.016,0.024,3062.0,1583.0,1.01
0.047,0.865,-1.511,1.757,0.014,0.02,3581.0,1396.0,1.0
-0.021,0.89,-1.664,1.685,0.016,0.022,3184.0,1319.0,1.01
0.305,0.86,-1.466,1.807,0.016,0.024,2939.0,1370.0,1.0
0.346,0.845,-1.19,2.029,0.016,0.017,2855.0,1731.0,1.0
-0.067,0.88,-1.679,1.631,0.015,0.02,3830.0,1601.0,1.0
0.103,0.851,-1.465,1.75,0.016,0.018,2939.0,1673.0,1.0
-0.02,0.849,-1.607,1.532,0.016,0.019,2679.0,1438.0,1.0
0.225,0.883,-1.325,1.933,0.015,0.018,3371.0,1664.0,1.0
0.462,0.902,-1.258,2.102,0.018,0.019,2652.0,1543.0,1.0
0.465,0.868,-1.162,2.129,0.016,0.017,2824.0,1702.0,1.0
0.264,0.847,-1.312,1.816,0.016,0.017,2633.0,1473.0,1.0
-0.076,0.87,-1.765,1.528,0.017,0.019,2623.0,1770.0,1.0
-0.154,0.912,-1.994,1.404,0.014,0.021,4159.0,1459.0,1.0
-0.12,0.861,-1.645,1.612,0.016,0.019,2748.0,1504.0,1.0
-0.261,0.883,-1.933,1.367,0.018,0.019,2359.0,1466.0,1.0
-0.186,0.859,-1.723,1.467,0.016,0.02,3022.0,1505.0,1.01
-0.116,0.92,-1.83,1.603,0.018,0.022,2628.0,1565.0,1.01
-0.31,0.904,-2.041,1.335,0.015,0.02,3774.0,1542.0,1.0
-0.189,0.919,-1.876,1.593,0.017,0.02,2810.0,1452.0,1.01
-0.079,0.896,-1.669,1.702,0.014,0.022,4148.0,1530.0,1.0
-0.315,0.894,-1.919,1.421,0.015,0.019,3761.0,1701.0,1.0
-0.475,0.855,-2.054,1.169,0.018,0.017,2232.0,1454.0,1.0
-0.348,0.94,-2.036,1.479,0.017,0.021,3126.0,1522.0,1.0
-0.199,0.899,-1.821,1.553,0.017,0.019,2825.0,1505.0,1.0
-0.554,0.917,-2.239,1.192,0.018,0.017,2680.0,1543.0,1.0
-0.518,0.911,-2.19,1.214,0.014,0.017,4146.0,1643.0,1.0
-0.615,0.935,-2.34,1.153,0.018,0.018,2591.0,1563.0,1.0
-0.641,0.88,-2.221,1.078,0.016,0.015,3046.0,1812.0,1.0
-0.615,0.96,-2.414,1.158,0.016,0.018,3611.0,1318.0,1.0
-0.437,0.961,-2.15,1.477,0.019,0.021,2542.0,1137.0,1.0
-0.248,0.972,-2.114,1.479,0.017,0.025,3351.0,1355.0,1.0
-0.278,0.941,-2.125,1.411,0.017,0.021,3269.0,1322.0,1.0
-0.244,0.97,-2.186,1.529,0.019,0.023,2742.0,1498.0,1.0
-0.314,0.999,-2.291,1.453,0.019,0.022,2757.0,1467.0,1.0
-0.306,1.007,-2.153,1.67,0.019,0.026,2958.0,1175.0,1.0
-0.307,0.944,-2.13,1.407,0.016,0.022,3326.0,1350.0,1.0
-0.266,0.983,-2.152,1.524,0.016,0.023,4012.0,1491.0,1.0
-0.242,0.969,-1.992,1.681,0.018,0.022,2910.0,1468.0,1.0
-0.391,0.994,-2.415,1.38,0.017,0.023,3374.0,1144.0,1.0
-0.414,0.979,-2.211,1.483,0.017,0.021,3361.0,1493.0,1.0
-0.439,1.016,-2.351,1.461,0.014,0.025,4930.0,1475.0,1.01
-0.326,0.952,-2.077,1.453,0.017,0.019,3261.0,1785.0,1.0
-0.339,0.992,-2.202,1.491,0.017,0.023,3480.0,1622.0,1.0
-0.26,0.978,-2.053,1.535,0.016,0.028,3874.0,983.0,1.0
-0.119,1.008,-2.073,1.71,0.019,0.027,2803.0,1163.0,1.0
-0.105,1.0,-1.937,1.77,0.018,0.025,3200.0,1455.0,1.0
-0.106,1.037,-2.061,1.904,0.016,0.028,4376.0,1233.0,1.0
-0.073,0.989,-1.88,1.741,0.018,0.025,3069.0,1185.0,1.0
-0.026,1.004,-1.898,1.774,0.018,0.024,3043.0,1535.0,1.0
-0.035,0.995,-1.754,2.037,0.021,0.023,2323.0,1328.0,1.0
-0.038,1.012,-1.918,1.862,0.02,0.024,2468.0,1542.0,1.0
-0.055,1.01,-1.977,1.76,0.017,0.026,3442.0,1602.0,1.0
-0.062,0.972,-1.748,1.772,0.019,0.023,2758.0,1495.0,1.01
-0.005,0.981,-1.768,1.799,0.016,0.023,3564.0,1288.0,1.0
-0.03,0.982,-1.864,1.737,0.018,0.024,2872.0,1613.0,1.0
-0.021,0.991,-1.967,1.71,0.016,0.024,3752.0,1742.0,1.0
-0.01,1.002,-1.88,1.837,0.017,0.023,3492.0,1480.0,1.0
-0.038,1.015,-1.933,1.917,0.017,0.025,3475.0,1327.0,1.0
0.02,1.019,-1.794,2.03,0.019,0.023,2846.0,1730.0,1.0
0.007,0.988,-1.735,1.928,0.015,0.025,4336.0,1259.0,1.0
-0.004,0.96,-1.714,1.896,0.016,0.024,3683.0,1214.0,1.0
0.015,1.018,-1.893,1.942,0.013,0.025,5802.0,1551.0,1.0
0.013,0.977,-1.853,1.872,0.017,0.022,3148.0,1566.0,1.01
-0.005,0.965,-1.834,1.769,0.016,0.024,3465.0,1442.0,1.0
0.937,0.257,0.506,1.402,0.02,0.014,168.0,273.0,1.04
-0.769,1.015,-2.673,1.103,0.036,0.028,929.0,801.0,1.01
-0.735,1.287,-3.259,1.397,0.047,0.035,830.0,742.0,1.01
0.097,1.314,-2.256,2.672,0.042,0.031,1099.0,903.0,1.01
2.676,1.165,0.477,4.779,0.029,0.021,1571.0,947.0,1.01
4.026,1.15,1.781,6.039,0.03,0.021,1510.0,1047.0,1.01
4.686,1.148,2.423,6.7,0.029,0.021,1528.0,1074.0,1.01
5.175,1.149,3.016,7.296,0.029,0.021,1522.0,1067.0,1.01
5.62,1.147,3.489,7.752,0.029,0.021,1532.0,961.0,1.01
5.904,1.149,3.734,8.006,0.03,0.021,1515.0,959.0,1.01
6.243,1.149,4.018,8.323,0.03,0.021,1514.0,990.0,1.01
6.523,1.154,4.358,8.673,0.03,0.021,1507.0,1042.0,1.01
6.845,1.155,4.659,9.004,0.03,0.021,1494.0,1057.0,1.01
7.145,1.16,4.921,9.269,0.03,0.021,1487.0,1061.0,1.01
7.438,1.163,5.206,9.58,0.03,0.021,1488.0,1130.0,1.01
7.699,1.169,5.48,9.866,0.03,0.022,1474.0,1157.0,1.01
7.936,1.176,5.679,10.082,0.031,0.022,1471.0,1124.0,1.01
8.153,1.183,6.001,10.426,0.031,0.022,1453.0,1176.0,1.01
8.379,1.191,6.184,10.636,0.031,0.022,1432.0,1141.0,1.01
0.053,0.012,0.032,0.076,0.0,0.0,876.0,1259.0,1.0
-0.002,0.052,-0.095,0.102,0.001,0.001,3699.0,1376.0,1.0
-0.003,0.071,-0.128,0.137,0.001,0.002,3602.0,1644.0,1.0
0.019,0.082,-0.129,0.178,0.001,0.002,3656.0,1493.0,1.0
0.028,0.088,-0.132,0.202,0.001,0.002,3751.0,1544.0,1.0
0.03,0.094,-0.147,0.205,0.001,0.002,4063.0,1494.0,1.0
0.071,0.095,-0.115,0.242,0.002,0.002,3791.0,1442.0,1.0
0.111,0.098,-0.065,0.304,0.002,0.002,3014.0,1548.0,1.0
0.14,0.1,-0.034,0.34,0.002,0.002,2818.0,1643.0,1.0
0.148,0.1,-0.033,0.338,0.002,0.002,2536.0,1632.0,1.0
0.159,0.102,-0.03,0.352,0.002,0.002,2479.0,1522.0,1.0
0.21,0.108,0.016,0.414,0.002,0.002,2126.0,1537.0,1.0
0.243,0.112,0.045,0.464,0.003,0.002,1881.0,1599.0,1.0
0.284,0.116,0.055,0.494,0.003,0.002,1580.0,1459.0,1.0
0.317,0.12,0.082,0.526,0.003,0.002,1357.0,1674.0,1.0
0.348,0.124,0.097,0.568,0.003,0.002,1321.0,1190.0,1.0
0.359,0.126,0.109,0.585,0.003,0.002,1348.0,1228.0,1.0
0.364,0.131,0.122,0.613,0.004,0.003,1268.0,1302.0,1.0
0.373,0.136,0.103,0.612,0.004,0.003,1264.0,1464.0,1.0
0.39,0.139,0.125,0.641,0.004,0.003,1179.0,1613.0,1.0
0.402,0.143,0.125,0.656,0.004,0.003,1156.0,1464.0,1.0
0.413,0.149,0.137,0.694,0.004,0.003,1139.0,1612.0,1.0
0.394,0.152,0.115,0.682,0.005,0.003,1096.0,1328.0,1.0
0.37,0.151,0.082,0.639,0.004,0.003,1174.0,1020.0,1.0
0.371,0.157,0.074,0.658,0.005,0.003,1048.0,1057.0,1.0
0.378,0.163,0.091,0.69,0.005,0.004,1011.0,1299.0,1.0
0.373,0.17,0.047,0.673,0.005,0.004,1073.0,1223.0,1.0
0.361,0.173,0.037,0.677,0.005,0.004,1096.0,1327.0,1.0
0.376,0.18,0.031,0.707,0.006,0.004,1012.0,1249.0,1.0
0.363,0.181,0.018,0.696,0.006,0.004,1036.0,1390.0,1.0
0.355,0.186,-0.007,0.682,0.006,0.004,1036.0,1207.0,1.0
0.362,0.19,0.011,0.72,0.006,0.004,1042.0,1320.0,1.0
0.396,0.198,0.031,0.775,0.006,0.005,962.0,1098.0,1.0
0.425,0.207,0.04,0.821,0.007,0.005,943.0,1029.0,1.0
0.43,0.209,0.037,0.823,0.007,0.005,944.0,1058.0,1.0
0.44,0.212,0.04,0.827,0.007,0.005,955.0,1092.0,1.0
0.484,0.219,0.04,0.851,0.007,0.005,924.0,959.0,1.0
0.52,0.222,0.105,0.933,0.007,0.005,932.0,1074.0,1.0
0.556,0.228,0.147,1.0,0.008,0.005,903.0,1062.0,1.0
0.613,0.237,0.148,1.032,0.008,0.006,901.0,1056.0,1.0
0.662,0.244,0.23,1.139,0.008,0.006,877.0,1201.0,1.0
0.706,0.251,0.192,1.143,0.008,0.006,893.0,1140.0,1.0
0.756,0.26,0.253,1.229,0.009,0.006,873.0,1148.0,1.0
0.779,0.262,0.259,1.234,0.009,0.006,870.0,1187.0,1.0
0.798,0.263,0.31,1.296,0.009,0.006,906.0,1139.0,1.0
0.847,0.272,0.319,1.32,0.009,0.007,866.0,1093.0,1.0
0.882,0.277,0.336,1.368,0.009,0.007,879.0,1130.0,1.0
0.911,0.285,0.351,1.413,0.01,0.007,841.0,1079.0,1.0
0.924,0.287,0.391,1.456,0.01,0.007,873.0,968.0,1.0
0.945,0.295,0.393,1.489,0.01,0.007,862.0,1042.0,1.0
0.957,0.297,0.387,1.488,0.01,0.007,869.0,1038.0,1.0
0.964,0.301,0.37,1.486,0.01,0.007,875.0,1111.0,1.0
0.987,0.309,0.35,1.509,0.011,0.008,843.0,1263.0,1.0
0.985,0.314,0.388,1.551,0.011,0.008,827.0,1137.0,1.0
0.06,0.009,0.045,0.077,0.0,0.0,1125.0,1411.0,1.0
-0.004,0.06,-0.117,0.107,0.001,0.002,2995.0,1331.0,1.01
-0.018,0.085,-0.176,0.139,0.001,0.002,3452.0,1447.0,1.0
-0.01,0.102,-0.197,0.179,0.002,0.002,3756.0,1635.0,1.0
-0.039,0.113,-0.241,0.174,0.002,0.002,3310.0,1433.0,1.0
-0.074,0.127,-0.317,0.151,0.002,0.003,3347.0,1370.0,1.0
-0.087,0.133,-0.348,0.143,0.002,0.003,3268.0,1301.0,1.0
-0.086,0.137,-0.342,0.166,0.002,0.003,3226.0,1327.0,1.0
-0.097,0.14,-0.392,0.136,0.002,0.003,3925.0,1356.0,1.0
-0.115,0.148,-0.412,0.148,0.002,0.003,3763.0,1557.0,1.0
-0.115,0.151,-0.395,0.159,0.002,0.003,3961.0,1209.0,1.0
-0.104,0.15,-0.376,0.182,0.002,0.003,3685.0,1433.0,1.0
-0.088,0.155,-0.386,0.191,0.003,0.003,3384.0,1454.0,1.01
-0.059,0.157,-0.351,0.23,0.003,0.003,3053.0,1268.0,1.0
-0.034,0.162,-0.333,0.269,0.003,0.003,2932.0,1347.0,1.0
-0.007,0.161,-0.323,0.283,0.003,0.003,2381.0,1321.0,1.0
0.009,0.16,-0.285,0.301,0.003,0.003,2304.0,1575.0,1.0
0.039,0.164,-0.264,0.341,0.004,0.003,2195.0,1542.0,1.0
0.063,0.17,-0.23,0.392,0.004,0.003,2139.0,1591.0,1.0
0.099,0.173,-0.228,0.425,0.004,0.003,2059.0,1547.0,1.0
0.14,0.175,-0.173,0.469,0.004,0.003,1894.0,1499.0,1.0
0.181,0.176,-0.14,0.515,0.004,0.003,1907.0,1740.0,1.0
0.239,0.178,-0.1,0.552,0.004,0.003,1726.0,1476.0,1.0
0.269,0.179,-0.058,0.591,0.004,0.003,1727.0,1575.0,1.0
0.321,0.183,0.013,0.691,0.005,0.003,1565.0,1541.0,1.01
0.364,0.187,0.017,0.703,0.005,0.003,1466.0,1352.0,1.0
0.432,0.194,0.091,0.813,0.005,0.004,1380.0,1363.0,1.0
0.47,0.198,0.092,0.822,0.005,0.004,1413.0,1445.0,1.0
0.505,0.201,0.153,0.902,0.005,0.004,1399.0,1399.0,1.0
0.541,0.205,0.174,0.939,0.005,0.004,1437.0,1404.0,1.0
0.587,0.205,0.219,0.981,0.006,0.004,1351.0,1468.0,1.01
0.668,0.21,0.277,1.061,0.006,0.004,1268.0,1514.0,1.0
0.737,0.219,0.336,1.147,0.006,0.004,1288.0,1436.0,1.0
0.776,0.22,0.376,1.195,0.006,0.005,1247.0,1514.0,1.0
0.833,0.226,0.437,1.275,0.006,0.005,1237.0,1380.0,1.0
0.887,0.229,0.492,1.334,0.007,0.005,1201.0,1505.0,1.0
0.942,0.235,0.539,1.408,0.007,0.005,1195.0,1344.0,1.0
0.981,0.238,0.551,1.428,0.007,0.005,1193.0,1457.0,1.0
1.023,0.244,0.563,1.465,0.007,0.005,1119.0,1375.0,1.0
1.047,0.248,0.596,1.509,0.008,0.005,1097.0,1483.0,1.0
1.061,0.252,0.575,1.508,0.008,0.006,1076.0,1557.0,1.0
1.087,0.256,0.57,1.524,0.008,0.006,1085.0,1585.0,1.0
