mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.757,1.206,-7.045,-2.457,0.034,0.024,1310.0,1101.0,1.0
-0.744,0.942,-2.557,0.975,0.022,0.019,1906.0,1515.0,1.0
0.199,0.808,-1.284,1.63,0.017,0.019,2174.0,1517.0,1.0
1.326,0.728,-0.023,2.671,0.014,0.012,2732.0,1456.0,1.0
2.981,0.632,1.789,4.148,0.03,0.022,439.0,975.0,1.0
1.508,0.378,0.85,2.222,0.023,0.017,266.0,765.0,1.0
0.633,0.173,0.326,0.968,0.01,0.007,305.0,876.0,1.0
0.386,0.12,0.177,0.611,0.006,0.004,409.0,731.0,1.0
0.356,0.11,0.171,0.574,0.006,0.004,336.0,733.0,1.0
0.315,0.101,0.133,0.5,0.005,0.004,394.0,906.0,1.0
0.194,0.08,0.056,0.351,0.004,0.003,553.0,718.0,1.0
0.176,0.08,0.027,0.329,0.004,0.003,505.0,731.0,1.0
0.149,0.072,0.024,0.289,0.003,0.002,701.0,1110.0,1.0
0.224,0.081,0.078,0.373,0.004,0.003,406.0,1023.0,1.0
0.189,0.076,0.06,0.337,0.003,0.003,537.0,700.0,1.0
0.222,0.081,0.086,0.378,0.004,0.003,465.0,623.0,1.0
0.203,0.077,0.062,0.347,0.004,0.003,489.0,605.0,1.0
0.157,0.073,0.025,0.297,0.003,0.002,577.0,932.0,1.0
0.167,0.073,0.033,0.304,0.003,0.002,512.0,719.0,1.0
-0.045,0.986,-1.939,1.759,0.017,0.024,3472.0,1549.0,1.0
-0.079,0.896,-1.8,1.455,0.015,0.023,3588.0,1473.0,1.0
0.138,0.906,-1.552,1.848,0.014,0.021,3998.0,1541.0,1.0
0.206,0.885,-1.476,1.815,0.016,0.022,3043.0,1418.0,1.0
0.38,0.872,-1.294,1.946,0.013,0.018,4630.0,1736.0,1.0
0.16,0.892,-1.581,1.79,0.016,0.021,3209.0,1629.0,1.0
0.756,0.884,-1.039,2.263,0.015,0.016,3477.0,1338.0,1.0
0.924,0.896,-0.735,2.625,0.015,0.015,3561.0,1520.0,1.0
0.847,0.843,-0.66,2.534,0.015,0.013,3243.0,1682.0,1.0
0.394,0.853,-1.124,2.14,0.015,0.018,3170.0,1446.0,1.0
0.39,0.889,-1.261,2.073,0.015,0.018,3687.0,1621.0,1.0
-0.28,0.861,-1.935,1.267,0.015,0.018,3356.0,1603.0,1.0
0.308,0.852,-1.34,1.842,0.016,0.017,2745.0,1415.0,1.0
0.186,0.863,-1.395,1.828,0.015,0.021,3120.0,1323.0,1.0
0.719,0.875,-0.912,2.26,0.016,0.016,2955.0,1493.0,1.0
0.428,0.856,-1.206,1.939,0.015,0.019,3103.0,1451.0,1.0
0.206,0.84,-1.275,1.816,0.015,0.018,3020.0,1566.0,1.0
0.187,0.865,-1.433,1.831,0.015,0.021,3533.0,1314.0,1.0
-0.018,0.86,-1.624,1.603,0.014,0.02,3905.0,1336.0,1.0
0.519,0.847,-1.102,2.125,0.014,0.014,3548.0,1744.0,1.0
0.757,0.827,-0.908,2.27,0.017,0.016,2348.0,1403.0,1.0
-0.657,0.783,-2.067,0.866,0.013,0.013,3787.0,1718.0,1.0
-0.482,0.853,-2.052,1.114,0.014,0.017,3703.0,1493.0,1.0
0.077,0.834,-1.524,1.587,0.014,0.019,3679.0,1781.0,1.0
0.316,0.841,-1.181,2.029,0.014,0.018,3584.0,1437.0,1.0
-0.09,0.843,-1.654,1.429,0.017,0.021,2570.0,1337.0,1.0
-0.015,0.835,-1.618,1.481,0.014,0.019,3434.0,1645.0,1.0
0.185,0.826,-1.41,1.707,0.014,0.018,3377.0,1567.0,1.0
-0.439,0.832,-1.882,1.236,0.014,0.017,3732.0,1506.0,1.0
-0.131,0.853,-1.69,1.514,0.013,0.019,4583.0,1634.0,1.0
0.263,0.858,-1.235,1.895,0.014,0.019,3973.0,1565.0,1.0
0.7,0.821,-0.853,2.194,0.013,0.014,3862.0,1765.0,1.0
0.368,0.828,-1.04,2.013,0.016,0.015,2716.0,1778.0,1.0
0.414,0.855,-1.204,2.024,0.016,0.018,2892.0,1304.0,1.0
0.639,0.833,-0.971,2.105,0.015,0.015,3142.0,1708.0,1.0
0.645,0.818,-0.876,2.157,0.014,0.015,3325.0,1641.0,1.01
0.764,0.832,-0.792,2.301,0.013,0.015,3846.0,1190.0,1.0
0.875,0.864,-0.747,2.414,0.014,0.014,4035.0,1683.0,1.0
1.044,0.834,-0.597,2.51,0.014,0.013,3590.0,1641.0,1.0
0.88,0.832,-0.745,2.328,0.015,0.013,3172.0,1728.0,1.01
0.596,0.839,-1.044,2.165,0.015,0.016,2951.0,1386.0,1.0
1.263,0.817,-0.186,2.836,0.014,0.013,3378.0,1517.0,1.0
0.6,0.801,-0.794,2.133,0.012,0.015,4272.0,1511.0,1.0
0.472,0.824,-1.091,2.013,0.015,0.017,3096.0,1586.0,1.0
0.807,0.823,-0.788,2.277,0.015,0.014,2963.0,1549.0,1.0
0.49,0.833,-1.051,2.032,0.015,0.016,3308.0,1822.0,1.0
0.366,0.828,-1.303,1.788,0.014,0.019,3311.0,1575.0,1.0
-0.033,0.808,-1.484,1.555,0.013,0.019,3912.0,1687.0,1.0
0.324,0.826,-1.178,1.935,0.014,0.018,3460.0,1436.0,1.0
0.05,0.824,-1.604,1.44,0.013,0.019,4116.0,1758.0,1.0
-0.004,0.818,-1.499,1.595,0.016,0.018,2598.0,1594.0,1.0
0.129,0.86,-1.423,1.749,0.014,0.019,3528.0,1526.0,1.0
-0.017,1.022,-1.873,1.992,0.014,0.027,5033.0,1269.0,1.0
-0.049,0.997,-1.781,1.944,0.016,0.023,3772.0,1544.0,1.0
0.1,1.023,-1.909,1.883,0.017,0.027,3667.0,1492.0,1.01
0.139,0.963,-1.708,1.815,0.016,0.024,3553.0,1417.0,1.0
0.132,0.927,-1.589,1.889,0.016,0.022,3229.0,1293.0,1.0
0.102,0.955,-1.673,1.873,0.018,0.025,2967.0,1355.0,1.0
-0.177,0.947,-1.795,1.705,0.015,0.022,3846.0,1540.0,1.0
-0.194,0.959,-1.922,1.64,0.016,0.022,3498.0,1386.0,1.0
-0.09,0.938,-1.853,1.632,0.014,0.022,4341.0,1521.0,1.0
-0.245,0.956,-2.038,1.409,0.014,0.021,4613.0,1239.0,1.0
-0.115,0.921,-1.803,1.578,0.016,0.021,3182.0,1453.0,1.0
0.114,0.932,-1.525,1.942,0.016,0.024,3452.0,1580.0,1.0
-0.417,0.92,-2.256,1.241,0.018,0.018,2571.0,1317.0,1.0
-0.184,0.94,-1.886,1.569,0.015,0.02,4067.0,1638.0,1.0
-0.366,0.952,-2.325,1.304,0.015,0.02,4268.0,1663.0,1.0
0.128,0.921,-1.649,1.778,0.016,0.02,3200.0,1491.0,1.01
0.187,0.921,-1.662,1.808,0.013,0.022,4698.0,1389.0,1.0
0.514,0.932,-1.229,2.271,0.015,0.019,3810.0,1519.0,1.0
0.359,0.908,-1.379,2.121,0.016,0.02,3397.0,1360.0,1.01
0.498,0.921,-1.248,2.095,0.013,0.018,4967.0,1628.0,1.0
0.711,0.892,-0.915,2.358,0.015,0.018,3457.0,1447.0,1.0
0.741,0.883,-0.822,2.363,0.014,0.016,3875.0,1625.0,1.0
0.556,0.89,-1.034,2.247,0.016,0.016,3135.0,1598.0,1.0
0.472,0.911,-1.15,2.254,0.015,0.018,3808.0,1631.0,1.0
0.381,0.91,-1.343,2.08,0.016,0.019,3349.0,1735.0,1.0
0.373,0.876,-1.271,2.064,0.015,0.022,3498.0,1351.0,1.0
0.503,0.891,-1.142,2.204,0.015,0.019,3369.0,1468.0,1.01
0.762,0.856,-0.825,2.323,0.015,0.014,3448.0,1405.0,1.0
0.6,0.895,-1.168,2.192,0.017,0.017,2897.0,1392.0,1.01
0.289,0.89,-1.236,2.079,0.014,0.024,4233.0,1413.0,1.0
0.119,0.937,-1.543,1.88,0.013,0.023,5352.0,1563.0,1.0
0.701,0.885,-0.907,2.462,0.016,0.017,3234.0,1398.0,1.01
0.579,0.911,-1.135,2.303,0.014,0.017,4178.0,1616.0,1.0
0.578,0.862,-1.172,2.036,0.014,0.017,3550.0,1198.0,1.0
0.709,0.907,-0.798,2.635,0.015,0.017,3853.0,1508.0,1.0
0.705,0.881,-0.962,2.307,0.013,0.018,4272.0,1404.0,1.01
0.752,0.906,-0.976,2.378,0.014,0.016,4154.0,1326.0,1.0
0.617,0.907,-1.012,2.363,0.017,0.019,2815.0,1303.0,1.0
0.514,0.88,-1.102,2.165,0.015,0.017,3668.0,1606.0,1.0
0.495,0.911,-1.139,2.256,0.017,0.018,2928.0,1628.0,1.0
0.273,0.877,-1.337,1.966,0.017,0.02,2661.0,1538.0,1.0
0.304,0.867,-1.41,1.828,0.014,0.018,3719.0,1788.0,1.0
0.344,0.856,-1.301,1.85,0.015,0.018,3134.0,1553.0,1.01
0.285,0.846,-1.236,1.967,0.016,0.017,2748.0,1591.0,1.0
0.295,0.861,-1.377,1.9,0.016,0.019,2931.0,1418.0,1.0
0.618,0.848,-0.921,2.263,0.016,0.016,2726.0,1475.0,1.0
0.394,0.808,-1.016,2.062,0.015,0.016,2961.0,1530.0,1.0
0.255,0.864,-1.491,1.783,0.015,0.018,3289.0,1619.0,1.0
0.477,0.838,-1.113,2.005,0.015,0.016,3090.0,1402.0,1.0
0.463,0.86,-1.27,1.918,0.015,0.017,3477.0,1478.0,1.0
0.258,0.846,-1.379,1.765,0.015,0.018,3257.0,1446.0,1.0
0.356,0.841,-1.216,1.877,0.014,0.018,3400.0,1505.0,1.0
0.266,0.834,-1.212,1.934,0.015,0.018,3318.0,1407.0,1.0
0.199,0.876,-1.485,1.792,0.017,0.02,2701.0,1441.0,1.0
0.153,0.856,-1.353,1.847,0.014,0.019,3884.0,1498.0,1.01
0.045,0.821,-1.5,1.524,0.016,0.02,2620.0,1282.0,1.0
0.364,0.818,-1.118,1.938,0.015,0.017,2849.0,1591.0,1.0
0.705,0.875,-1.042,2.287,0.014,0.017,3761.0,1366.0,1.01
0.512,0.879,-1.109,2.162,0.016,0.019,2975.0,1540.0,1.01
0.283,0.903,-1.476,1.86,0.015,0.024,3591.0,1468.0,1.0
0.662,0.862,-1.043,2.207,0.015,0.016,3283.0,1516.0,1.0
0.76,0.843,-0.816,2.301,0.015,0.014,3193.0,1669.0,1.0
