mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-1.828,0.751,-3.255,-0.436,0.018,0.013,1711.0,1598.0,1.0
-0.164,0.964,-1.928,1.608,0.02,0.02,2265.0,1735.0,1.0
-1.648,0.628,-2.783,-0.401,0.012,0.009,2956.0,1302.0,1.0
1.119,0.651,-0.074,2.368,0.011,0.01,3410.0,1598.0,1.01
2.133,0.566,1.083,3.144,0.015,0.011,1480.0,1522.0,1.0
1.009,0.435,0.261,1.869,0.014,0.01,963.0,1419.0,1.0
0.927,0.37,0.297,1.658,0.01,0.008,1343.0,1401.0,1.0
1.016,0.331,0.489,1.68,0.012,0.009,807.0,1064.0,1.0
0.513,0.237,0.115,0.973,0.006,0.005,1417.0,1561.0,1.0
0.609,0.226,0.2,1.044,0.007,0.006,1007.0,918.0,1.0
0.401,0.192,0.068,0.773,0.005,0.004,1814.0,1226.0,1.0
0.677,0.211,0.274,1.053,0.007,0.005,840.0,1017.0,1.0
0.395,0.161,0.096,0.683,0.005,0.004,983.0,967.0,1.0
0.291,0.141,0.038,0.558,0.004,0.003,1701.0,1409.0,1.0
0.292,0.139,0.039,0.557,0.004,0.003,1342.0,1310.0,1.01
0.169,0.124,-0.053,0.404,0.003,0.002,1941.0,1399.0,1.0
0.084,0.115,-0.12,0.324,0.002,0.002,3150.0,1117.0,1.0
-0.347,0.142,-0.61,-0.097,0.004,0.003,1320.0,1432.0,1.0
-0.857,0.239,-1.307,-0.449,0.01,0.007,616.0,1061.0,1.01
-0.025,1.01,-1.8,1.9,0.014,0.028,5060.0,1480.0,1.0
0.593,0.898,-1.105,2.288,0.014,0.017,4155.0,1520.0,1.0
0.5,0.856,-1.107,2.201,0.011,0.017,6006.0,1573.0,1.0
1.002,0.887,-0.772,2.547,0.012,0.014,5397.0,1362.0,1.01
0.751,0.868,-0.781,2.416,0.013,0.014,4525.0,1659.0,1.0
0.336,0.879,-1.193,2.057,0.013,0.017,4786.0,1647.0,1.0
-0.43,0.902,-2.092,1.254,0.014,0.019,4334.0,1420.0,1.0
-0.2,0.903,-1.858,1.567,0.013,0.025,5142.0,1111.0,1.0
0.175,0.868,-1.374,1.792,0.014,0.02,4140.0,1738.0,1.0
0.221,0.884,-1.488,1.88,0.014,0.02,4261.0,1445.0,1.01
0.425,0.911,-1.358,2.063,0.013,0.019,4717.0,1398.0,1.0
0.77,0.931,-1.032,2.486,0.012,0.018,5978.0,1310.0,1.01
0.769,0.889,-0.962,2.393,0.015,0.015,3636.0,1415.0,1.0
0.839,0.871,-0.708,2.519,0.014,0.013,3667.0,1573.0,1.0
0.586,0.889,-1.013,2.36,0.012,0.018,5239.0,1438.0,1.0
0.16,0.892,-1.66,1.677,0.012,0.021,5704.0,1554.0,1.0
0.315,0.902,-1.432,1.894,0.012,0.022,6073.0,1408.0,1.0
-0.09,0.886,-1.644,1.725,0.013,0.021,5016.0,1495.0,1.0
-0.148,0.877,-1.855,1.471,0.012,0.022,5358.0,1514.0,1.0
-0.097,0.882,-1.725,1.52,0.013,0.02,4620.0,1627.0,1.0
-0.02,0.88,-1.7,1.527,0.014,0.022,4059.0,1177.0,1.0
0.397,0.849,-1.231,1.906,0.012,0.017,4705.0,1614.0,1.01
0.569,0.848,-0.979,2.22,0.013,0.016,4515.0,1413.0,1.0
0.249,0.86,-1.286,1.913,0.012,0.022,5035.0,1280.0,1.0
0.003,0.868,-1.748,1.463,0.011,0.022,5738.0,1389.0,1.0
-0.09,0.896,-1.826,1.568,0.013,0.022,4590.0,1356.0,1.0
-0.321,0.889,-2.103,1.205,0.013,0.02,4672.0,1653.0,1.0
-0.369,0.873,-2.11,1.148,0.014,0.02,3985.0,1332.0,1.01
-0.713,0.885,-2.447,0.912,0.013,0.018,4575.0,1079.0,1.01
-0.346,0.898,-2.121,1.181,0.011,0.019,6602.0,1617.0,1.0
-0.31,0.854,-1.943,1.263,0.011,0.023,5843.0,1486.0,1.0
-0.111,0.877,-1.847,1.496,0.012,0.023,5578.0,1345.0,1.0
0.311,0.805,-1.179,1.771,0.012,0.017,4194.0,1478.0,1.0
0.455,0.873,-1.221,2.03,0.011,0.017,6531.0,1538.0,1.01
0.577,0.882,-0.994,2.227,0.012,0.018,5838.0,1486.0,1.0
0.411,0.872,-1.157,2.151,0.013,0.018,4280.0,1722.0,1.0
0.525,0.877,-1.064,2.173,0.012,0.015,4980.0,1775.0,1.0
0.456,0.851,-1.142,2.066,0.013,0.017,4214.0,1526.0,1.0
0.644,0.872,-1.128,2.211,0.014,0.018,3783.0,1370.0,1.0
0.901,0.848,-0.759,2.439,0.013,0.014,4224.0,1447.0,1.0
0.363,0.846,-1.313,1.857,0.012,0.017,4724.0,1517.0,1.01
0.526,0.84,-1.13,1.996,0.012,0.017,4902.0,1580.0,1.0
0.63,0.855,-0.842,2.441,0.012,0.016,5009.0,1568.0,1.0
0.418,0.867,-1.154,2.032,0.014,0.02,3650.0,1201.0,1.0
