mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-1.83,0.967,-3.571,-0.035,0.031,0.022,972.0,995.0,1.0
-0.3,0.952,-2.048,1.548,0.026,0.02,1351.0,1284.0,1.0
-1.011,0.475,-1.982,-0.21,0.011,0.008,1962.0,1767.0,1.0
0.658,0.527,-0.286,1.663,0.013,0.01,1638.0,1428.0,1.0
3.104,0.601,2.013,4.26,0.03,0.021,408.0,835.0,1.01
0.955,0.263,0.513,1.443,0.013,0.009,428.0,796.0,1.01
0.577,0.181,0.251,0.922,0.008,0.006,531.0,939.0,1.01
0.318,0.142,0.061,0.585,0.005,0.004,963.0,999.0,1.01
0.336,0.145,0.09,0.615,0.005,0.004,731.0,991.0,1.0
0.457,0.148,0.206,0.742,0.007,0.005,535.0,990.0,1.01
0.402,0.13,0.166,0.643,0.005,0.004,598.0,992.0,1.01
0.61,0.153,0.349,0.907,0.008,0.006,364.0,764.0,1.01
0.252,0.1,0.067,0.435,0.004,0.003,710.0,779.0,1.01
0.122,0.084,-0.028,0.289,0.002,0.002,1233.0,1018.0,1.01
0.121,0.087,-0.041,0.277,0.003,0.002,898.0,1042.0,1.01
0.09,0.081,-0.056,0.247,0.002,0.002,1328.0,1404.0,1.0
-0.082,0.08,-0.241,0.061,0.002,0.002,1398.0,1045.0,1.01
-0.482,0.127,-0.711,-0.252,0.006,0.005,406.0,824.0,1.01
-1.063,0.232,-1.503,-0.664,0.013,0.01,329.0,576.0,1.02
-0.015,1.032,-2.115,1.834,0.018,0.026,3164.0,1334.0,1.0
0.957,0.874,-0.744,2.585,0.018,0.015,2330.0,1621.0,1.0
0.856,0.845,-0.791,2.371,0.019,0.017,1903.0,1490.0,1.0
0.139,0.861,-1.539,1.668,0.02,0.018,1784.0,1514.0,1.0
0.815,0.825,-0.627,2.416,0.017,0.014,2379.0,1681.0,1.0
0.798,0.828,-0.728,2.401,0.018,0.015,2097.0,1648.0,1.0
0.503,0.795,-0.827,2.176,0.017,0.016,2254.0,1565.0,1.0
0.658,0.837,-0.906,2.206,0.018,0.016,2045.0,1487.0,1.0
0.019,0.801,-1.465,1.505,0.019,0.017,1821.0,1427.0,1.0
0.508,0.806,-1.035,1.969,0.017,0.016,2225.0,1640.0,1.0
0.041,0.823,-1.431,1.609,0.017,0.019,2398.0,1595.0,1.0
0.428,0.838,-1.094,2.076,0.018,0.016,2160.0,1625.0,1.0
1.188,0.771,-0.285,2.639,0.018,0.013,1927.0,1663.0,1.0
1.101,0.813,-0.528,2.514,0.02,0.015,1697.0,1447.0,1.0
0.633,0.831,-0.806,2.313,0.02,0.016,1630.0,1403.0,1.0
0.569,0.822,-0.897,2.151,0.02,0.016,1671.0,1410.0,1.0
0.454,0.787,-1.009,1.899,0.02,0.015,1480.0,1494.0,1.0
0.013,0.81,-1.499,1.498,0.02,0.017,1625.0,1682.0,1.0
0.406,0.815,-1.157,1.896,0.019,0.016,1886.0,1499.0,1.0
0.155,0.82,-1.272,1.772,0.019,0.019,1846.0,1306.0,1.01
0.483,0.751,-0.922,1.839,0.017,0.015,2036.0,1274.0,1.0
0.338,0.798,-1.132,1.827,0.018,0.016,2038.0,1419.0,1.01
0.805,0.83,-0.605,2.49,0.019,0.014,2001.0,1575.0,1.0
-0.067,0.791,-1.496,1.486,0.017,0.017,2255.0,1376.0,1.0
0.143,0.812,-1.327,1.727,0.018,0.017,2054.0,1369.0,1.0
-0.133,0.81,-1.625,1.372,0.016,0.017,2526.0,1608.0,1.0
-0.218,0.803,-1.789,1.243,0.02,0.017,1669.0,1416.0,1.0
-1.164,0.787,-2.625,0.339,0.017,0.014,2131.0,1488.0,1.0
-0.61,0.773,-2.103,0.743,0.017,0.014,2001.0,1511.0,1.0
-0.028,0.784,-1.533,1.392,0.017,0.016,2118.0,1592.0,1.0
0.418,0.8,-1.07,1.964,0.016,0.016,2548.0,1381.0,1.0
0.426,0.753,-1.115,1.729,0.017,0.014,1877.0,1547.0,1.0
0.328,0.8,-1.248,1.734,0.018,0.016,2062.0,1650.0,1.0
0.144,0.823,-1.446,1.586,0.018,0.019,2053.0,1698.0,1.01
0.133,0.783,-1.373,1.529,0.017,0.016,2183.0,1811.0,1.0
-0.062,0.756,-1.513,1.356,0.017,0.015,2005.0,1674.0,1.0
-0.137,0.827,-1.792,1.305,0.018,0.018,2055.0,1466.0,1.0
-0.047,0.821,-1.526,1.562,0.02,0.016,1705.0,1532.0,1.0
0.455,0.82,-1.128,1.957,0.017,0.016,2372.0,1612.0,1.0
0.536,0.811,-1.054,1.995,0.018,0.015,2124.0,1613.0,1.0
0.52,0.765,-0.863,1.989,0.017,0.014,1928.0,1538.0,1.0
0.708,0.803,-0.889,2.158,0.019,0.014,1876.0,1480.0,1.0
0.711,0.784,-0.721,2.141,0.016,0.014,2286.0,1625.0,1.0
0.125,0.809,-1.413,1.645,0.018,0.016,2123.0,1580.0,1.0
-0.966,0.754,-2.327,0.521,0.015,0.013,2445.0,1346.0,1.0
-0.447,0.771,-1.84,1.081,0.017,0.015,1968.0,1470.0,1.0
-0.19,0.806,-1.704,1.305,0.019,0.016,1884.0,1544.0,1.0
-0.631,0.852,-2.244,0.931,0.019,0.017,2061.0,1591.0,1.0
-0.61,0.778,-1.962,0.958,0.017,0.016,1984.0,1481.0,1.0
-0.072,0.786,-1.554,1.43,0.016,0.017,2336.0,1512.0,1.0
-1.384,0.783,-3.001,-0.049,0.019,0.014,1765.0,1585.0,1.0
0.231,0.859,-1.462,1.692,0.02,0.018,1787.0,1421.0,1.0
-0.003,0.994,-1.99,1.77,0.019,0.023,2756.0,1398.0,1.0
-0.032,1.008,-1.959,1.78,0.021,0.023,2351.0,1429.0,1.0
0.068,0.942,-1.657,1.784,0.021,0.019,2060.0,1629.0,1.0
0.026,0.981,-1.68,1.954,0.021,0.023,2209.0,1357.0,1.01
0.016,0.969,-1.929,1.724,0.02,0.022,2425.0,1480.0,1.01
-0.057,0.952,-1.83,1.727,0.019,0.022,2491.0,1527.0,1.0
-0.556,0.957,-2.339,1.232,0.021,0.018,2094.0,1501.0,1.0
-0.927,0.959,-2.619,0.937,0.017,0.015,3105.0,1405.0,1.0
-1.091,0.96,-2.976,0.651,0.022,0.018,1922.0,1460.0,1.0
-1.514,0.977,-3.332,0.248,0.022,0.016,2016.0,1523.0,1.0
-1.482,0.949,-3.183,0.326,0.02,0.015,2322.0,1584.0,1.0
-1.242,0.947,-3.014,0.543,0.019,0.015,2453.0,1596.0,1.0
-0.63,0.948,-2.434,1.133,0.019,0.018,2398.0,1454.0,1.0
-0.338,0.917,-2.078,1.384,0.019,0.018,2407.0,1584.0,1.0
-0.226,0.926,-1.86,1.6,0.021,0.019,1928.0,1517.0,1.0
-0.208,0.932,-2.005,1.457,0.02,0.019,2268.0,1628.0,1.0
-0.233,0.936,-2.099,1.432,0.017,0.024,2850.0,1311.0,1.0
-0.404,0.895,-2.069,1.287,0.018,0.019,2540.0,1602.0,1.0
-0.262,0.922,-1.825,1.554,0.02,0.02,2093.0,1374.0,1.0
-0.09,0.872,-1.698,1.543,0.019,0.019,2208.0,1370.0,1.0
-0.114,0.919,-1.791,1.618,0.019,0.023,2400.0,1567.0,1.0
-0.061,0.878,-1.722,1.566,0.019,0.018,2145.0,1709.0,1.01
-0.143,0.897,-1.806,1.474,0.016,0.02,2992.0,1253.0,1.0
-0.066,0.873,-1.798,1.466,0.019,0.018,2220.0,1376.0,1.01
-0.162,0.863,-1.846,1.376,0.018,0.018,2431.0,1730.0,1.0
-0.098,0.938,-1.96,1.597,0.017,0.023,2912.0,1447.0,1.0
-0.244,0.853,-1.805,1.375,0.018,0.016,2330.0,1489.0,1.0
-0.065,0.872,-1.807,1.521,0.019,0.02,2175.0,1309.0,1.0
-0.165,0.884,-1.763,1.551,0.02,0.019,2039.0,1436.0,1.0
0.105,0.838,-1.476,1.639,0.018,0.017,2199.0,1775.0,1.0
0.069,0.859,-1.644,1.547,0.017,0.016,2419.0,1856.0,1.0
0.049,0.873,-1.571,1.687,0.018,0.02,2394.0,1425.0,1.0
0.134,0.894,-1.497,1.831,0.018,0.019,2460.0,1543.0,1.0
0.043,0.844,-1.481,1.655,0.018,0.018,2352.0,1549.0,1.0
0.211,0.878,-1.441,1.821,0.019,0.018,2219.0,1471.0,1.0
0.028,0.85,-1.544,1.695,0.019,0.018,2093.0,1673.0,1.0
0.011,0.858,-1.566,1.71,0.02,0.019,1798.0,1434.0,1.0
-0.076,0.841,-1.665,1.471,0.019,0.018,1906.0,1520.0,1.0
-0.258,0.804,-1.698,1.338,0.018,0.016,1915.0,1570.0,1.0
-0.553,0.852,-2.181,0.994,0.019,0.016,2032.0,1923.0,1.0
-0.458,0.834,-2.032,1.158,0.017,0.017,2359.0,1597.0,1.0
-0.219,0.841,-1.747,1.312,0.018,0.017,2164.0,1486.0,1.0
-0.301,0.852,-1.891,1.313,0.02,0.018,1898.0,1519.0,1.0
-0.462,0.87,-2.022,1.247,0.018,0.016,2246.0,1768.0,1.0
-0.366,0.84,-1.939,1.198,0.018,0.018,2169.0,1622.0,1.0
-0.514,0.821,-2.04,1.012,0.018,0.015,2058.0,1543.0,1.0
-0.299,0.826,-1.987,1.146,0.019,0.016,1916.0,1594.0,1.0
-0.265,0.87,-1.797,1.474,0.017,0.019,2603.0,1648.0,1.0
-0.07,0.853,-1.622,1.466,0.017,0.019,2401.0,1333.0,1.0
-0.186,0.816,-1.841,1.249,0.018,0.016,2021.0,1593.0,1.0
-0.143,0.831,-1.73,1.364,0.018,0.017,2238.0,1809.0,1.0
-0.504,0.818,-2.018,1.132,0.018,0.018,2137.0,1204.0,1.0
-0.161,0.846,-1.682,1.492,0.017,0.019,2324.0,1583.0,1.0
0.131,0.838,-1.4,1.715,0.016,0.018,2617.0,1539.0,1.0
-0.195,0.823,-1.669,1.384,0.018,0.019,2196.0,1253.0,1.01
-0.43,0.845,-2.205,1.017,0.017,0.017,2429.0,1694.0,1.0
-0.537,0.833,-2.196,1.035,0.018,0.017,2062.0,1474.0,1.0
-0.21,0.833,-1.821,1.24,0.019,0.016,1951.0,1631.0,1.0
0.031,0.836,-1.585,1.562,0.018,0.017,2236.0,1678.0,1.0
0.038,0.842,-1.423,1.709,0.018,0.017,2312.0,1693.0,1.0
-0.095,0.868,-1.736,1.458,0.019,0.019,2053.0,1425.0,1.0
0.096,0.895,-1.491,1.821,0.02,0.02,1922.0,1437.0,1.0
-0.387,0.827,-1.98,1.043,0.018,0.015,2101.0,1588.0,1.0
0.369,0.831,-1.084,2.017,0.018,0.018,2135.0,1470.0,1.0
0.003,0.866,-1.549,1.666,0.021,0.018,1660.0,1395.0,1.0
-0.044,0.856,-1.601,1.586,0.019,0.017,2024.0,1698.0,1.0
0.106,0.839,-1.491,1.59,0.018,0.018,2231.0,1586.0,1.0
-0.066,0.845,-1.613,1.52,0.02,0.017,1757.0,1349.0,1.0
-0.198,0.878,-1.833,1.425,0.02,0.022,1878.0,1228.0,1.0
-0.048,0.84,-1.586,1.578,0.019,0.016,1992.0,1542.0,1.0
0.068,0.874,-1.621,1.68,0.022,0.018,1596.0,1520.0,1.0
0.174,0.858,-1.416,1.759,0.018,0.019,2412.0,1562.0,1.0
-0.207,0.862,-1.86,1.26,0.018,0.017,2359.0,1702.0,1.0
0.182,0.865,-1.398,1.895,0.019,0.017,2160.0,1648.0,1.0
0.05,0.856,-1.701,1.523,0.017,0.02,2636.0,1300.0,1.0
-0.033,0.893,-1.773,1.587,0.017,0.018,2752.0,1676.0,1.0
0.028,0.873,-1.525,1.672,0.017,0.02,2828.0,1685.0,1.0
0.329,0.88,-1.233,2.039,0.018,0.019,2405.0,1500.0,1.0
0.537,0.873,-1.115,2.147,0.019,0.017,2115.0,1597.0,1.0
-0.166,0.879,-1.776,1.486,0.018,0.019,2270.0,1528.0,1.0
-0.166,0.884,-1.714,1.53,0.019,0.018,2108.0,1515.0,1.0
0.339,0.922,-1.43,2.002,0.02,0.019,2108.0,1469.0,1.0
0.385,0.887,-1.158,2.152,0.019,0.018,2237.0,1362.0,1.01
0.245,0.909,-1.491,1.89,0.018,0.02,2507.0,1727.0,1.0
0.462,0.904,-1.283,2.102,0.017,0.018,2735.0,1738.0,1.0
0.424,0.915,-1.262,2.187,0.019,0.019,2377.0,1707.0,1.0
