mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.971,1.128,-7.075,-2.749,0.022,0.016,2873.0,1366.0,1.0
-0.659,0.951,-2.323,1.246,0.018,0.018,2842.0,1530.0,1.0
0.008,0.867,-1.677,1.565,0.012,0.024,4916.0,1441.0,1.0
0.65,0.804,-0.856,2.16,0.012,0.014,4557.0,1297.0,1.0
0.858,0.745,-0.479,2.311,0.011,0.012,4364.0,1359.0,1.0
0.521,0.683,-0.789,1.771,0.014,0.016,2381.0,1122.0,1.01
1.1,0.622,0.003,2.294,0.016,0.013,1507.0,1347.0,1.0
1.646,0.529,0.704,2.663,0.019,0.014,880.0,1175.0,1.0
0.882,0.349,0.265,1.517,0.013,0.009,811.0,1191.0,1.0
1.032,0.29,0.489,1.543,0.012,0.009,550.0,1104.0,1.0
0.849,0.236,0.444,1.31,0.011,0.008,455.0,773.0,1.0
0.711,0.182,0.386,1.047,0.008,0.006,491.0,896.0,1.0
0.641,0.163,0.352,0.955,0.009,0.006,350.0,845.0,1.0
0.674,0.165,0.388,0.993,0.008,0.006,403.0,916.0,1.0
0.74,0.174,0.441,1.079,0.01,0.007,300.0,874.0,1.0
0.734,0.166,0.431,1.047,0.009,0.006,331.0,685.0,1.01
0.726,0.165,0.43,1.039,0.009,0.007,305.0,758.0,1.01
0.64,0.148,0.365,0.915,0.008,0.006,301.0,646.0,1.0
0.783,0.176,0.449,1.105,0.01,0.007,311.0,823.0,1.01
-0.062,0.944,-1.807,1.688,0.015,0.025,4144.0,1405.0,1.0
-0.013,0.901,-1.65,1.767,0.015,0.02,3815.0,1597.0,1.0
0.075,0.819,-1.471,1.57,0.014,0.02,3545.0,1443.0,1.0
0.257,0.796,-1.282,1.697,0.012,0.016,4062.0,1687.0,1.0
0.149,0.834,-1.421,1.722,0.013,0.02,4241.0,1703.0,1.0
-0.381,0.852,-2.024,1.174,0.014,0.018,3683.0,1487.0,1.0
0.406,0.878,-1.243,1.996,0.014,0.019,4032.0,1418.0,1.01
-0.044,0.813,-1.48,1.507,0.012,0.018,4304.0,1631.0,1.0
-0.12,0.857,-1.686,1.483,0.013,0.02,4183.0,1576.0,1.0
0.249,0.816,-1.354,1.667,0.014,0.019,3581.0,1462.0,1.0
0.205,0.834,-1.251,1.891,0.013,0.019,3921.0,1740.0,1.0
0.422,0.833,-1.268,1.876,0.013,0.016,4024.0,1609.0,1.0
0.624,0.812,-0.986,2.107,0.014,0.015,3539.0,1622.0,1.0
0.511,0.818,-1.033,2.02,0.013,0.014,4109.0,1633.0,1.0
0.953,0.833,-0.521,2.548,0.012,0.012,5004.0,1815.0,1.0
0.686,0.833,-0.747,2.376,0.013,0.015,4075.0,1445.0,1.0
0.675,0.835,-0.853,2.237,0.014,0.015,3751.0,1465.0,1.0
0.796,0.827,-0.764,2.361,0.013,0.014,4162.0,1067.0,1.0
0.288,0.819,-1.303,1.739,0.012,0.018,4497.0,1469.0,1.0
0.425,0.85,-1.09,2.136,0.014,0.021,3537.0,1218.0,1.0
0.298,0.787,-1.305,1.63,0.013,0.018,3643.0,1394.0,1.0
0.326,0.833,-1.194,1.831,0.012,0.019,4759.0,1432.0,1.01
0.269,0.831,-1.176,1.926,0.013,0.019,4414.0,1450.0,1.0
0.367,0.761,-1.158,1.74,0.012,0.018,3849.0,1301.0,1.01
0.474,0.824,-0.947,2.136,0.012,0.016,4446.0,1567.0,1.0
0.341,0.812,-1.136,1.897,0.014,0.019,3172.0,1375.0,1.0
0.889,0.785,-0.632,2.296,0.013,0.013,3550.0,1208.0,1.0
0.51,0.784,-0.885,2.0,0.013,0.016,3614.0,1585.0,1.0
0.356,0.818,-1.189,1.807,0.013,0.018,3830.0,1548.0,1.0
0.18,0.778,-1.119,1.78,0.012,0.017,4588.0,1777.0,1.0
0.4,0.837,-1.123,1.945,0.013,0.018,3999.0,1611.0,1.0
0.366,0.76,-0.926,1.904,0.013,0.016,3619.0,1563.0,1.0
0.261,0.811,-1.22,1.773,0.012,0.017,4255.0,1536.0,1.0
0.501,0.788,-0.86,2.014,0.011,0.014,5033.0,1764.0,1.0
0.796,0.828,-0.751,2.317,0.013,0.013,4164.0,1740.0,1.0
1.081,0.8,-0.433,2.529,0.012,0.011,4425.0,1419.0,1.0
1.117,0.809,-0.41,2.606,0.012,0.012,4387.0,1576.0,1.0
0.738,0.789,-0.804,2.161,0.013,0.014,3863.0,1331.0,1.0
0.57,0.78,-1.012,1.994,0.011,0.015,4855.0,1442.0,1.0
0.95,0.787,-0.492,2.443,0.013,0.012,3624.0,1566.0,1.0
0.631,0.77,-0.779,2.153,0.012,0.013,4089.0,1569.0,1.0
0.938,0.794,-0.708,2.359,0.012,0.014,4551.0,1405.0,1.0
0.483,0.772,-0.948,1.885,0.013,0.015,3810.0,1380.0,1.0
0.594,0.767,-0.797,2.073,0.014,0.014,3228.0,1495.0,1.01
0.392,0.767,-0.976,1.824,0.013,0.015,3582.0,1398.0,1.0
0.179,0.758,-1.227,1.643,0.013,0.02,3600.0,1491.0,1.0
0.194,0.778,-1.138,1.714,0.012,0.019,4412.0,1476.0,1.01
0.355,0.793,-1.092,1.862,0.013,0.018,3819.0,1472.0,1.0
0.897,0.757,-0.458,2.383,0.011,0.011,4396.0,1755.0,1.0
0.871,0.79,-0.634,2.291,0.013,0.014,3509.0,1156.0,1.0
0.864,0.784,-0.583,2.356,0.013,0.013,3800.0,1458.0,1.0
0.781,0.822,-0.813,2.251,0.012,0.013,4351.0,1498.0,1.0
-0.003,0.984,-1.789,1.932,0.015,0.029,4493.0,1137.0,1.0
-0.031,0.989,-1.773,1.831,0.015,0.032,4679.0,1252.0,1.0
0.067,1.026,-1.866,2.012,0.014,0.027,5473.0,1243.0,1.01
