mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-2.273,0.888,-4.024,-0.644,0.026,0.019,1254.0,1242.0,1.0
-0.305,0.967,-2.204,1.367,0.021,0.021,2068.0,1421.0,1.0
0.945,0.761,-0.363,2.474,0.014,0.012,3029.0,1543.0,1.0
1.689,0.703,0.37,2.98,0.015,0.011,2328.0,1609.0,1.0
2.482,0.625,1.445,3.703,0.026,0.018,574.0,961.0,1.0
0.905,0.356,0.237,1.531,0.014,0.01,687.0,1044.0,1.0
0.548,0.265,0.039,1.02,0.009,0.007,950.0,1041.0,1.0
0.435,0.212,0.077,0.863,0.006,0.005,1154.0,1383.0,1.0
0.936,0.254,0.461,1.427,0.012,0.009,418.0,775.0,1.0
0.881,0.226,0.436,1.256,0.012,0.008,352.0,818.0,1.0
0.858,0.209,0.498,1.273,0.011,0.008,331.0,687.0,1.0
0.536,0.15,0.286,0.841,0.007,0.005,449.0,827.0,1.0
0.288,0.11,0.09,0.49,0.004,0.003,708.0,953.0,1.0
0.219,0.099,0.038,0.402,0.004,0.003,791.0,837.0,1.0
0.132,0.091,-0.031,0.301,0.003,0.002,1093.0,1172.0,1.0
0.071,0.086,-0.092,0.23,0.003,0.002,1119.0,1009.0,1.0
-0.113,0.085,-0.274,0.054,0.003,0.002,1153.0,1041.0,1.0
-0.258,0.102,-0.45,-0.068,0.004,0.003,733.0,1211.0,1.0
-0.645,0.162,-0.956,-0.357,0.008,0.006,358.0,719.0,1.0
-0.032,0.949,-1.841,1.775,0.018,0.021,2771.0,1567.0,1.0
0.089,0.88,-1.482,1.738,0.016,0.021,3040.0,1534.0,1.0
0.168,0.934,-1.609,1.905,0.015,0.022,3807.0,1556.0,1.0
0.245,0.915,-1.489,1.973,0.014,0.021,4482.0,1570.0,1.0
0.328,0.913,-1.302,2.11,0.018,0.018,2668.0,1586.0,1.0
0.23,0.918,-1.453,1.839,0.017,0.019,2944.0,1613.0,1.0
-0.042,0.928,-1.702,1.738,0.017,0.021,2955.0,1304.0,1.0
-0.019,0.898,-1.759,1.557,0.019,0.02,2198.0,1497.0,1.0
-0.051,0.937,-1.838,1.622,0.018,0.023,2830.0,1490.0,1.0
0.47,0.912,-1.322,2.101,0.018,0.017,2582.0,1627.0,1.0
0.082,0.919,-1.652,1.846,0.019,0.022,2337.0,1235.0,1.0
0.033,0.916,-1.666,1.721,0.02,0.021,2040.0,1519.0,1.0
-0.028,0.906,-1.717,1.625,0.019,0.021,2210.0,1474.0,1.0
-0.025,0.892,-1.735,1.594,0.019,0.019,2299.0,1376.0,1.0
-0.236,0.922,-2.018,1.404,0.017,0.021,2807.0,1566.0,1.0
-0.331,0.937,-2.013,1.46,0.018,0.02,2624.0,1448.0,1.0
-0.21,0.882,-1.74,1.461,0.018,0.018,2338.0,1630.0,1.0
-0.124,0.912,-1.813,1.63,0.016,0.022,3234.0,1495.0,1.0
-0.481,0.945,-2.241,1.258,0.017,0.02,3125.0,1343.0,1.0
-0.49,0.924,-2.133,1.217,0.017,0.018,2836.0,1437.0,1.0
-0.409,0.893,-2.13,1.275,0.018,0.018,2600.0,1451.0,1.0
-0.444,0.929,-2.181,1.305,0.017,0.018,2814.0,1511.0,1.0
-0.542,0.937,-2.464,1.081,0.017,0.018,3034.0,1660.0,1.0
-0.449,0.918,-2.131,1.257,0.018,0.019,2591.0,1501.0,1.0
-0.525,0.896,-2.257,1.072,0.021,0.02,1884.0,1154.0,1.0
-0.482,0.907,-2.194,1.138,0.016,0.019,3038.0,1712.0,1.0
-0.511,0.938,-2.28,1.184,0.016,0.019,3659.0,1433.0,1.01
-0.626,0.945,-2.352,1.24,0.018,0.019,2658.0,1321.0,1.0
-0.525,0.906,-2.278,1.196,0.018,0.019,2593.0,1403.0,1.0
-0.456,0.913,-2.156,1.19,0.016,0.019,3218.0,1379.0,1.0
-0.223,0.921,-1.955,1.52,0.015,0.02,3647.0,1357.0,1.01
-0.448,0.909,-2.124,1.22,0.02,0.018,2145.0,1462.0,1.0
-0.404,0.914,-2.161,1.31,0.018,0.019,2715.0,1568.0,1.0
-0.348,0.916,-2.085,1.292,0.018,0.019,2657.0,1597.0,1.0
-0.623,0.932,-2.423,1.06,0.016,0.018,3302.0,1562.0,1.0
-0.56,0.957,-2.365,1.169,0.019,0.023,2434.0,1302.0,1.0
-0.428,0.921,-2.056,1.494,0.018,0.021,2500.0,1386.0,1.0
