mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.112,1.469,-6.965,-1.513,0.044,0.031,1116.0,1035.0,1.0
-0.792,0.932,-2.478,1.06,0.023,0.02,1591.0,1140.0,1.0
-0.377,0.882,-2.023,1.2,0.021,0.017,1735.0,1574.0,1.0
-0.13,0.9,-1.841,1.534,0.021,0.019,1772.0,1441.0,1.0
0.081,0.881,-1.548,1.771,0.021,0.02,1729.0,1401.0,1.0
0.337,0.869,-1.252,2.002,0.022,0.019,1626.0,1196.0,1.0
0.642,0.821,-0.868,2.159,0.019,0.016,1903.0,1321.0,1.0
1.225,0.782,-0.159,2.751,0.021,0.015,1380.0,1438.0,1.0
1.998,0.612,0.895,3.166,0.026,0.019,590.0,1385.0,1.01
1.302,0.419,0.572,2.083,0.028,0.019,259.0,378.0,1.02
1.038,0.298,0.519,1.61,0.023,0.016,177.0,326.0,1.03
0.778,0.216,0.375,1.171,0.016,0.012,173.0,352.0,1.03
0.551,0.156,0.261,0.821,0.012,0.009,164.0,368.0,1.03
0.473,0.134,0.246,0.744,0.011,0.007,164.0,299.0,1.03
0.394,0.114,0.18,0.601,0.009,0.006,179.0,259.0,1.03
0.304,0.092,0.151,0.482,0.006,0.005,214.0,479.0,1.02
0.164,0.063,0.051,0.285,0.003,0.003,372.0,477.0,1.01
0.013,0.05,-0.085,0.107,0.002,0.001,1002.0,833.0,1.0
-0.174,0.068,-0.295,-0.049,0.004,0.003,324.0,529.0,1.02
-0.048,0.988,-1.775,1.916,0.019,0.02,2565.0,1692.0,1.0
0.85,0.905,-1.034,2.426,0.02,0.018,2072.0,1405.0,1.0
0.695,0.872,-0.978,2.323,0.019,0.017,2134.0,1494.0,1.0
0.296,0.809,-1.236,1.832,0.018,0.017,1979.0,1410.0,1.0
-0.199,0.807,-1.619,1.35,0.019,0.016,1853.0,1549.0,1.0
-0.258,0.852,-1.858,1.315,0.02,0.018,1912.0,1564.0,1.0
0.079,0.83,-1.471,1.608,0.02,0.018,1771.0,1429.0,1.0
-0.034,0.834,-1.468,1.591,0.02,0.016,1755.0,1569.0,1.0
0.159,0.861,-1.448,1.835,0.02,0.018,1791.0,1386.0,1.0
0.045,0.835,-1.599,1.503,0.02,0.019,1683.0,1748.0,1.0
0.558,0.841,-1.082,2.056,0.02,0.017,1782.0,1543.0,1.0
0.223,0.81,-1.285,1.671,0.017,0.017,2348.0,1437.0,1.0
0.184,0.82,-1.513,1.611,0.019,0.018,1952.0,1483.0,1.0
-0.192,0.84,-1.656,1.492,0.02,0.018,1750.0,1358.0,1.0
-0.188,0.822,-1.781,1.287,0.017,0.018,2324.0,1623.0,1.0
-0.469,0.845,-2.123,0.999,0.019,0.016,1975.0,1584.0,1.0
-0.06,0.862,-1.629,1.628,0.02,0.019,1846.0,1460.0,1.0
-0.718,0.828,-2.383,0.761,0.02,0.016,1651.0,1266.0,1.0
-0.548,0.847,-2.28,0.926,0.019,0.017,1982.0,1465.0,1.0
-1.005,0.838,-2.635,0.485,0.019,0.014,1921.0,1532.0,1.0
-0.832,0.893,-2.57,0.833,0.022,0.017,1664.0,1462.0,1.0
-0.686,0.848,-2.424,0.828,0.019,0.016,1917.0,1285.0,1.0
