mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.233,1.467,-6.753,-1.352,0.045,0.032,1046.0,1242.0,1.01
-0.755,0.977,-2.717,0.98,0.028,0.02,1252.0,1354.0,1.01
-0.381,0.928,-2.166,1.305,0.017,0.019,2881.0,1567.0,1.0
-0.134,0.879,-1.849,1.479,0.019,0.02,2094.0,1366.0,1.01
0.158,0.888,-1.464,1.792,0.02,0.017,1912.0,1562.0,1.0
0.394,0.875,-1.274,2.008,0.018,0.018,2471.0,1397.0,1.0
0.745,0.848,-0.742,2.381,0.022,0.018,1559.0,1352.0,1.01
1.459,0.735,0.087,2.747,0.016,0.012,2186.0,1624.0,1.0
1.229,0.602,0.207,2.37,0.023,0.016,731.0,1054.0,1.0
1.744,0.511,0.844,2.713,0.029,0.02,314.0,760.0,1.01
0.97,0.3,0.459,1.523,0.018,0.013,278.0,732.0,1.01
0.835,0.237,0.412,1.271,0.015,0.011,243.0,679.0,1.01
0.551,0.165,0.249,0.849,0.01,0.007,253.0,803.0,1.01
0.571,0.16,0.293,0.863,0.01,0.007,242.0,648.0,1.01
0.429,0.122,0.199,0.64,0.008,0.006,246.0,693.0,1.01
0.3,0.095,0.147,0.477,0.006,0.004,259.0,733.0,1.02
0.246,0.081,0.112,0.401,0.005,0.003,296.0,768.0,1.01
0.034,0.052,-0.062,0.132,0.001,0.001,1948.0,1210.0,1.0
-0.175,0.071,-0.308,-0.057,0.003,0.002,510.0,880.0,1.01
-0.04,1.021,-1.952,1.741,0.018,0.023,3122.0,1500.0,1.0
0.264,0.884,-1.281,1.981,0.018,0.021,2459.0,1318.0,1.0
0.564,0.904,-1.099,2.267,0.019,0.017,2180.0,1462.0,1.0
0.693,0.85,-0.804,2.413,0.016,0.015,2890.0,1591.0,1.0
0.354,0.893,-1.226,2.148,0.017,0.019,2720.0,1536.0,1.0
0.311,0.895,-1.392,1.958,0.017,0.019,2829.0,1496.0,1.01
0.375,0.846,-1.284,1.882,0.015,0.017,3039.0,1682.0,1.0
0.104,0.856,-1.507,1.621,0.017,0.02,2466.0,1545.0,1.0
0.249,0.864,-1.272,1.884,0.02,0.017,1872.0,1471.0,1.0
0.352,0.859,-1.257,1.839,0.015,0.018,3130.0,1383.0,1.0
0.419,0.838,-1.122,2.001,0.017,0.017,2485.0,1608.0,1.0
0.456,0.859,-1.058,2.096,0.018,0.017,2332.0,1476.0,1.01
0.247,0.857,-1.306,1.866,0.019,0.017,2056.0,1556.0,1.0
-0.045,0.858,-1.593,1.615,0.016,0.019,2973.0,1611.0,1.0
0.089,0.862,-1.451,1.76,0.019,0.019,2117.0,1557.0,1.0
-0.034,0.886,-1.695,1.635,0.019,0.019,2176.0,1375.0,1.0
-0.091,0.83,-1.703,1.436,0.014,0.019,3527.0,1455.0,1.0
0.047,0.853,-1.643,1.565,0.016,0.018,2950.0,1537.0,1.0
-0.253,0.856,-1.823,1.385,0.018,0.02,2188.0,1273.0,1.0
-0.399,0.857,-2.037,1.267,0.017,0.016,2587.0,1694.0,1.0
-0.555,0.862,-2.123,0.975,0.017,0.015,2509.0,1426.0,1.0
-0.75,0.869,-2.335,0.877,0.017,0.015,2562.0,1660.0,1.0
-0.546,0.864,-2.086,1.222,0.017,0.015,2474.0,1703.0,1.0
-0.424,0.858,-1.959,1.236,0.017,0.019,2698.0,1533.0,1.0
-0.794,0.858,-2.388,0.823,0.02,0.015,1900.0,1712.0,1.0
-0.74,0.866,-2.347,0.933,0.017,0.016,2699.0,1670.0,1.0
-1.059,0.902,-2.713,0.636,0.019,0.015,2317.0,1589.0,1.0
-0.903,0.893,-2.501,0.797,0.016,0.015,2902.0,1502.0,1.0
-0.778,0.874,-2.281,0.979,0.018,0.016,2406.0,1705.0,1.0
-0.949,0.833,-2.487,0.602,0.016,0.015,2708.0,1428.0,1.0
-0.579,0.878,-2.202,1.087,0.018,0.016,2490.0,1683.0,1.0
-0.41,0.889,-2.193,1.111,0.018,0.018,2451.0,1116.0,1.01
-0.298,0.846,-1.97,1.195,0.016,0.018,2809.0,1458.0,1.0
-0.363,0.854,-1.845,1.305,0.018,0.018,2359.0,1437.0,1.0
-0.47,0.907,-2.134,1.218,0.017,0.018,2912.0,1440.0,1.0
