AgeGroup,Gender,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0_4,Men,296138,290726,285378,282059,283338,281565,274909,267596,258990,251440,247885,245098,243176,242615,241928,243242,248066,254176,265130,277148,290330,301091,310189,312287,310539,298680,282416,265400,251848,240440,234890,234235,237592,242795,249343,254540,262868,269594,275987,281826,288931,291625,294723,297494,300184,301784,307392,309845,311036,309567,305880,302380,296183
5_9,Men,295091,304009,310474,309247,301809,294862,290592,286473,284838,286323,283755,276097,267774,259029,251609,248227,246231,245626,246725,247921,250531,255958,261963,273163,286446,298119,307728,315363,315568,311693,300423,285277,269606,257058,246162,240461,240491,244531,250677,258574,264448,272248,279307,286732,293755,302956,309001,314886,318534,320985,319463,320980,319820
10_14,Men,272556,270774,271012,274874,283381,294153,303573,311111,310750,303323,295930,290903,285848,283958,285494,283316,276383,269182,261495,255579,253418,252288,252046,253750,256195,257889,262609,268386,278622,289173,301305,311741,320033,320547,316854,305500,291264,276450,265004,255238,250333,249905,253966,261331,270418,278135,289269,298557,306645,313352,320338,322770,325003
15_19,Men,281996,280332,277796,275133,275751,273582,272005,272878,277162,285913,296465,305105,311774,311117,303768,296585,292011,287659,286946,289888,288350,281632,274711,267634,262490,259721,257849,257486,258383,259097,261436,267153,273486,284417,295205,307083,318177,327748,329731,328011,318174,304768,290790,280793,273055,271022,276575,286062,293802,296072,298045,304562,310539
20_24,Men,336628,322494,309096,297890,289601,286051,287130,286508,284552,285204,282882,279620,278457,281439,289936,300859,310561,318083,318955,314571,307819,302208,296679,295287,297919,295628,288308,280269,271963,265126,263245,262376,263207,265094,266583,269488,277497,285371,296806,309505,323001,332889,341574,343988,344583,338198,331021,319535,311168,310624,307498,307170,310354
25_29,Men,329291,345069,350280,349703,343820,335344,324707,316088,308105,300703,296332,295145,292551,289247,288957,286303,284497,286016,292030,304284,316904,326885,333726,333540,326435,317312,310768,304492,301793,302625,301250,295514,289490,282961,277673,277042,279309,283544,288322,293280,299224,305922,311854,322761,335238,348983,365217,377368,380948,379985,369377,356091,342974
30_34,Men,253067,260367,271619,285945,303851,323253,340205,349193,351306,346308,337906,325951,315962,307298,299523,295350,295331,294476,293622,296079,295833,295067,296774,302792,313912,324146,332562,338412,337106,328573,320565,315573,311223,309721,311248,310320,306519,302586,298624,296143,297392,299040,302237,306955,312360,318006,330321,340535,354455,367181,378916,390393,400939
35_39,Men,226134,226857,228202,233506,241161,247533,254979,268119,284020,302251,321135,337571,345470,346953,341729,333720,322599,313831,306926,301270,298583,299836,299391,298971,301548,299781,297919,299124,303804,312943,323998,333853,340942,340576,332747,325090,321309,318507,318390,322241,321984,318113,313690,309885,308109,310663,315589,321544,328012,333895,338542,347980,357035
40_44,Men,237023,233405,230405,225435,223198,221677,222540,224995,231107,238861,244818,251821,264444,280093,298062,317017,333419,341660,344114,340063,333172,322931,314295,307677,302428,298858,299716,299046,297897,298532,297691,296805,298965,304515,314041,324954,335387,343590,343994,337930,331587,327593,324499,324689,329565,330868,329405,326651,323915,321942,323615,325890,331475
45_49,Men,264526,254863,247765,241788,235964,231634,228315,226169,221828,219663,217922,218544,220774,226777,234486,240541,247531,260326,276414,294955,314089,330648,338709,341016,337109,330007,319835,311369,304473,298247,295443,296981,297221,296474,297580,296777,296405,299074,305243,315776,327013,337234,345039,346209,341083,336401,334272,332859,333690,338208,338455,335412,332100
