mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.116,1.901,-7.393,-0.405,0.105,0.074,326.0,577.0,1.01
-1.415,0.796,-2.872,0.078,0.032,0.023,608.0,1184.0,1.01
-0.565,0.782,-2.044,0.877,0.028,0.02,801.0,1016.0,1.0
-0.295,0.86,-1.901,1.316,0.035,0.025,618.0,964.0,1.01
-0.123,0.853,-1.638,1.609,0.033,0.023,679.0,995.0,1.0
0.111,0.854,-1.484,1.717,0.034,0.024,651.0,1001.0,1.0
0.282,0.871,-1.396,1.879,0.035,0.024,635.0,1057.0,1.01
0.639,0.827,-0.732,2.316,0.032,0.025,666.0,908.0,1.0
1.145,0.73,-0.209,2.48,0.028,0.02,682.0,833.0,1.0
2.107,0.511,1.168,3.015,0.039,0.028,178.0,595.0,1.01
1.106,0.252,0.657,1.545,0.025,0.018,101.0,184.0,1.02
0.871,0.191,0.526,1.2,0.02,0.014,95.0,153.0,1.02
0.62,0.138,0.378,0.864,0.014,0.01,95.0,146.0,1.02
0.451,0.101,0.28,0.635,0.01,0.007,95.0,181.0,1.02
0.297,0.069,0.182,0.427,0.007,0.005,101.0,205.0,1.02
0.173,0.045,0.094,0.254,0.004,0.003,121.0,204.0,1.02
0.085,0.031,0.032,0.147,0.002,0.002,219.0,362.0,1.01
-0.004,0.025,-0.05,0.045,0.001,0.001,367.0,476.0,1.01
-0.142,0.042,-0.217,-0.065,0.003,0.002,170.0,272.0,1.01
-0.025,0.983,-1.92,1.686,0.031,0.022,1022.0,1223.0,1.0
0.588,0.827,-0.89,2.252,0.029,0.021,790.0,1001.0,1.01
0.885,0.803,-0.62,2.386,0.031,0.022,680.0,1078.0,1.0
0.579,0.791,-0.836,2.142,0.03,0.021,719.0,1091.0,1.01
0.744,0.767,-0.655,2.213,0.031,0.022,617.0,1107.0,1.0
0.526,0.772,-0.991,1.953,0.031,0.022,642.0,806.0,1.01
0.403,0.763,-1.081,1.753,0.029,0.021,694.0,869.0,1.01
0.413,0.777,-1.074,1.765,0.031,0.022,615.0,908.0,1.0
0.503,0.767,-0.828,2.066,0.026,0.019,897.0,1027.0,1.0
0.628,0.763,-0.805,2.016,0.03,0.021,651.0,937.0,1.0
0.553,0.781,-1.025,1.926,0.033,0.023,578.0,750.0,1.01
0.49,0.763,-0.905,2.024,0.029,0.021,669.0,1113.0,1.0
0.561,0.758,-0.941,1.946,0.028,0.02,731.0,1102.0,1.0
0.778,0.755,-0.625,2.188,0.026,0.018,837.0,1209.0,1.0
0.551,0.763,-0.775,1.968,0.03,0.021,653.0,1010.0,1.0
0.442,0.761,-0.996,1.842,0.032,0.023,559.0,901.0,1.01
0.769,0.781,-0.694,2.183,0.028,0.02,773.0,1288.0,1.0
0.779,0.731,-0.644,2.14,0.027,0.019,709.0,1109.0,1.01
0.425,0.727,-0.921,1.864,0.026,0.019,763.0,1048.0,1.0
0.283,0.728,-1.092,1.603,0.027,0.019,739.0,956.0,1.0
0.181,0.753,-1.388,1.451,0.026,0.019,812.0,1067.0,1.01
0.763,0.735,-0.555,2.182,0.027,0.02,754.0,824.0,1.0
0.448,0.736,-1.035,1.692,0.031,0.022,547.0,987.0,1.01
0.601,0.773,-0.913,1.958,0.031,0.022,622.0,758.0,1.0
0.383,0.697,-0.987,1.608,0.027,0.019,653.0,1145.0,1.0
0.399,0.753,-0.984,1.839,0.031,0.022,600.0,955.0,1.0
0.437,0.735,-0.956,1.8,0.027,0.019,736.0,949.0,1.0
0.621,0.777,-0.809,2.106,0.027,0.019,854.0,1310.0,1.0
1.021,0.726,-0.192,2.535,0.029,0.02,638.0,1046.0,1.0
1.131,0.777,-0.365,2.532,0.035,0.025,492.0,869.0,1.02
0.715,0.732,-0.595,2.093,0.029,0.021,631.0,912.0,1.01
0.453,0.738,-0.913,1.83,0.03,0.021,603.0,966.0,1.01
0.471,0.717,-0.881,1.808,0.032,0.023,497.0,732.0,1.01
0.85,0.731,-0.627,2.149,0.028,0.02,681.0,852.0,1.0
0.606,0.729,-0.712,1.982,0.028,0.02,690.0,1072.0,1.0
-0.039,0.733,-1.517,1.206,0.026,0.018,801.0,933.0,1.01
-0.609,0.722,-1.951,0.76,0.024,0.017,864.0,1218.0,1.0
-0.725,0.714,-2.046,0.572,0.03,0.021,562.0,1052.0,1.0
-0.327,0.719,-1.776,1.007,0.029,0.021,616.0,835.0,1.01
0.154,0.759,-1.281,1.571,0.033,0.023,543.0,934.0,1.01
-0.848,0.722,-2.248,0.477,0.029,0.026,617.0,674.0,1.01
-0.757,0.755,-2.302,0.589,0.032,0.023,572.0,570.0,1.01
-0.807,0.737,-2.152,0.634,0.029,0.021,633.0,856.0,1.01
-0.284,0.744,-1.648,1.07,0.028,0.02,690.0,965.0,1.0
-0.165,0.755,-1.486,1.364,0.031,0.022,603.0,887.0,1.0
-0.593,0.745,-2.043,0.736,0.029,0.02,672.0,847.0,1.01
-0.447,0.743,-1.876,0.926,0.032,0.023,534.0,708.0,1.01
-0.81,0.753,-2.167,0.662,0.032,0.024,564.0,675.0,1.0
-0.711,0.732,-1.998,0.679,0.027,0.019,726.0,1089.0,1.0
-1.155,0.753,-2.547,0.24,0.028,0.019,749.0,1173.0,1.0
-1.646,0.729,-2.944,-0.248,0.033,0.024,495.0,748.0,1.01
-0.171,0.773,-1.656,1.256,0.031,0.022,606.0,934.0,1.01
0.019,1.047,-1.937,1.911,0.034,0.024,927.0,1080.0,1.01
-0.04,0.999,-1.899,1.844,0.033,0.024,900.0,966.0,1.0
-0.045,0.928,-1.728,1.774,0.03,0.022,943.0,1142.0,1.0
-0.243,0.911,-1.946,1.487,0.034,0.024,709.0,1084.0,1.0
-0.576,0.931,-2.271,1.214,0.033,0.024,803.0,1030.0,1.01
-0.845,0.856,-2.481,0.764,0.027,0.019,1031.0,1245.0,1.0
