mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-3.28,1.386,-5.927,-0.687,0.054,0.038,651.0,1211.0,1.0
-0.514,0.922,-2.241,1.174,0.025,0.018,1380.0,1600.0,1.0
-0.153,0.875,-1.707,1.561,0.019,0.019,2088.0,1473.0,1.0
0.083,0.87,-1.466,1.755,0.02,0.019,1842.0,1271.0,1.0
0.38,0.804,-1.056,1.91,0.017,0.015,2391.0,1489.0,1.0
0.751,0.829,-0.725,2.367,0.02,0.016,1803.0,1425.0,1.0
1.445,0.76,0.109,2.918,0.017,0.013,1980.0,1538.0,1.0
2.17,0.623,1.0,3.285,0.024,0.017,689.0,1081.0,1.0
0.917,0.348,0.33,1.565,0.015,0.011,561.0,916.0,1.0
1.231,0.318,0.684,1.838,0.018,0.013,311.0,608.0,1.01
0.547,0.165,0.272,0.87,0.009,0.006,369.0,779.0,1.01
0.607,0.157,0.328,0.893,0.009,0.006,307.0,907.0,1.01
0.521,0.136,0.281,0.784,0.008,0.006,303.0,501.0,1.01
0.47,0.124,0.24,0.701,0.007,0.005,282.0,573.0,1.01
0.439,0.112,0.251,0.662,0.007,0.005,272.0,731.0,1.01
0.329,0.098,0.142,0.495,0.006,0.004,269.0,563.0,1.01
0.25,0.084,0.101,0.414,0.005,0.003,298.0,659.0,1.01
0.128,0.072,0.0,0.267,0.005,0.003,227.0,686.0,1.01
-0.062,0.084,-0.207,0.098,0.006,0.004,216.0,760.0,1.01
-0.019,0.969,-1.894,1.808,0.018,0.021,2819.0,1676.0,1.0
-0.145,0.921,-1.837,1.586,0.022,0.019,1782.0,1098.0,1.0
-0.05,0.907,-1.716,1.653,0.023,0.021,1612.0,1388.0,1.0
-0.004,0.928,-1.848,1.657,0.025,0.02,1475.0,1186.0,1.0
-0.127,0.903,-1.819,1.528,0.022,0.018,1745.0,1432.0,1.0
-0.314,0.912,-1.951,1.399,0.033,0.024,756.0,1169.0,1.0
-0.149,0.895,-1.774,1.517,0.026,0.018,1228.0,1489.0,1.0
-0.247,0.881,-1.84,1.496,0.024,0.017,1340.0,1159.0,1.0
-0.134,0.928,-1.874,1.591,0.026,0.019,1280.0,1193.0,1.0
0.067,0.886,-1.625,1.744,0.02,0.018,1956.0,1628.0,1.0
-0.185,0.899,-1.898,1.454,0.024,0.019,1435.0,1497.0,1.0
-0.144,0.933,-1.813,1.674,0.026,0.021,1243.0,1244.0,1.01
-0.141,0.917,-1.892,1.533,0.024,0.019,1471.0,1283.0,1.0
-0.238,0.884,-1.842,1.431,0.022,0.018,1591.0,1390.0,1.0
-0.345,0.919,-1.92,1.44,0.03,0.021,943.0,1392.0,1.0
-0.3,0.896,-2.143,1.236,0.024,0.018,1448.0,1368.0,1.0
-0.6,0.916,-2.501,1.007,0.023,0.017,1678.0,1410.0,1.0
-0.5,0.906,-2.247,1.03,0.021,0.016,1974.0,1621.0,1.0
-0.387,0.89,-2.277,1.082,0.019,0.018,2201.0,1675.0,1.01
-0.326,0.874,-2.067,1.18,0.02,0.016,1842.0,1692.0,1.0
-0.485,0.946,-2.158,1.399,0.021,0.02,1941.0,1378.0,1.0
-0.386,0.895,-2.208,1.214,0.02,0.017,2019.0,1597.0,1.0
-0.59,0.914,-2.234,1.157,0.021,0.017,1834.0,1621.0,1.0
-0.711,0.927,-2.467,0.989,0.022,0.018,1811.0,1277.0,1.0
-0.602,0.922,-2.318,1.108,0.022,0.018,1730.0,1442.0,1.0
-0.663,0.883,-2.29,1.008,0.02,0.016,1953.0,1654.0,1.0
-0.415,0.929,-2.033,1.509,0.022,0.019,1841.0,1450.0,1.0
-0.555,0.88,-2.269,0.935,0.021,0.018,1841.0,1369.0,1.0
-0.528,0.938,-2.252,1.229,0.022,0.021,1880.0,1205.0,1.01
-0.447,0.897,-2.139,1.166,0.022,0.018,1691.0,1552.0,1.0
-0.78,0.905,-2.538,0.865,0.026,0.019,1157.0,1148.0,1.01
-0.442,0.905,-2.192,1.121,0.02,0.016,2055.0,1789.0,1.0
-0.404,0.915,-2.009,1.426,0.022,0.019,1771.0,1467.0,1.0
-0.365,0.93,-2.087,1.386,0.02,0.019,2129.0,1681.0,1.0
-0.421,0.882,-2.025,1.333,0.02,0.019,1930.0,1340.0,1.0
-0.445,0.896,-2.155,1.102,0.019,0.018,2184.0,1535.0,1.0
-0.523,0.893,-2.0,1.36,0.021,0.018,1831.0,1205.0,1.0
-0.446,0.897,-2.176,1.14,0.024,0.017,1481.0,1520.0,1.0
-0.66,0.935,-2.288,1.196,0.025,0.019,1441.0,1516.0,1.0
-0.275,0.909,-2.041,1.321,0.022,0.019,1688.0,1147.0,1.0
-0.319,0.93,-2.039,1.353,0.022,0.018,1740.0,1301.0,1.0
-0.346,0.938,-2.214,1.323,0.023,0.021,1766.0,1269.0,1.0
-0.293,0.902,-2.065,1.353,0.026,0.019,1174.0,1183.0,1.0
0.122,0.899,-1.628,1.776,0.02,0.02,2122.0,1407.0,1.0
-0.261,0.922,-1.898,1.552,0.025,0.017,1390.0,1637.0,1.0
-0.269,0.941,-2.05,1.473,0.026,0.02,1364.0,1280.0,1.0
-0.206,0.947,-1.897,1.653,0.025,0.019,1476.0,1643.0,1.0
-0.085,0.943,-1.873,1.601,0.022,0.024,1886.0,1085.0,1.01
-0.054,0.915,-1.577,1.728,0.02,0.022,2186.0,1407.0,1.0
0.085,0.958,-1.549,2.004,0.023,0.021,1752.0,1380.0,1.0
0.09,0.97,-1.633,1.875,0.022,0.02,1913.0,1386.0,1.0
-0.117,0.934,-1.82,1.727,0.021,0.02,1988.0,1424.0,1.0
0.004,0.998,-1.788,1.882,0.021,0.022,2291.0,1640.0,1.0
-0.018,1.029,-2.052,1.844,0.019,0.023,3088.0,1530.0,1.01
-0.079,0.929,-1.772,1.671,0.019,0.021,2284.0,1625.0,1.0
-0.273,0.99,-2.224,1.544,0.023,0.021,1791.0,1359.0,1.0
-0.277,0.927,-2.047,1.468,0.021,0.02,2054.0,1167.0,1.0
-0.321,0.945,-2.029,1.483,0.021,0.019,2020.0,1663.0,1.01
-0.361,0.908,-2.024,1.413,0.02,0.017,2011.0,1577.0,1.0
-0.416,0.91,-2.094,1.316,0.021,0.018,1943.0,1399.0,1.0
-0.431,0.944,-2.114,1.494,0.021,0.024,1966.0,1158.0,1.0
-0.587,0.93,-2.345,1.095,0.022,0.018,1835.0,1601.0,1.0
-0.62,0.937,-2.332,1.141,0.021,0.018,2025.0,1109.0,1.0
-0.596,0.927,-2.276,1.207,0.02,0.018,2161.0,1597.0,1.0
-0.705,0.916,-2.397,1.08,0.021,0.016,1944.0,1605.0,1.0
-0.364,0.93,-2.197,1.303,0.019,0.02,2449.0,1681.0,1.0
-0.356,0.909,-2.051,1.344,0.019,0.018,2354.0,1324.0,1.01
-0.545,0.928,-2.433,1.051,0.021,0.019,2022.0,1385.0,1.0
-0.259,0.89,-2.042,1.349,0.02,0.018,1985.0,1583.0,1.0
-0.738,0.881,-2.44,0.868,0.018,0.016,2412.0,1616.0,1.0
-0.774,0.893,-2.373,0.943,0.021,0.016,1778.0,1542.0,1.0
-0.658,0.862,-2.349,0.875,0.019,0.015,1977.0,1632.0,1.0
-0.533,0.881,-2.166,1.09,0.02,0.017,1889.0,1381.0,1.0
-0.477,0.9,-2.119,1.181,0.02,0.018,1972.0,1447.0,1.0
-0.613,0.93,-2.314,1.171,0.021,0.018,2038.0,1545.0,1.0
-0.541,0.843,-2.175,1.038,0.018,0.015,2157.0,1647.0,1.0
-0.655,0.875,-2.29,0.984,0.02,0.016,1881.0,1337.0,1.0
-0.237,0.904,-1.934,1.399,0.019,0.02,2194.0,1400.0,1.0
-0.516,0.876,-2.176,1.085,0.023,0.017,1497.0,1505.0,1.01
-0.368,0.878,-2.104,1.132,0.018,0.018,2277.0,1499.0,1.0
-0.426,0.892,-2.077,1.155,0.019,0.018,2160.0,1324.0,1.0
-0.383,0.89,-2.017,1.259,0.02,0.017,2040.0,1457.0,1.0
-0.178,0.874,-2.014,1.325,0.021,0.02,1703.0,1306.0,1.0
-0.45,0.883,-2.186,1.112,0.02,0.017,1959.0,1362.0,1.0
-0.56,0.885,-2.294,0.993,0.021,0.017,1841.0,1403.0,1.0
-0.377,0.876,-2.06,1.188,0.02,0.016,1844.0,1677.0,1.0
-0.561,0.872,-2.069,1.14,0.021,0.018,1750.0,1536.0,1.0
-0.376,0.85,-1.812,1.389,0.02,0.016,1804.0,1518.0,1.0
-0.407,0.852,-2.06,1.114,0.02,0.018,1761.0,1521.0,1.01
-0.681,0.892,-2.35,0.977,0.022,0.017,1658.0,1498.0,1.0
-0.354,0.828,-1.945,1.163,0.02,0.017,1664.0,1392.0,1.0
-0.337,0.824,-1.875,1.164,0.019,0.018,1944.0,1449.0,1.01
-0.322,0.871,-2.06,1.192,0.018,0.018,2338.0,1491.0,1.0
-0.278,0.87,-1.773,1.475,0.019,0.018,2088.0,1272.0,1.0
-0.192,0.874,-1.808,1.468,0.02,0.018,2011.0,1514.0,1.0
-0.143,0.861,-1.759,1.425,0.018,0.019,2172.0,1386.0,1.0
-0.605,0.865,-2.112,1.011,0.021,0.016,1740.0,1545.0,1.0
-0.586,0.876,-2.265,1.066,0.021,0.016,1832.0,1444.0,1.0
-0.529,0.821,-2.134,0.948,0.018,0.015,2164.0,1447.0,1.0
-0.95,0.883,-2.53,0.738,0.02,0.015,1925.0,1586.0,1.0
-0.844,0.868,-2.563,0.709,0.023,0.017,1388.0,1259.0,1.0
-0.379,0.836,-1.894,1.241,0.018,0.016,2066.0,1365.0,1.0
-0.335,0.861,-1.983,1.274,0.021,0.019,1615.0,1286.0,1.0
-0.026,0.842,-1.616,1.497,0.019,0.018,1895.0,1366.0,1.0
-0.325,0.876,-1.963,1.25,0.022,0.017,1538.0,1616.0,1.0
-0.225,0.873,-1.741,1.547,0.018,0.018,2274.0,1524.0,1.0
-0.391,0.897,-2.146,1.296,0.023,0.019,1553.0,1025.0,1.0
-0.342,0.874,-2.033,1.249,0.02,0.017,1868.0,1542.0,1.0
-0.443,0.902,-2.111,1.247,0.021,0.022,1823.0,1259.0,1.0
-0.336,0.889,-2.037,1.223,0.022,0.018,1669.0,1313.0,1.0
-0.099,0.899,-1.881,1.459,0.022,0.02,1678.0,1168.0,1.0
-0.239,0.907,-2.015,1.342,0.023,0.02,1527.0,1336.0,1.01
-0.122,0.894,-1.797,1.512,0.019,0.019,2164.0,1434.0,1.0
-0.123,0.876,-1.746,1.565,0.022,0.016,1563.0,1661.0,1.0
-0.007,0.9,-1.637,1.63,0.024,0.02,1440.0,1457.0,1.0
0.061,0.893,-1.73,1.58,0.021,0.017,1817.0,1499.0,1.0
-0.131,0.949,-2.015,1.577,0.023,0.02,1692.0,1467.0,1.0
0.023,0.914,-1.695,1.721,0.023,0.019,1572.0,1446.0,1.0
0.018,0.931,-1.781,1.701,0.022,0.021,1805.0,1489.0,1.0
-0.096,0.963,-2.036,1.605,0.022,0.022,1968.0,1528.0,1.0
-0.256,0.923,-2.015,1.447,0.026,0.019,1216.0,1626.0,1.0
0.001,0.915,-1.721,1.684,0.019,0.019,2297.0,1841.0,1.0
-0.176,0.965,-2.006,1.591,0.022,0.02,1916.0,1443.0,1.0
-0.016,0.91,-1.612,1.776,0.021,0.019,1900.0,1364.0,1.0
-0.125,0.952,-2.008,1.558,0.027,0.022,1265.0,1345.0,1.0
-0.213,0.959,-2.141,1.507,0.025,0.02,1467.0,1369.0,1.0
-0.017,0.967,-1.771,1.815,0.019,0.019,2568.0,1466.0,1.0
-0.065,0.943,-1.889,1.714,0.021,0.021,1946.0,1251.0,1.0
-0.203,0.921,-2.057,1.472,0.022,0.02,1813.0,1494.0,1.0
-0.143,0.966,-2.017,1.57,0.025,0.021,1495.0,1471.0,1.0
-0.293,0.964,-2.151,1.434,0.023,0.019,1721.0,1380.0,1.0
-0.239,0.966,-2.107,1.459,0.021,0.02,2178.0,1520.0,1.0
-0.135,0.98,-1.937,1.792,0.025,0.021,1608.0,1294.0,1.0
-0.222,0.98,-2.007,1.702,0.024,0.02,1602.0,1431.0,1.0
-0.184,1.007,-2.058,1.72,0.022,0.022,2156.0,1513.0,1.0
-0.266,1.017,-2.091,1.753,0.022,0.021,2239.0,1525.0,1.0
-0.271,1.001,-2.146,1.587,0.021,0.021,2281.0,1590.0,1.0
-0.18,0.997,-2.073,1.605,0.022,0.023,2107.0,1372.0,1.0
-0.257,0.98,-2.054,1.573,0.025,0.02,1622.0,1434.0,1.0
-0.206,0.987,-2.034,1.61,0.023,0.02,1842.0,1551.0,1.0
-0.163,1.004,-2.06,1.573,0.022,0.021,1999.0,1518.0,1.0
-0.094,0.98,-1.807,1.786,0.022,0.022,1919.0,1395.0,1.0
-0.094,0.989,-2.063,1.64,0.02,0.021,2340.0,1808.0,1.0
0.044,0.997,-1.889,1.855,0.02,0.024,2566.0,1537.0,1.0
0.088,0.999,-1.795,2.014,0.022,0.026,2063.0,1323.0,1.01
0.196,0.965,-1.5,2.119,0.019,0.022,2565.0,1286.0,1.0
0.294,0.94,-1.37,2.213,0.019,0.02,2318.0,1429.0,1.0
0.296,0.987,-1.698,1.946,0.02,0.019,2355.0,1633.0,1.0
0.281,0.957,-1.507,2.049,0.021,0.019,2144.0,1400.0,1.0
0.22,0.97,-1.526,2.094,0.02,0.021,2391.0,1532.0,1.0
0.053,0.968,-1.751,1.918,0.023,0.019,1844.0,1595.0,1.0
0.115,0.972,-1.645,1.931,0.019,0.021,2564.0,1555.0,1.0
0.105,0.993,-1.724,1.927,0.021,0.022,2227.0,1685.0,1.0
0.159,0.997,-1.689,2.047,0.017,0.026,3386.0,1307.0,1.0
0.153,0.992,-1.668,2.036,0.02,0.022,2398.0,1532.0,1.0
0.134,1.019,-1.69,2.057,0.02,0.023,2483.0,1356.0,1.0
0.107,0.991,-1.627,2.067,0.017,0.026,3358.0,1221.0,1.0
0.098,1.003,-1.953,1.848,0.017,0.023,3321.0,1512.0,1.0
0.108,0.971,-1.724,1.824,0.02,0.02,2416.0,1633.0,1.0
0.075,1.0,-1.76,1.965,0.021,0.021,2252.0,1624.0,1.0
0.117,0.979,-1.758,1.839,0.023,0.021,1856.0,1322.0,1.0
0.01,0.985,-1.887,1.769,0.02,0.02,2355.0,1574.0,1.0
-0.042,0.991,-1.78,1.829,0.019,0.023,2620.0,1491.0,1.0
-0.009,0.991,-1.915,1.798,0.019,0.022,2600.0,1473.0,1.0
-0.048,1.029,-1.925,1.887,0.02,0.024,2759.0,1677.0,1.0
-0.022,1.016,-1.835,1.914,0.022,0.023,2110.0,1422.0,1.0
-0.054,1.011,-1.86,1.938,0.021,0.024,2341.0,1473.0,1.0
-0.039,0.997,-1.999,1.737,0.021,0.021,2195.0,1721.0,1.0
0.024,0.975,-1.721,1.904,0.02,0.022,2335.0,1472.0,1.0
0.002,1.004,-1.882,1.856,0.022,0.022,2126.0,1613.0,1.0
-0.023,0.99,-1.684,1.931,0.021,0.023,2225.0,1540.0,1.0
-0.038,1.007,-1.822,1.879,0.023,0.024,1974.0,1406.0,1.0
0.006,1.0,-1.847,1.883,0.022,0.022,1984.0,1327.0,1.0
0.01,1.007,-1.921,1.899,0.021,0.023,2356.0,1678.0,1.0
