mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-3.161,1.324,-5.492,-0.469,0.037,0.027,1292.0,1520.0,1.0
-0.421,0.947,-2.135,1.292,0.019,0.018,2542.0,1521.0,1.0
-0.084,0.903,-1.802,1.592,0.014,0.022,4156.0,1451.0,1.0
0.176,0.859,-1.466,1.783,0.015,0.018,3137.0,1537.0,1.01
0.507,0.824,-0.972,2.093,0.014,0.016,3524.0,1359.0,1.0
0.922,0.805,-0.471,2.445,0.014,0.014,3280.0,1686.0,1.0
1.851,0.783,0.354,3.259,0.016,0.012,2559.0,1421.0,1.0
1.678,0.618,0.54,2.876,0.018,0.013,1251.0,1495.0,1.0
1.434,0.462,0.622,2.295,0.018,0.013,662.0,1081.0,1.0
0.962,0.297,0.416,1.507,0.012,0.008,698.0,967.0,1.0
0.599,0.207,0.256,1.013,0.008,0.006,700.0,889.0,1.0
0.339,0.147,0.086,0.633,0.005,0.004,946.0,1170.0,1.0
0.546,0.167,0.258,0.872,0.007,0.005,564.0,957.0,1.0
0.483,0.148,0.221,0.756,0.006,0.005,536.0,998.0,1.0
0.402,0.125,0.176,0.64,0.006,0.004,530.0,659.0,1.0
0.416,0.126,0.191,0.661,0.006,0.004,490.0,606.0,1.0
0.327,0.108,0.128,0.521,0.005,0.003,527.0,721.0,1.0
0.189,0.087,0.029,0.351,0.004,0.003,537.0,818.0,1.01
-0.149,0.099,-0.334,0.025,0.004,0.003,548.0,840.0,1.01
-0.014,1.061,-2.038,1.931,0.015,0.03,5022.0,1158.0,1.0
0.011,0.957,-1.742,1.762,0.015,0.026,4035.0,1314.0,1.0
-0.117,0.924,-1.949,1.584,0.015,0.024,4209.0,1437.0,1.0
-0.174,0.892,-1.97,1.416,0.017,0.021,2822.0,1372.0,1.0
-0.103,0.88,-1.729,1.55,0.015,0.021,3302.0,1551.0,1.0
-0.122,0.905,-1.802,1.587,0.014,0.021,4021.0,1729.0,1.0
-0.278,0.934,-2.158,1.377,0.018,0.019,2827.0,1611.0,1.0
-0.157,0.868,-1.735,1.519,0.014,0.022,3687.0,1458.0,1.0
-0.037,0.908,-1.751,1.573,0.017,0.023,3023.0,1480.0,1.01
-0.233,0.903,-1.854,1.545,0.016,0.02,3140.0,1546.0,1.0
-0.141,0.904,-1.802,1.543,0.016,0.022,3423.0,1496.0,1.0
-0.048,0.91,-1.723,1.76,0.015,0.026,3532.0,1262.0,1.01
0.028,0.889,-1.494,1.805,0.015,0.025,3725.0,1126.0,1.01
-0.007,0.881,-1.62,1.679,0.014,0.021,3712.0,1559.0,1.0
-0.079,0.873,-1.72,1.546,0.016,0.021,3173.0,1395.0,1.0
-0.318,0.905,-1.987,1.403,0.016,0.019,3268.0,1555.0,1.0
-0.363,0.882,-1.967,1.411,0.014,0.02,3819.0,1633.0,1.0
-0.567,0.883,-2.22,1.105,0.015,0.015,3614.0,1544.0,1.0
-0.354,0.908,-2.047,1.329,0.014,0.021,4503.0,1485.0,1.01
-0.493,0.946,-2.243,1.2,0.014,0.02,4817.0,1361.0,1.0
-0.773,0.933,-2.536,0.868,0.014,0.017,4530.0,1301.0,1.01
-0.813,0.913,-2.469,0.945,0.016,0.015,3018.0,1404.0,1.0
-0.538,0.891,-2.266,1.129,0.014,0.019,3869.0,1418.0,1.0
-0.609,0.913,-2.461,1.012,0.014,0.017,4017.0,1539.0,1.0
-0.737,0.9,-2.537,0.873,0.014,0.018,4142.0,1553.0,1.0
-0.55,0.912,-2.27,1.138,0.013,0.02,5098.0,1554.0,1.0
-0.54,0.902,-2.17,1.18,0.014,0.018,4114.0,1482.0,1.0
-0.653,0.909,-2.312,1.005,0.014,0.017,4052.0,1343.0,1.0
-0.674,0.918,-2.391,1.053,0.016,0.017,3238.0,1475.0,1.0
-0.295,0.88,-1.866,1.39,0.014,0.02,4157.0,1567.0,1.0
-0.14,0.915,-1.86,1.452,0.013,0.02,4650.0,1888.0,1.0
-0.315,0.913,-1.999,1.368,0.015,0.019,3589.0,1662.0,1.0
-0.232,0.938,-1.955,1.466,0.015,0.025,3835.0,1584.0,1.0
-0.497,0.898,-2.308,1.039,0.015,0.016,3692.0,1734.0,1.0
-0.452,0.928,-2.335,1.153,0.012,0.022,5576.0,1344.0,1.0
-0.577,0.918,-2.323,1.139,0.017,0.018,2848.0,1463.0,1.0
-0.382,0.955,-2.107,1.512,0.014,0.022,4697.0,1180.0,1.0
-0.311,0.91,-2.055,1.411,0.012,0.02,5845.0,1377.0,1.0
-0.314,0.923,-1.899,1.499,0.014,0.02,4190.0,1515.0,1.0
-0.105,0.94,-2.016,1.512,0.013,0.024,4989.0,1316.0,1.0
-0.302,0.9,-1.817,1.502,0.015,0.021,3480.0,1303.0,1.0
-0.333,0.899,-2.002,1.339,0.015,0.02,3575.0,1467.0,1.0
-0.426,0.907,-2.142,1.229,0.017,0.018,2975.0,1452.0,1.01
-0.287,0.914,-2.058,1.293,0.013,0.021,4948.0,1651.0,1.0
-0.374,0.898,-2.043,1.267,0.016,0.02,3097.0,1189.0,1.0
-0.262,0.931,-1.963,1.47,0.014,0.021,4386.0,1490.0,1.0
-0.087,0.87,-1.65,1.562,0.013,0.02,4743.0,1608.0,1.0
-0.312,0.959,-2.093,1.468,0.017,0.022,3339.0,1436.0,1.0
0.181,0.937,-1.671,1.792,0.014,0.026,4469.0,1270.0,1.0
0.378,0.913,-1.389,2.0,0.014,0.02,4260.0,1422.0,1.0
-0.086,0.924,-1.71,1.754,0.015,0.024,3722.0,1334.0,1.0
-0.03,0.933,-1.723,1.844,0.014,0.023,4579.0,1624.0,1.0
-0.009,0.975,-1.783,1.815,0.016,0.025,3858.0,1313.0,1.0
-0.024,0.986,-1.76,1.898,0.014,0.026,5378.0,1334.0,1.0
-0.119,0.98,-1.996,1.64,0.014,0.028,4679.0,1213.0,1.0
-0.105,0.993,-2.044,1.668,0.015,0.025,4579.0,1532.0,1.0
-0.367,0.97,-2.084,1.52,0.014,0.02,4984.0,1542.0,1.0
-0.405,0.937,-2.097,1.306,0.016,0.019,3471.0,1542.0,1.01
-0.465,0.913,-2.202,1.227,0.012,0.019,6040.0,1426.0,1.0
-0.653,0.91,-2.346,1.005,0.016,0.017,3212.0,1530.0,1.0
-0.67,0.903,-2.236,1.074,0.013,0.017,4456.0,1434.0,1.01
-0.71,0.907,-2.38,0.975,0.015,0.018,3564.0,1294.0,1.0
-0.786,0.873,-2.425,0.873,0.013,0.014,4504.0,1717.0,1.0
-0.687,0.939,-2.553,1.002,0.015,0.017,4103.0,1393.0,1.0
-0.595,0.879,-2.147,1.214,0.014,0.018,3946.0,1496.0,1.0
-0.598,0.925,-2.254,1.219,0.014,0.019,4594.0,1355.0,1.0
-0.502,0.898,-2.106,1.253,0.015,0.019,3555.0,1200.0,1.01
-0.62,0.941,-2.385,1.169,0.014,0.02,4216.0,1460.0,1.0
-0.632,0.894,-2.306,1.035,0.013,0.018,4460.0,1524.0,1.0
-0.748,0.912,-2.549,0.882,0.015,0.017,3968.0,1456.0,1.0
-0.72,0.867,-2.41,0.791,0.013,0.016,4252.0,1424.0,1.0
-0.701,0.879,-2.349,0.991,0.015,0.015,3393.0,1880.0,1.0
-0.596,0.898,-2.252,1.142,0.013,0.018,5136.0,1306.0,1.01
-0.848,0.848,-2.416,0.699,0.012,0.013,4851.0,1762.0,1.01
-0.862,0.902,-2.581,0.78,0.014,0.016,4058.0,1445.0,1.0
-0.759,0.887,-2.353,0.93,0.015,0.017,3511.0,1416.0,1.0
-0.506,0.904,-2.129,1.271,0.015,0.02,3530.0,1270.0,1.0
-0.439,0.891,-2.064,1.212,0.013,0.018,4443.0,1627.0,1.0
-0.583,0.879,-2.135,1.125,0.013,0.015,4580.0,1568.0,1.0
-0.589,0.897,-2.279,1.098,0.014,0.018,4216.0,1494.0,1.0
-0.539,0.861,-2.156,1.035,0.013,0.017,4108.0,1473.0,1.0
-0.546,0.865,-2.133,1.11,0.014,0.017,3554.0,1687.0,1.0
-0.272,0.887,-1.907,1.4,0.012,0.021,5070.0,1800.0,1.01
-0.344,0.86,-1.974,1.266,0.014,0.018,3744.0,1527.0,1.0
-0.625,0.873,-2.185,1.079,0.017,0.016,2749.0,1488.0,1.0
-0.315,0.899,-2.049,1.265,0.014,0.02,4015.0,1477.0,1.0
-0.335,0.834,-1.845,1.3,0.015,0.018,3193.0,1498.0,1.0
-0.127,0.849,-1.645,1.587,0.014,0.018,3671.0,1615.0,1.0
-0.628,0.886,-2.314,0.988,0.017,0.018,2871.0,1502.0,1.0
-0.441,0.918,-2.106,1.286,0.014,0.022,4608.0,1475.0,1.01
-0.404,0.873,-2.069,1.131,0.013,0.018,4248.0,1703.0,1.0
-0.254,0.87,-1.919,1.289,0.013,0.021,4396.0,1444.0,1.0
-0.247,0.858,-1.915,1.307,0.016,0.018,2883.0,1523.0,1.0
-0.308,0.859,-1.883,1.276,0.015,0.017,3157.0,1447.0,1.0
-0.289,0.83,-1.864,1.283,0.013,0.017,3844.0,1710.0,1.0
0.048,0.854,-1.501,1.714,0.016,0.02,3005.0,1488.0,1.0
0.03,0.864,-1.572,1.628,0.013,0.022,4330.0,1522.0,1.01
-0.026,0.863,-1.624,1.601,0.015,0.02,3318.0,1624.0,1.0
-0.147,0.893,-1.954,1.414,0.015,0.021,3665.0,1502.0,1.0
-0.106,0.847,-1.749,1.326,0.014,0.023,3946.0,1242.0,1.0
-0.437,0.887,-2.147,1.137,0.016,0.019,3149.0,1304.0,1.0
-0.605,0.877,-2.474,0.896,0.014,0.017,3780.0,1449.0,1.01
-0.44,0.882,-2.045,1.231,0.014,0.018,3950.0,1040.0,1.0
-0.446,0.862,-2.072,1.136,0.017,0.017,2635.0,1422.0,1.0
-0.02,0.876,-1.689,1.627,0.013,0.02,4297.0,1519.0,1.0
-0.23,0.849,-1.771,1.376,0.014,0.019,3606.0,1537.0,1.0
-0.278,0.864,-1.806,1.359,0.016,0.021,2839.0,1538.0,1.0
-0.24,0.911,-2.004,1.434,0.017,0.023,3021.0,1363.0,1.0
0.089,0.865,-1.55,1.703,0.015,0.02,3291.0,1518.0,1.0
-0.224,0.853,-1.892,1.338,0.014,0.02,3485.0,1505.0,1.0
-0.263,0.891,-1.9,1.387,0.017,0.02,2896.0,1531.0,1.01
0.016,0.902,-1.771,1.655,0.016,0.019,3094.0,1629.0,1.0
-0.154,0.888,-1.823,1.497,0.015,0.02,3472.0,1519.0,1.0
-0.114,0.933,-1.75,1.722,0.013,0.023,5191.0,1390.0,1.0
-0.032,0.936,-1.71,1.818,0.015,0.023,3935.0,1379.0,1.0
0.125,0.893,-1.617,1.703,0.013,0.022,4529.0,1442.0,1.0
-0.14,0.916,-1.925,1.465,0.015,0.021,3544.0,1467.0,1.0
-0.032,0.889,-1.73,1.652,0.013,0.022,4395.0,1502.0,1.0
-0.108,0.949,-2.1,1.527,0.016,0.025,3453.0,1312.0,1.0
-0.23,0.952,-1.917,1.707,0.014,0.021,4304.0,1484.0,1.0
-0.28,0.921,-2.055,1.442,0.015,0.024,3793.0,1214.0,1.01
-0.185,0.921,-1.938,1.372,0.014,0.022,4536.0,1444.0,1.0
-0.153,0.986,-2.116,1.655,0.016,0.03,4032.0,1178.0,1.0
-0.038,0.933,-1.79,1.715,0.014,0.024,4251.0,1306.0,1.01
-0.136,0.89,-1.713,1.579,0.014,0.02,4360.0,1533.0,1.0
0.248,0.972,-1.501,2.059,0.015,0.025,4097.0,1395.0,1.0
-0.043,0.943,-1.763,1.699,0.017,0.024,3113.0,1186.0,1.01
-0.012,0.949,-1.637,1.869,0.014,0.024,4320.0,1444.0,1.0
-0.129,0.952,-1.906,1.569,0.015,0.026,4203.0,1391.0,1.0
-0.23,0.962,-2.053,1.538,0.017,0.024,3369.0,1652.0,1.0
-0.105,0.947,-2.067,1.471,0.014,0.023,4590.0,1469.0,1.0
-0.22,0.974,-2.013,1.643,0.016,0.023,3629.0,1454.0,1.0
-0.186,0.949,-1.919,1.608,0.017,0.022,3304.0,1558.0,1.0
-0.155,0.923,-1.861,1.534,0.016,0.021,3373.0,1505.0,1.0
-0.21,0.949,-2.022,1.598,0.016,0.022,3610.0,1355.0,1.0
-0.327,0.996,-2.122,1.528,0.015,0.025,4161.0,1203.0,1.0
-0.123,0.996,-1.906,1.827,0.016,0.029,4195.0,1035.0,1.0
0.052,0.978,-1.781,1.785,0.014,0.026,4690.0,1219.0,1.0
0.253,0.995,-1.552,2.159,0.014,0.025,4730.0,1195.0,1.0
0.35,0.968,-1.437,2.201,0.015,0.022,4349.0,1406.0,1.0
0.247,1.019,-1.702,2.203,0.015,0.026,4406.0,1378.0,1.0
0.165,0.947,-1.637,1.942,0.015,0.024,3897.0,1445.0,1.0
0.136,0.973,-1.779,1.926,0.014,0.024,4821.0,1587.0,1.01
0.172,0.954,-1.569,2.006,0.014,0.024,4638.0,1572.0,1.0
