mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-2.278,1.227,-4.644,-0.036,0.027,0.022,2020.0,1274.0,1.0
-0.447,0.856,-2.107,1.061,0.018,0.016,2294.0,1500.0,1.0
-1.06,0.617,-2.216,0.058,0.009,0.009,4415.0,1241.0,1.0
0.542,0.644,-0.646,1.799,0.012,0.013,3180.0,1380.0,1.0
3.324,0.62,2.177,4.495,0.017,0.012,1343.0,1414.0,1.0
1.145,0.273,0.65,1.647,0.01,0.007,829.0,1202.0,1.01
0.411,0.112,0.202,0.614,0.004,0.003,920.0,1251.0,1.0
0.075,0.067,-0.049,0.202,0.001,0.001,2936.0,1245.0,1.0
-0.022,0.063,-0.135,0.098,0.001,0.001,3913.0,1756.0,1.01
-0.216,0.08,-0.373,-0.081,0.002,0.002,1458.0,1486.0,1.0
-0.173,0.085,-0.332,-0.023,0.002,0.002,1842.0,1405.0,1.0
-0.319,0.111,-0.523,-0.121,0.003,0.002,1474.0,1556.0,1.0
-0.295,0.123,-0.541,-0.087,0.003,0.002,1700.0,1513.0,1.0
-0.177,0.129,-0.424,0.057,0.003,0.002,2585.0,1456.0,1.01
-0.19,0.145,-0.452,0.072,0.003,0.003,2608.0,1423.0,1.0
0.041,0.147,-0.236,0.327,0.002,0.004,3728.0,1355.0,1.0
-0.489,0.188,-0.846,-0.162,0.005,0.004,1520.0,1234.0,1.0
0.126,0.176,-0.211,0.462,0.003,0.003,3649.0,1542.0,1.0
0.174,0.162,-0.148,0.468,0.003,0.003,4394.0,1340.0,1.0
-0.02,1.019,-1.934,1.896,0.014,0.029,5321.0,1102.0,1.0
0.074,1.001,-1.853,2.001,0.015,0.032,4327.0,1163.0,1.0
0.144,0.964,-1.836,1.768,0.014,0.024,4821.0,1418.0,1.0
0.132,1.0,-1.661,2.027,0.014,0.026,5124.0,1384.0,1.0
0.086,0.98,-1.623,1.957,0.014,0.026,4988.0,1377.0,1.0
0.045,0.944,-1.729,1.727,0.013,0.023,5284.0,1638.0,1.0
0.172,0.965,-1.68,1.855,0.014,0.023,5079.0,1660.0,1.0
0.199,0.986,-1.744,1.9,0.014,0.025,5152.0,1393.0,1.0
0.12,1.019,-1.68,2.169,0.015,0.029,4544.0,1361.0,1.01
0.06,0.981,-1.721,1.921,0.014,0.024,5420.0,1239.0,1.0
0.129,1.011,-1.796,1.954,0.013,0.03,5785.0,1095.0,1.0
0.151,0.994,-1.727,1.875,0.014,0.027,5198.0,1383.0,1.0
0.179,0.997,-1.711,1.975,0.013,0.025,5645.0,1378.0,1.0
0.167,1.019,-1.688,2.107,0.016,0.024,3933.0,1536.0,1.0
0.228,0.981,-1.543,2.176,0.012,0.024,6602.0,1477.0,1.0
0.21,0.988,-1.624,1.988,0.015,0.025,4373.0,1383.0,1.0
0.085,0.962,-1.701,1.99,0.013,0.026,5398.0,1310.0,1.0
0.067,0.988,-1.728,1.903,0.014,0.027,5057.0,1240.0,1.0
0.07,0.959,-1.65,2.025,0.013,0.025,5212.0,1380.0,1.0
0.052,1.019,-1.839,1.937,0.014,0.028,4978.0,1378.0,1.0
0.029,1.001,-1.862,1.905,0.012,0.025,6430.0,1607.0,1.0
-0.028,0.994,-1.928,1.89,0.015,0.028,4469.0,1240.0,1.01
-0.06,1.047,-2.032,1.93,0.014,0.03,5579.0,1279.0,1.0
-0.054,0.968,-1.835,1.813,0.013,0.026,5355.0,1373.0,1.0
0.028,1.015,-1.894,1.904,0.012,0.026,6602.0,1368.0,1.0
-0.015,0.932,-1.78,1.634,0.013,0.022,5114.0,1706.0,1.0
-0.036,1.039,-1.969,1.801,0.013,0.027,6016.0,1544.0,1.0
-0.002,0.897,-1.728,1.564,0.014,0.022,4389.0,1360.0,1.0
-0.16,0.97,-1.947,1.706,0.013,0.026,5458.0,1378.0,1.0
-0.046,0.975,-1.865,1.721,0.013,0.025,6087.0,1548.0,1.0
-0.104,0.982,-1.914,1.791,0.013,0.025,5668.0,1566.0,1.0
-0.068,1.017,-1.973,1.821,0.013,0.028,6291.0,1432.0,1.0
-0.082,0.995,-1.969,1.666,0.015,0.025,4455.0,1447.0,1.0
-0.003,0.98,-1.752,1.937,0.013,0.027,5545.0,1413.0,1.01
0.143,0.983,-1.726,1.962,0.013,0.025,6186.0,1539.0,1.0
0.087,0.974,-1.746,1.891,0.014,0.025,5202.0,1406.0,1.0
