mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.135,1.073,-6.144,-2.196,0.037,0.028,889.0,596.0,1.01
-0.443,0.957,-2.315,1.284,0.024,0.018,1588.0,1422.0,1.0
0.238,0.912,-1.392,2.038,0.021,0.023,1926.0,1370.0,1.0
0.966,0.832,-0.593,2.546,0.019,0.016,1990.0,1581.0,1.0
2.176,0.73,0.898,3.671,0.017,0.012,1944.0,1280.0,1.0
1.483,0.629,0.343,2.619,0.021,0.015,889.0,1226.0,1.0
1.367,0.519,0.468,2.342,0.016,0.012,1094.0,1345.0,1.0
1.122,0.426,0.418,1.964,0.016,0.012,736.0,794.0,1.01
0.279,0.285,-0.213,0.845,0.008,0.007,1566.0,1012.0,1.0
0.527,0.291,0.032,1.122,0.009,0.008,1078.0,885.0,1.0
0.57,0.273,0.086,1.081,0.008,0.006,1150.0,1189.0,1.0
0.309,0.246,-0.153,0.754,0.006,0.005,1692.0,1357.0,1.0
0.408,0.228,-0.011,0.843,0.006,0.005,1386.0,1207.0,1.0
0.366,0.207,0.011,0.792,0.007,0.005,955.0,1180.0,1.0
0.287,0.192,-0.076,0.64,0.005,0.004,1402.0,1297.0,1.0
0.449,0.2,0.103,0.845,0.008,0.006,624.0,898.0,1.01
-0.073,0.165,-0.419,0.21,0.005,0.004,1343.0,1275.0,1.0
-0.103,0.166,-0.426,0.211,0.005,0.004,1426.0,1135.0,1.0
-0.264,0.179,-0.604,0.06,0.006,0.005,1181.0,850.0,1.0
-0.045,1.039,-1.87,1.965,0.021,0.026,2399.0,1394.0,1.0
0.21,0.944,-1.416,1.979,0.017,0.023,2989.0,1407.0,1.0
0.657,0.916,-1.097,2.31,0.017,0.018,2901.0,1082.0,1.0
0.037,0.878,-1.589,1.688,0.019,0.023,2079.0,1397.0,1.0
0.265,0.873,-1.317,1.887,0.017,0.019,2679.0,1543.0,1.0
0.428,0.908,-1.271,2.089,0.019,0.02,2268.0,1270.0,1.0
0.855,0.891,-0.791,2.503,0.019,0.015,2212.0,1166.0,1.0
0.61,0.893,-1.118,2.2,0.02,0.017,2097.0,1173.0,1.0
0.167,0.857,-1.317,1.937,0.018,0.02,2220.0,1241.0,1.01
0.228,0.895,-1.399,1.937,0.02,0.021,2122.0,1464.0,1.0
-0.446,0.93,-2.235,1.275,0.02,0.02,2246.0,1106.0,1.01
