mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-3.656,1.05,-5.749,-1.712,0.024,0.017,2011.0,1195.0,1.0
-0.488,0.969,-2.26,1.377,0.017,0.019,3064.0,1361.0,1.0
0.62,0.794,-0.775,2.195,0.014,0.013,3218.0,1767.0,1.0
2.228,0.676,1.095,3.586,0.012,0.009,3470.0,1573.0,1.0
2.484,0.599,1.433,3.631,0.02,0.014,910.0,1309.0,1.0
1.12,0.313,0.566,1.744,0.01,0.007,936.0,1215.0,1.0
0.73,0.222,0.34,1.151,0.007,0.005,1162.0,1380.0,1.0
0.6,0.182,0.297,0.968,0.005,0.004,1208.0,1465.0,1.0
0.21,0.133,-0.049,0.444,0.003,0.003,1878.0,1336.0,1.0
0.219,0.126,-0.01,0.448,0.003,0.002,2160.0,1610.0,1.0
0.223,0.129,-0.005,0.486,0.003,0.002,2207.0,1375.0,1.0
0.144,0.125,-0.087,0.385,0.003,0.003,1427.0,1010.0,1.0
0.006,0.118,-0.218,0.223,0.002,0.003,3056.0,1291.0,1.0
0.125,0.118,-0.095,0.343,0.002,0.002,2369.0,1372.0,1.0
0.044,0.112,-0.157,0.266,0.002,0.003,2995.0,1466.0,1.0
0.254,0.119,0.034,0.477,0.003,0.002,1625.0,1443.0,1.0
0.008,0.106,-0.202,0.204,0.002,0.002,2826.0,1319.0,1.0
0.069,0.1,-0.12,0.256,0.002,0.002,3000.0,1547.0,1.0
-0.269,0.123,-0.503,-0.041,0.003,0.002,1721.0,1414.0,1.0
-0.048,0.995,-1.715,2.096,0.014,0.027,5261.0,1449.0,1.0
0.413,0.91,-1.251,2.183,0.013,0.02,5001.0,1487.0,1.0
0.644,0.876,-0.94,2.287,0.013,0.018,4572.0,1523.0,1.0
0.271,0.877,-1.501,1.793,0.014,0.02,3804.0,1352.0,1.0
0.425,0.874,-1.296,2.001,0.012,0.018,5337.0,1477.0,1.0
0.594,0.877,-1.11,2.171,0.015,0.016,3473.0,1373.0,1.0
0.438,0.864,-1.236,2.038,0.014,0.02,4032.0,1313.0,1.0
0.091,0.838,-1.47,1.67,0.012,0.022,5259.0,1346.0,1.0
0.362,0.855,-1.268,1.91,0.013,0.019,4516.0,1568.0,1.0
0.536,0.849,-1.143,2.02,0.013,0.016,4074.0,1441.0,1.0
-0.016,0.828,-1.665,1.446,0.013,0.022,3847.0,1173.0,1.0
-0.04,0.812,-1.501,1.568,0.013,0.022,3857.0,1417.0,1.0
-0.249,0.828,-1.793,1.281,0.014,0.021,3487.0,1072.0,1.0
-0.197,0.844,-1.783,1.328,0.012,0.023,4959.0,1389.0,1.01
-0.415,0.834,-2.015,1.113,0.013,0.019,3869.0,1482.0,1.0
-0.252,0.838,-1.735,1.396,0.015,0.018,3269.0,1587.0,1.0
-0.361,0.82,-1.868,1.196,0.013,0.017,4069.0,1669.0,1.0
-0.31,0.859,-1.875,1.301,0.013,0.019,4404.0,1322.0,1.0
-0.431,0.877,-2.051,1.27,0.014,0.018,4019.0,1224.0,1.0
-0.017,0.903,-1.668,1.691,0.013,0.025,5040.0,1330.0,1.01
-0.244,0.881,-1.842,1.468,0.013,0.022,4327.0,1406.0,1.0
-0.505,0.874,-2.074,1.18,0.015,0.018,3533.0,1641.0,1.0
-0.126,0.838,-1.739,1.341,0.015,0.02,3203.0,1436.0,1.01
-0.463,0.866,-2.138,1.105,0.015,0.018,3244.0,1472.0,1.0
-0.096,0.814,-1.737,1.332,0.013,0.017,3918.0,1657.0,1.0
-0.086,0.861,-1.796,1.468,0.015,0.02,3373.0,1362.0,1.0
-0.642,0.879,-2.223,1.014,0.014,0.014,4219.0,1598.0,1.0
-0.401,0.863,-2.078,1.168,0.014,0.02,3910.0,1423.0,1.01
-0.484,0.861,-2.038,1.12,0.011,0.019,5858.0,1398.0,1.01
-0.113,0.837,-1.728,1.393,0.014,0.02,3640.0,1416.0,1.0
0.236,0.871,-1.332,1.874,0.013,0.024,4178.0,1408.0,1.0
0.062,0.843,-1.452,1.706,0.013,0.023,3993.0,1127.0,1.0
0.231,0.871,-1.337,1.925,0.014,0.021,3874.0,1483.0,1.0
0.208,0.863,-1.522,1.683,0.014,0.019,3964.0,1677.0,1.0
0.585,0.826,-1.006,2.115,0.013,0.016,3932.0,1539.0,1.0
0.508,0.849,-1.119,1.994,0.012,0.017,4904.0,1598.0,1.0
0.126,0.884,-1.545,1.784,0.014,0.022,4210.0,1497.0,1.0
0.038,0.859,-1.72,1.535,0.014,0.021,3846.0,1517.0,1.0
0.418,0.838,-1.193,1.89,0.013,0.017,4253.0,1573.0,1.0
0.757,0.868,-0.923,2.308,0.013,0.015,4161.0,1463.0,1.01
0.693,0.863,-0.942,2.212,0.012,0.015,4976.0,1473.0,1.0
0.973,0.848,-0.516,2.646,0.014,0.014,3427.0,1335.0,1.0
1.039,0.841,-0.539,2.606,0.014,0.013,3723.0,1195.0,1.0
1.237,0.828,-0.262,2.787,0.012,0.012,4961.0,1563.0,1.0
1.184,0.867,-0.484,2.7,0.014,0.013,4025.0,1403.0,1.0
0.817,0.801,-0.708,2.243,0.014,0.013,3489.0,1563.0,1.0
0.664,0.804,-0.741,2.294,0.012,0.013,4756.0,1318.0,1.0
0.723,0.809,-0.742,2.343,0.012,0.014,4516.0,1370.0,1.0
0.512,0.78,-1.006,1.858,0.012,0.014,4144.0,1573.0,1.0
-0.074,0.8,-1.535,1.476,0.011,0.02,5100.0,1550.0,1.0
-0.414,0.807,-1.809,1.19,0.013,0.018,3784.0,1415.0,1.0
0.651,0.849,-0.999,2.16,0.011,0.015,5743.0,1683.0,1.0
-0.0,0.981,-1.728,1.992,0.014,0.024,4832.0,1620.0,1.01
-0.059,1.023,-2.015,1.811,0.014,0.028,5010.0,1436.0,1.0
0.08,1.01,-1.706,2.134,0.014,0.027,5013.0,1418.0,1.0
0.249,0.978,-1.542,2.133,0.014,0.027,5151.0,1395.0,1.0
0.017,0.986,-2.001,1.757,0.013,0.027,5852.0,1273.0,1.0
0.02,0.96,-1.891,1.766,0.015,0.023,4228.0,1565.0,1.01
-0.445,0.981,-2.337,1.39,0.013,0.023,5404.0,1232.0,1.0
-0.523,1.018,-2.345,1.415,0.013,0.022,6217.0,1334.0,1.0
-0.67,0.979,-2.515,1.128,0.014,0.019,4836.0,1468.0,1.0
-0.554,0.959,-2.489,1.064,0.014,0.019,4794.0,1491.0,1.01
-0.349,0.942,-2.045,1.435,0.014,0.022,4918.0,1399.0,1.0
-0.648,0.959,-2.301,1.259,0.014,0.02,4688.0,1459.0,1.0
-0.421,0.954,-2.291,1.348,0.014,0.023,4674.0,1258.0,1.0
-0.223,0.969,-2.036,1.516,0.013,0.025,5319.0,1290.0,1.01
-0.3,0.951,-2.128,1.467,0.014,0.023,4322.0,1501.0,1.0
-0.572,0.948,-2.22,1.27,0.014,0.023,4339.0,1159.0,1.01
-0.789,0.991,-2.595,1.046,0.014,0.018,4886.0,1530.0,1.0
-0.663,0.943,-2.351,1.097,0.013,0.019,5410.0,1295.0,1.0
-0.463,0.934,-2.174,1.366,0.014,0.02,4472.0,1451.0,1.0
-0.629,0.954,-2.194,1.302,0.013,0.02,5077.0,1374.0,1.0
-0.51,0.897,-2.269,1.069,0.016,0.02,3174.0,1135.0,1.01
-0.399,0.911,-1.99,1.408,0.016,0.021,3360.0,1109.0,1.0
-0.246,0.965,-2.034,1.61,0.014,0.024,4345.0,1155.0,1.0
-0.388,0.943,-2.106,1.416,0.013,0.023,5324.0,1336.0,1.0
-0.328,0.946,-1.992,1.525,0.015,0.023,4275.0,1433.0,1.0
-0.176,0.884,-1.711,1.653,0.014,0.022,3926.0,1373.0,1.0
0.226,0.871,-1.349,1.892,0.013,0.021,4159.0,1396.0,1.0
-0.352,0.934,-2.066,1.55,0.014,0.023,4414.0,1284.0,1.0
-0.071,0.896,-1.635,1.789,0.013,0.023,4743.0,1167.0,1.0
-0.204,0.933,-1.895,1.564,0.014,0.023,4495.0,1467.0,1.0
-0.155,0.906,-1.79,1.547,0.013,0.022,5140.0,1345.0,1.0
-0.038,0.918,-1.647,1.762,0.013,0.025,4979.0,1292.0,1.0
-0.257,0.915,-1.957,1.484,0.012,0.021,5493.0,1614.0,1.0
-0.486,0.962,-2.445,1.175,0.013,0.022,5142.0,1296.0,1.0
-0.422,0.89,-2.083,1.193,0.013,0.021,4731.0,1393.0,1.0
-0.424,0.945,-2.292,1.272,0.014,0.022,4694.0,1116.0,1.0
-0.401,0.928,-2.15,1.194,0.014,0.021,4285.0,1537.0,1.0
-0.288,0.922,-1.971,1.439,0.013,0.025,5238.0,1331.0,1.0
-0.082,0.889,-1.676,1.688,0.013,0.023,4613.0,1431.0,1.0
-0.062,0.925,-1.727,1.805,0.013,0.024,4924.0,1380.0,1.0
-0.236,0.943,-2.05,1.461,0.016,0.024,3636.0,1282.0,1.0
-0.075,0.907,-1.765,1.636,0.014,0.022,4008.0,1642.0,1.0
-0.136,0.905,-1.849,1.518,0.013,0.025,5139.0,1389.0,1.0
-0.302,0.913,-1.999,1.404,0.013,0.022,4683.0,1417.0,1.0
-0.283,0.931,-2.032,1.4,0.012,0.022,6324.0,1449.0,1.0
-0.34,0.909,-2.085,1.294,0.012,0.022,5420.0,1406.0,1.01
-0.159,0.901,-1.782,1.555,0.013,0.021,4777.0,1656.0,1.01
0.095,0.915,-1.743,1.728,0.013,0.022,4473.0,1407.0,1.0
0.153,0.887,-1.573,1.755,0.015,0.021,3669.0,1536.0,1.0
-0.214,0.884,-1.798,1.524,0.014,0.021,3858.0,1429.0,1.0
-0.366,0.916,-2.218,1.262,0.014,0.021,4406.0,1427.0,1.0
-0.209,0.907,-1.891,1.513,0.016,0.027,3025.0,1251.0,1.01
0.197,0.919,-1.687,1.826,0.014,0.022,4293.0,1328.0,1.01
0.119,0.909,-1.616,1.76,0.013,0.023,5020.0,1397.0,1.0
0.077,0.872,-1.673,1.541,0.014,0.025,3892.0,1159.0,1.0
-0.107,0.934,-1.88,1.635,0.014,0.024,4697.0,1644.0,1.0
-0.015,0.892,-1.557,1.81,0.014,0.021,4204.0,1528.0,1.0
0.049,0.863,-1.517,1.688,0.012,0.021,4700.0,1473.0,1.0
0.033,0.864,-1.618,1.609,0.012,0.022,4986.0,1258.0,1.0
-0.128,0.894,-1.627,1.693,0.013,0.024,4565.0,1392.0,1.0
-0.079,0.909,-1.84,1.6,0.013,0.024,4834.0,1297.0,1.0
0.224,0.91,-1.473,1.819,0.014,0.022,4346.0,1540.0,1.0
0.564,0.91,-1.166,2.22,0.015,0.02,3688.0,1270.0,1.0
0.701,0.864,-0.955,2.298,0.013,0.016,4307.0,1356.0,1.0
0.574,0.903,-1.111,2.219,0.013,0.016,4685.0,1352.0,1.0
0.511,0.929,-1.181,2.193,0.014,0.02,4312.0,1472.0,1.0
0.315,0.884,-1.321,1.942,0.013,0.022,4435.0,1356.0,1.0
0.361,0.897,-1.281,2.089,0.014,0.021,3961.0,1200.0,1.01
0.097,0.897,-1.442,1.907,0.015,0.021,3558.0,1726.0,1.0
-0.004,0.932,-1.866,1.6,0.014,0.023,4235.0,1458.0,1.0
-0.009,0.916,-1.713,1.779,0.015,0.024,3934.0,1367.0,1.0
0.264,0.915,-1.432,1.986,0.013,0.024,5180.0,1407.0,1.0
0.458,0.908,-1.244,2.151,0.013,0.02,4531.0,1295.0,1.0
0.33,0.872,-1.298,1.987,0.014,0.022,4009.0,1191.0,1.0
-0.019,0.906,-1.733,1.576,0.013,0.026,4862.0,1417.0,1.0
-0.081,0.918,-1.902,1.546,0.014,0.023,4311.0,1247.0,1.0
0.165,0.926,-1.49,1.912,0.014,0.024,4367.0,1410.0,1.01
0.035,0.952,-1.745,1.819,0.015,0.024,4097.0,1558.0,1.0
0.51,0.881,-1.178,2.05,0.012,0.017,5031.0,1741.0,1.0
0.446,0.92,-1.225,2.163,0.012,0.02,6130.0,1594.0,1.0
0.587,0.91,-1.132,2.257,0.011,0.018,6602.0,1112.0,1.0
0.688,0.937,-1.092,2.401,0.013,0.02,5053.0,1311.0,1.0
0.602,0.922,-1.104,2.397,0.012,0.017,5493.0,1365.0,1.0
0.544,0.909,-1.209,2.229,0.015,0.019,3886.0,1503.0,1.0
0.455,0.916,-1.27,2.142,0.014,0.02,4420.0,1207.0,1.0
0.433,0.929,-1.192,2.214,0.013,0.019,4916.0,1564.0,1.0
0.422,0.936,-1.428,2.013,0.014,0.02,4419.0,1461.0,1.01
0.358,0.959,-1.429,2.158,0.015,0.025,4199.0,1088.0,1.0
0.421,0.942,-1.301,2.181,0.016,0.021,3673.0,1455.0,1.0
0.51,0.918,-1.142,2.267,0.014,0.02,4237.0,1394.0,1.0
0.801,0.923,-0.836,2.623,0.012,0.016,6176.0,1385.0,1.0
0.834,0.925,-0.827,2.652,0.014,0.018,4638.0,1252.0,1.0
0.629,0.887,-0.909,2.457,0.013,0.018,4835.0,1353.0,1.0
0.493,0.954,-1.319,2.214,0.013,0.024,5147.0,1334.0,1.0
0.527,0.879,-1.159,2.111,0.015,0.018,3646.0,1394.0,1.01
0.465,0.852,-1.068,2.06,0.014,0.018,3884.0,1358.0,1.0
0.623,0.956,-1.175,2.465,0.013,0.021,5555.0,1428.0,1.0
0.463,0.919,-1.367,2.117,0.013,0.021,4629.0,917.0,1.01
0.365,0.925,-1.418,2.023,0.012,0.019,6128.0,1744.0,1.0
0.427,0.896,-1.217,2.062,0.014,0.018,4104.0,1347.0,1.0
0.58,0.924,-1.198,2.21,0.013,0.019,4743.0,1568.0,1.0
0.089,0.904,-1.737,1.716,0.015,0.021,3668.0,1521.0,1.0
-0.052,0.952,-1.847,1.775,0.014,0.024,4755.0,1448.0,1.0
-0.047,0.929,-1.811,1.653,0.014,0.026,4702.0,1157.0,1.01
0.219,0.986,-1.538,2.14,0.013,0.026,5547.0,1461.0,1.0
0.111,0.903,-1.456,1.939,0.013,0.024,4769.0,1589.0,1.0
-0.049,0.959,-1.806,1.744,0.015,0.024,4166.0,1400.0,1.0
-0.059,0.966,-1.755,1.833,0.016,0.024,3563.0,1442.0,1.0
-0.162,0.925,-1.837,1.609,0.014,0.025,4719.0,1359.0,1.0
0.042,0.957,-1.785,1.892,0.013,0.026,5243.0,1219.0,1.0
0.058,0.997,-1.82,1.936,0.014,0.029,5182.0,1306.0,1.0
-0.039,0.97,-1.849,1.695,0.013,0.026,5561.0,1372.0,1.01
-0.062,0.939,-1.767,1.775,0.014,0.023,4465.0,1538.0,1.0
0.054,0.96,-1.735,1.847,0.016,0.027,3673.0,1291.0,1.0
0.138,0.943,-1.64,1.973,0.015,0.027,4060.0,1071.0,1.01
0.106,0.984,-1.695,1.946,0.014,0.026,4827.0,1350.0,1.0
-0.014,1.009,-1.826,1.858,0.017,0.025,3555.0,1440.0,1.0
-0.207,0.974,-2.007,1.668,0.012,0.024,6602.0,1120.0,1.0
-0.2,0.958,-1.948,1.629,0.012,0.024,6602.0,1544.0,1.01
-0.126,1.003,-2.136,1.601,0.014,0.027,5080.0,1419.0,1.01
-0.177,0.96,-2.074,1.462,0.014,0.023,4825.0,1403.0,1.0
-0.047,1.032,-2.092,1.776,0.013,0.029,6589.0,1518.0,1.0
-0.133,1.003,-2.082,1.736,0.015,0.024,4286.0,1366.0,1.0
-0.18,0.973,-2.024,1.571,0.014,0.024,4870.0,1242.0,1.0
-0.154,0.977,-2.022,1.679,0.014,0.026,5216.0,1221.0,1.01
-0.113,0.972,-1.798,1.843,0.014,0.027,5031.0,1184.0,1.0
-0.11,0.997,-2.135,1.716,0.012,0.026,6602.0,1483.0,1.0
-0.059,0.964,-1.775,1.868,0.015,0.024,4106.0,1424.0,1.0
-0.08,0.994,-1.932,1.801,0.014,0.028,4977.0,1387.0,1.0
-0.032,0.996,-1.838,1.861,0.013,0.029,6116.0,1302.0,1.01
-0.031,0.978,-1.847,1.823,0.013,0.025,5694.0,1282.0,1.0
-0.016,0.98,-1.897,1.782,0.013,0.024,5616.0,1565.0,1.0
-0.021,1.003,-1.987,1.765,0.015,0.025,4646.0,1674.0,1.0
0.006,0.932,-1.805,1.683,0.012,0.033,6186.0,1100.0,1.02
0.004,1.033,-2.0,1.794,0.014,0.027,5698.0,1398.0,1.0
-0.01,0.983,-1.842,1.846,0.014,0.028,4754.0,1237.0,1.01
