mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.212,0.997,-6.007,-2.285,0.018,0.014,3219.0,1636.0,1.01
-0.539,0.957,-2.367,1.182,0.016,0.019,3653.0,1606.0,1.0
-0.029,0.892,-1.666,1.747,0.013,0.027,4446.0,1297.0,1.0
0.415,0.837,-1.185,1.929,0.015,0.017,3282.0,1641.0,1.0
1.009,0.786,-0.449,2.465,0.012,0.012,4092.0,1271.0,1.0
1.435,0.749,0.077,2.871,0.013,0.011,3317.0,1588.0,1.0
1.004,0.629,-0.16,2.174,0.014,0.011,2169.0,1657.0,1.0
1.008,0.518,0.067,2.006,0.015,0.011,1265.0,1547.0,1.0
1.476,0.452,0.642,2.307,0.02,0.014,542.0,1148.0,1.01
0.965,0.317,0.415,1.561,0.014,0.01,562.0,970.0,1.01
1.075,0.273,0.597,1.607,0.015,0.011,322.0,916.0,1.01
0.784,0.212,0.411,1.159,0.012,0.009,325.0,933.0,1.02
0.871,0.212,0.495,1.265,0.013,0.009,250.0,904.0,1.02
0.543,0.142,0.28,0.801,0.007,0.005,395.0,798.0,1.01
0.599,0.148,0.34,0.882,0.009,0.006,285.0,798.0,1.02
0.498,0.127,0.278,0.752,0.007,0.005,339.0,915.0,1.01
0.317,0.095,0.143,0.494,0.004,0.003,450.0,999.0,1.01
0.305,0.095,0.145,0.484,0.004,0.003,535.0,1087.0,1.01
0.038,0.067,-0.093,0.163,0.001,0.002,3420.0,1390.0,1.0
-0.068,1.015,-2.054,1.73,0.015,0.027,4846.0,1380.0,1.0
-0.336,0.82,-1.98,1.091,0.011,0.017,5524.0,1844.0,1.0
-0.219,0.807,-1.678,1.317,0.013,0.019,4126.0,1592.0,1.0
0.03,0.766,-1.351,1.486,0.013,0.017,3404.0,1695.0,1.0
0.198,0.759,-1.235,1.639,0.012,0.017,3900.0,1411.0,1.0
-0.009,0.785,-1.416,1.45,0.012,0.021,4080.0,1284.0,1.0
0.466,0.821,-1.044,2.01,0.012,0.018,4480.0,1524.0,1.0
0.23,0.791,-1.252,1.714,0.011,0.02,4799.0,1486.0,1.0
0.151,0.797,-1.373,1.635,0.013,0.019,3778.0,1310.0,1.0
0.065,0.772,-1.417,1.441,0.012,0.02,4398.0,1347.0,1.0
-0.132,0.765,-1.627,1.207,0.013,0.017,3582.0,1564.0,1.0
-0.051,0.77,-1.507,1.405,0.012,0.017,3896.0,1594.0,1.0
0.05,0.8,-1.55,1.47,0.013,0.02,3821.0,1350.0,1.0
0.357,0.783,-1.188,1.683,0.013,0.017,3768.0,1621.0,1.0
0.508,0.81,-1.008,2.006,0.011,0.016,5110.0,1494.0,1.0
0.237,0.787,-1.182,1.801,0.011,0.019,5171.0,1638.0,1.0
0.212,0.784,-1.246,1.656,0.013,0.018,3641.0,1507.0,1.0
0.35,0.794,-1.228,1.766,0.013,0.016,3947.0,1581.0,1.0
0.207,0.786,-1.369,1.632,0.012,0.019,4068.0,1312.0,1.0
0.102,0.773,-1.333,1.562,0.012,0.018,3835.0,1455.0,1.0
0.36,0.773,-1.133,1.717,0.011,0.017,5090.0,1605.0,1.0
0.469,0.795,-1.072,1.915,0.011,0.016,4869.0,1649.0,1.0
0.326,0.775,-1.116,1.827,0.012,0.018,4324.0,1499.0,1.0
0.409,0.773,-1.026,1.896,0.013,0.015,3569.0,1573.0,1.01
0.026,0.792,-1.364,1.57,0.013,0.02,4064.0,1374.0,1.0
0.049,0.788,-1.312,1.605,0.012,0.019,4078.0,1458.0,1.0
0.385,0.778,-0.978,1.925,0.012,0.021,4179.0,1240.0,1.0
0.214,0.778,-1.317,1.541,0.012,0.017,4257.0,1590.0,1.01
-0.312,0.775,-1.732,1.091,0.013,0.018,3860.0,1298.0,1.0
0.236,0.779,-1.212,1.71,0.011,0.018,4687.0,1651.0,1.0
-0.374,0.794,-1.791,1.146,0.013,0.018,3642.0,1397.0,1.0
-0.378,0.794,-1.876,1.058,0.012,0.017,4308.0,1359.0,1.0
-0.388,0.763,-1.778,1.04,0.013,0.015,3670.0,1792.0,1.0
-0.841,0.782,-2.387,0.571,0.012,0.014,4560.0,1271.0,1.0
-0.999,0.792,-2.449,0.499,0.011,0.011,4827.0,1614.0,1.0
-0.783,0.783,-2.118,0.736,0.012,0.012,4248.0,1595.0,1.0
-0.567,0.817,-2.15,0.873,0.012,0.014,4661.0,1665.0,1.0
-0.742,0.82,-2.249,0.743,0.011,0.015,6058.0,1622.0,1.01
-0.323,0.782,-1.712,1.235,0.012,0.017,4400.0,1626.0,1.0
-0.18,0.787,-1.68,1.237,0.013,0.018,3903.0,1538.0,1.0
-0.81,0.781,-2.251,0.626,0.012,0.015,4160.0,1404.0,1.0
-0.079,0.811,-1.619,1.363,0.011,0.018,5060.0,1369.0,1.0
-0.421,0.836,-1.998,1.15,0.014,0.017,3614.0,1406.0,1.0
-0.598,0.839,-2.082,1.067,0.014,0.016,3782.0,1440.0,1.0
-1.063,0.792,-2.564,0.382,0.013,0.012,3984.0,1666.0,1.0
-1.188,0.797,-2.807,0.188,0.013,0.012,3781.0,1345.0,1.0
-1.931,0.839,-3.494,-0.397,0.013,0.011,4333.0,1293.0,1.0
-1.344,0.812,-2.871,0.087,0.012,0.011,4729.0,1512.0,1.0
-0.799,0.822,-2.348,0.699,0.012,0.014,4713.0,1366.0,1.0
-0.77,0.829,-2.323,0.691,0.013,0.014,4004.0,1618.0,1.0
-0.769,0.84,-2.277,0.855,0.013,0.015,4393.0,1424.0,1.0
-0.987,0.879,-2.502,0.842,0.012,0.017,5519.0,1360.0,1.0
-0.002,0.987,-1.77,1.897,0.014,0.026,4880.0,1494.0,1.0
-0.014,1.001,-1.875,1.809,0.013,0.027,5475.0,1319.0,1.0
-0.035,1.017,-1.833,1.909,0.013,0.033,6218.0,1336.0,1.01
0.003,0.989,-1.794,1.833,0.013,0.024,5377.0,1421.0,1.0
-0.02,0.983,-1.791,1.835,0.014,0.026,4595.0,1493.0,1.01
-0.024,0.969,-1.84,1.738,0.013,0.024,5227.0,1492.0,1.01
0.023,1.0,-1.848,1.882,0.012,0.027,6576.0,1444.0,1.01
0.01,1.007,-1.734,1.945,0.012,0.028,6565.0,1392.0,1.01
0.103,0.999,-1.747,1.966,0.012,0.028,6602.0,1195.0,1.01
-0.003,0.969,-1.801,1.758,0.016,0.024,3933.0,1285.0,1.0
-0.071,0.973,-2.063,1.636,0.013,0.026,5668.0,1269.0,1.0
-0.047,0.987,-2.024,1.737,0.014,0.024,5053.0,1542.0,1.0
-0.07,0.976,-1.904,1.695,0.013,0.024,5148.0,1304.0,1.0
-0.107,0.992,-2.163,1.629,0.013,0.026,5640.0,1157.0,1.0
-0.167,0.97,-1.825,1.845,0.013,0.026,5287.0,1422.0,1.01
-0.102,0.975,-1.934,1.721,0.015,0.026,4367.0,1423.0,1.0
-0.201,0.955,-2.027,1.578,0.014,0.026,4646.0,1151.0,1.01
-0.294,0.982,-2.393,1.353,0.013,0.023,5374.0,1518.0,1.0
-0.185,0.976,-1.855,1.708,0.013,0.025,5936.0,1450.0,1.0
-0.233,0.985,-2.061,1.667,0.013,0.025,5535.0,1380.0,1.0
-0.158,0.951,-1.815,1.634,0.013,0.025,5093.0,1344.0,1.0
-0.207,0.954,-1.9,1.667,0.013,0.023,5484.0,1597.0,1.0
-0.346,0.955,-2.129,1.431,0.012,0.023,5863.0,1601.0,1.0
-0.394,0.996,-2.213,1.567,0.014,0.025,4762.0,1364.0,1.0
-0.313,0.954,-2.244,1.33,0.014,0.022,4749.0,1740.0,1.0
-0.345,0.975,-2.251,1.378,0.014,0.025,4706.0,1443.0,1.01
-0.17,0.969,-2.051,1.564,0.015,0.022,4221.0,1612.0,1.0
-0.113,1.014,-2.077,1.723,0.013,0.027,5879.0,1354.0,1.0
-0.005,0.963,-1.871,1.724,0.013,0.024,5600.0,1502.0,1.0
0.011,1.017,-1.89,1.949,0.013,0.028,5775.0,1368.0,1.01
-0.065,1.033,-1.959,1.885,0.014,0.028,5090.0,1291.0,1.0
-0.035,0.948,-2.014,1.578,0.014,0.026,4644.0,1279.0,1.0
-0.03,0.973,-1.947,1.764,0.015,0.024,4258.0,1399.0,1.0
0.068,0.973,-1.692,1.926,0.014,0.029,4591.0,1018.0,1.0
0.088,0.951,-1.693,1.833,0.014,0.03,4601.0,1414.0,1.0
0.138,0.97,-1.565,1.997,0.014,0.024,4522.0,1547.0,1.0
0.23,0.976,-1.597,2.074,0.014,0.029,5055.0,1401.0,1.0
0.232,0.929,-1.463,1.968,0.014,0.023,4034.0,1650.0,1.0
0.311,0.952,-1.553,2.02,0.014,0.024,4784.0,1317.0,1.0
0.396,0.921,-1.347,2.213,0.013,0.021,5123.0,1498.0,1.0
0.371,1.029,-1.667,2.156,0.013,0.026,6059.0,1420.0,1.0
0.363,0.951,-1.521,2.036,0.014,0.022,4935.0,1154.0,1.0
0.305,0.951,-1.41,2.182,0.013,0.023,5666.0,1416.0,1.0
0.275,0.953,-1.455,2.082,0.014,0.023,4814.0,1523.0,1.0
0.262,0.924,-1.414,1.994,0.014,0.021,4257.0,1654.0,1.0
0.248,0.956,-1.487,2.12,0.014,0.023,4820.0,1537.0,1.0
0.223,0.969,-1.556,2.095,0.012,0.027,6215.0,1223.0,1.0
0.108,0.939,-1.585,1.933,0.012,0.023,6547.0,1580.0,1.0
0.14,0.945,-1.626,1.888,0.013,0.024,5641.0,1487.0,1.0
0.208,0.933,-1.686,1.811,0.013,0.023,5076.0,1620.0,1.0
0.171,0.965,-1.531,2.13,0.013,0.024,5688.0,1480.0,1.0
0.133,0.93,-1.577,1.901,0.012,0.023,5649.0,1457.0,1.0
0.114,0.96,-1.774,1.83,0.014,0.026,4819.0,1172.0,1.0
-0.007,0.957,-1.656,1.952,0.012,0.023,6235.0,1673.0,1.01
-0.012,0.95,-1.97,1.62,0.013,0.025,5655.0,1422.0,1.01
-0.067,0.94,-1.796,1.696,0.012,0.024,6273.0,1526.0,1.0
0.005,0.994,-1.751,1.901,0.013,0.028,5584.0,1468.0,1.0
0.064,0.973,-1.755,2.035,0.015,0.026,4149.0,1413.0,1.0
-0.092,0.955,-1.968,1.628,0.012,0.024,5841.0,1606.0,1.0
-0.035,1.006,-1.984,1.828,0.012,0.024,6571.0,1494.0,1.0
-0.088,0.976,-1.989,1.714,0.013,0.027,5723.0,1246.0,1.0
-0.019,0.983,-1.843,1.801,0.015,0.026,4008.0,1543.0,1.0
-0.035,0.958,-1.722,1.727,0.012,0.026,6068.0,1401.0,1.0
-0.043,0.982,-1.97,1.658,0.014,0.027,4926.0,1487.0,1.0
-0.024,1.002,-1.858,2.0,0.014,0.028,5205.0,1308.0,1.0
-0.014,1.019,-1.872,1.974,0.013,0.026,6602.0,1379.0,1.0
-0.058,0.981,-1.988,1.68,0.014,0.025,4763.0,1175.0,1.0
-0.115,0.927,-1.78,1.663,0.014,0.025,4392.0,1416.0,1.01
-0.048,0.957,-1.815,1.782,0.013,0.029,5092.0,1369.0,1.0
0.033,0.951,-1.781,1.814,0.013,0.024,5624.0,1471.0,1.0
-0.008,0.994,-2.009,1.753,0.015,0.027,4505.0,1500.0,1.0
-0.01,0.993,-1.97,1.674,0.013,0.025,5631.0,1335.0,1.0
-0.094,0.983,-2.028,1.717,0.013,0.027,5545.0,1199.0,1.0
-0.167,0.986,-1.943,1.66,0.014,0.023,4663.0,1519.0,1.0
-0.185,0.951,-1.979,1.634,0.012,0.025,6550.0,1469.0,1.0
-0.171,0.997,-1.964,1.723,0.013,0.025,5867.0,1367.0,1.0
-0.114,0.967,-1.839,1.716,0.014,0.025,5113.0,1416.0,1.0
-0.173,0.952,-1.907,1.618,0.012,0.022,5925.0,1601.0,1.0
-0.195,1.02,-2.166,1.618,0.014,0.028,5330.0,1083.0,1.01
-0.258,0.975,-2.109,1.674,0.015,0.029,4210.0,1115.0,1.01
-0.255,1.004,-2.151,1.662,0.015,0.025,4586.0,1293.0,1.01
-0.215,0.967,-1.964,1.633,0.014,0.024,5016.0,1458.0,1.0
-0.21,1.026,-2.154,1.623,0.013,0.028,6602.0,1322.0,1.0
-0.173,0.975,-2.177,1.538,0.012,0.026,6207.0,1481.0,1.01
-0.179,1.021,-1.996,1.824,0.014,0.026,5724.0,1372.0,1.0
-0.197,0.999,-1.976,1.644,0.013,0.029,6251.0,1257.0,1.0
-0.17,1.038,-2.164,1.774,0.015,0.029,4747.0,1219.0,1.0
-0.181,1.031,-2.088,1.789,0.013,0.025,6462.0,1484.0,1.0
-0.143,1.049,-2.096,1.794,0.015,0.031,5357.0,1277.0,1.0
-0.13,1.014,-2.014,1.804,0.015,0.028,4732.0,1338.0,1.0
-0.109,1.014,-2.004,1.759,0.015,0.029,4781.0,1274.0,1.01
-0.129,0.977,-1.995,1.583,0.014,0.026,4904.0,1521.0,1.0
-0.127,0.973,-1.889,1.737,0.015,0.025,4510.0,1406.0,1.0
-0.07,1.045,-2.058,1.942,0.014,0.029,5400.0,1366.0,1.01
-0.073,1.02,-1.952,1.898,0.014,0.03,5190.0,1148.0,1.0
-0.05,1.004,-1.839,1.842,0.013,0.027,5760.0,1453.0,1.0
-0.083,0.988,-1.904,1.822,0.012,0.034,6602.0,1224.0,1.01
-0.1,1.025,-1.937,1.909,0.013,0.026,6602.0,1511.0,1.0
-0.092,1.017,-2.028,1.785,0.014,0.027,5684.0,1415.0,1.01
-0.098,1.008,-1.931,1.732,0.014,0.033,5072.0,1337.0,1.0
-0.075,1.015,-1.968,1.81,0.013,0.029,5695.0,1163.0,1.0
-0.069,0.921,-1.792,1.617,0.012,0.022,5657.0,1611.0,1.0
-0.093,1.026,-1.892,1.984,0.015,0.026,4823.0,1304.0,1.0
-0.078,1.0,-1.849,1.767,0.014,0.024,5251.0,1634.0,1.0
-0.059,0.998,-1.979,1.801,0.014,0.026,5010.0,1446.0,1.0
-0.046,0.982,-1.808,1.915,0.016,0.024,3857.0,1653.0,1.01
-0.045,1.008,-1.817,1.959,0.014,0.027,5381.0,1470.0,1.0
-0.066,0.97,-1.871,1.734,0.012,0.024,6332.0,1528.0,1.0
-0.041,0.986,-1.9,1.774,0.016,0.027,3818.0,1287.0,1.0
-0.025,1.012,-1.904,1.779,0.014,0.026,5022.0,1452.0,1.0
-0.02,0.97,-1.899,1.772,0.013,0.028,5878.0,1196.0,1.0
-0.046,1.024,-1.985,1.787,0.014,0.025,5495.0,1459.0,1.0
-0.005,0.988,-2.051,1.634,0.013,0.025,5478.0,1375.0,1.0
-0.04,0.991,-1.877,1.817,0.014,0.024,4895.0,1500.0,1.0
-0.021,1.036,-2.055,1.746,0.014,0.031,5425.0,1433.0,1.01
0.005,1.045,-1.877,2.128,0.014,0.031,5637.0,1011.0,1.0
-0.0,1.004,-1.778,1.92,0.014,0.028,5349.0,1396.0,1.0
-0.01,1.038,-2.024,1.83,0.015,0.032,4992.0,1347.0,1.01
0.012,1.006,-2.026,1.757,0.013,0.027,5993.0,1248.0,1.0
-0.006,0.987,-1.702,1.959,0.013,0.027,5776.0,1493.0,1.01
-0.019,1.025,-1.956,1.839,0.014,0.031,5136.0,1162.0,1.01
0.004,1.004,-1.863,1.846,0.013,0.025,5602.0,1619.0,1.0
-0.008,0.933,-1.681,1.822,0.012,0.024,6237.0,1424.0,1.0
-0.007,1.019,-1.834,1.908,0.013,0.033,5861.0,1146.0,1.01
0.0,1.034,-1.914,1.924,0.014,0.028,5609.0,1362.0,1.0
-0.032,0.974,-1.933,1.681,0.014,0.024,4669.0,1405.0,1.0
-0.007,0.985,-1.823,1.801,0.013,0.026,5752.0,1458.0,1.0
-0.009,0.998,-1.865,1.832,0.014,0.027,5026.0,1287.0,1.0
-0.017,1.004,-1.872,1.989,0.014,0.027,5992.0,1396.0,1.0
0.011,1.02,-1.949,1.878,0.013,0.028,5704.0,1305.0,1.0
0.022,0.974,-1.827,1.926,0.015,0.025,4126.0,1299.0,1.0
0.011,1.006,-1.789,1.949,0.014,0.03,5443.0,1229.0,1.01
0.002,0.929,-1.677,1.662,0.012,0.023,6371.0,1388.0,1.0
-0.008,0.956,-1.887,1.69,0.012,0.027,6205.0,1500.0,1.0
-0.004,1.019,-1.996,1.785,0.013,0.037,6602.0,1007.0,1.0
0.034,1.022,-1.879,1.944,0.017,0.027,3621.0,1266.0,1.0
0.022,0.929,-1.733,1.763,0.013,0.024,5125.0,1501.0,1.0
-0.021,0.996,-1.83,1.866,0.012,0.025,6420.0,1597.0,1.0
-0.017,1.011,-1.836,1.916,0.013,0.027,5916.0,1378.0,1.0
0.774,0.183,0.476,1.105,0.012,0.009,207.0,750.0,1.02
-0.443,0.786,-1.883,1.061,0.017,0.018,2477.0,1181.0,1.0
-0.482,1.02,-2.626,1.27,0.022,0.022,2196.0,1440.0,1.0
-0.173,1.075,-2.152,1.804,0.024,0.022,2195.0,1440.0,1.0
0.597,1.069,-1.314,2.69,0.021,0.02,2658.0,1704.0,1.01
1.69,1.042,-0.287,3.539,0.018,0.015,3328.0,1722.0,1.0
2.427,1.011,0.557,4.272,0.018,0.014,3285.0,1709.0,1.0
3.17,0.99,1.373,5.019,0.019,0.014,2861.0,1463.0,1.0
4.262,0.991,2.391,6.059,0.018,0.013,3099.0,1665.0,1.0
4.971,0.983,3.101,6.751,0.018,0.013,3095.0,1649.0,1.0
5.765,0.983,4.005,7.638,0.018,0.013,3068.0,1661.0,1.01
6.342,0.984,4.54,8.173,0.018,0.013,3091.0,1543.0,1.01
6.984,0.981,5.174,8.81,0.018,0.013,3075.0,1600.0,1.01
7.385,0.984,5.618,9.268,0.018,0.013,3108.0,1648.0,1.01
7.827,0.983,6.059,9.708,0.018,0.013,3134.0,1659.0,1.01
8.194,0.984,6.286,9.952,0.018,0.013,3106.0,1592.0,1.01
8.428,0.983,6.626,10.282,0.018,0.013,3135.0,1606.0,1.01
8.652,0.985,6.85,10.516,0.018,0.013,3148.0,1573.0,1.01
