mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.311,1.227,-6.52,-1.834,0.029,0.021,1832.0,1188.0,1.0
-0.636,0.951,-2.479,1.077,0.019,0.017,2389.0,1725.0,1.0
-0.206,0.913,-1.75,1.64,0.017,0.021,3084.0,1423.0,1.0
0.167,0.862,-1.506,1.758,0.017,0.018,2570.0,1490.0,1.01
0.536,0.877,-1.036,2.245,0.016,0.017,3020.0,1541.0,1.0
1.074,0.801,-0.311,2.691,0.017,0.013,2149.0,1414.0,1.0
1.516,0.713,0.21,2.848,0.018,0.013,1706.0,1396.0,1.0
1.702,0.586,0.625,2.847,0.022,0.016,719.0,1083.0,1.01
1.061,0.387,0.392,1.792,0.016,0.011,619.0,1019.0,1.01
1.186,0.334,0.609,1.848,0.019,0.013,334.0,699.0,1.02
0.725,0.21,0.358,1.135,0.01,0.007,442.0,736.0,1.01
0.764,0.198,0.411,1.137,0.011,0.008,308.0,775.0,1.02
0.58,0.154,0.304,0.866,0.008,0.006,382.0,600.0,1.02
0.53,0.137,0.288,0.792,0.008,0.005,315.0,754.0,1.02
0.493,0.126,0.262,0.721,0.007,0.005,313.0,709.0,1.02
0.379,0.103,0.189,0.56,0.006,0.004,376.0,703.0,1.02
0.398,0.107,0.197,0.596,0.006,0.004,367.0,683.0,1.02
0.241,0.078,0.102,0.383,0.004,0.002,498.0,888.0,1.01
-0.013,0.059,-0.128,0.093,0.001,0.001,2685.0,1511.0,1.0
-0.043,1.017,-1.896,1.883,0.016,0.026,4330.0,1541.0,1.01
-0.709,0.877,-2.416,0.868,0.012,0.018,5164.0,1174.0,1.0
-0.608,0.804,-2.07,1.008,0.014,0.015,3548.0,1570.0,1.0
0.435,0.8,-1.046,1.92,0.015,0.016,2861.0,1564.0,1.0
0.009,0.817,-1.502,1.581,0.016,0.018,2700.0,1408.0,1.0
-0.026,0.816,-1.506,1.528,0.015,0.017,2895.0,1678.0,1.0
-0.255,0.836,-1.773,1.318,0.015,0.018,3182.0,1405.0,1.0
0.587,0.803,-0.977,2.041,0.014,0.014,3124.0,1572.0,1.0
0.296,0.822,-1.269,1.795,0.015,0.017,3179.0,1593.0,1.0
0.373,0.804,-1.073,1.946,0.015,0.014,2834.0,1809.0,1.0
0.021,0.827,-1.448,1.618,0.016,0.017,2593.0,1648.0,1.0
0.281,0.806,-1.137,1.889,0.016,0.016,2683.0,1624.0,1.0
0.144,0.79,-1.245,1.714,0.014,0.017,3114.0,1580.0,1.01
0.093,0.793,-1.453,1.505,0.013,0.018,3528.0,1642.0,1.0
0.209,0.814,-1.355,1.647,0.014,0.019,3239.0,1220.0,1.0
0.226,0.822,-1.334,1.773,0.015,0.019,2988.0,1462.0,1.0
0.546,0.81,-0.943,2.103,0.012,0.015,4357.0,1653.0,1.0
0.397,0.797,-1.099,1.967,0.013,0.016,3704.0,1337.0,1.0
0.035,0.802,-1.401,1.595,0.014,0.019,3074.0,1680.0,1.01
0.378,0.835,-1.2,1.915,0.013,0.019,3982.0,1392.0,1.0
0.068,0.813,-1.452,1.608,0.014,0.022,3272.0,1337.0,1.0
0.388,0.838,-1.163,1.942,0.015,0.018,3196.0,1357.0,1.0
0.483,0.8,-0.946,2.011,0.014,0.015,3467.0,1419.0,1.0
0.518,0.797,-0.974,2.097,0.016,0.015,2655.0,1561.0,1.0
0.349,0.808,-1.174,1.778,0.014,0.018,3418.0,1564.0,1.0
0.395,0.808,-1.068,1.931,0.014,0.016,3155.0,1643.0,1.0
0.449,0.786,-0.968,1.943,0.014,0.016,2990.0,1533.0,1.01
-0.128,0.788,-1.512,1.397,0.013,0.019,3692.0,1487.0,1.01
0.079,0.777,-1.466,1.523,0.014,0.017,3192.0,1736.0,1.0
0.099,0.795,-1.472,1.504,0.015,0.018,2670.0,1368.0,1.0
0.271,0.813,-1.336,1.688,0.013,0.017,3752.0,1538.0,1.0
-0.279,0.848,-1.818,1.308,0.015,0.018,3043.0,1495.0,1.0
-0.405,0.812,-1.926,1.149,0.014,0.017,3344.0,1218.0,1.0
-0.679,0.781,-2.225,0.754,0.017,0.014,2171.0,1440.0,1.0
-0.532,0.801,-2.049,0.917,0.016,0.014,2584.0,1539.0,1.0
-0.895,0.81,-2.392,0.602,0.015,0.013,3013.0,1586.0,1.0
-0.486,0.792,-1.94,1.033,0.015,0.015,2902.0,1736.0,1.0
-0.692,0.772,-2.231,0.692,0.013,0.013,3295.0,1468.0,1.01
