mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.591,1.174,-6.73,-2.285,0.028,0.02,1813.0,1588.0,1.0
-0.598,0.971,-2.441,1.197,0.022,0.019,2020.0,1754.0,1.0
-0.082,0.874,-1.635,1.671,0.019,0.022,2109.0,1317.0,1.0
0.33,0.843,-1.246,1.936,0.017,0.017,2424.0,1537.0,1.0
0.909,0.802,-0.697,2.32,0.017,0.015,2178.0,1246.0,1.0
1.237,0.734,-0.163,2.56,0.018,0.013,1609.0,1404.0,1.0
1.908,0.588,0.884,3.055,0.022,0.015,744.0,1110.0,1.01
0.84,0.398,0.165,1.594,0.017,0.013,638.0,914.0,1.01
1.072,0.321,0.537,1.711,0.017,0.012,365.0,791.0,1.01
1.039,0.279,0.572,1.61,0.018,0.013,223.0,599.0,1.02
0.949,0.229,0.53,1.376,0.015,0.011,226.0,582.0,1.02
0.809,0.194,0.461,1.191,0.013,0.009,201.0,516.0,1.02
0.75,0.177,0.445,1.085,0.013,0.009,190.0,543.0,1.02
0.681,0.158,0.387,0.965,0.011,0.008,196.0,473.0,1.02
0.601,0.141,0.335,0.857,0.01,0.007,206.0,471.0,1.02
0.514,0.124,0.292,0.753,0.008,0.006,224.0,546.0,1.02
0.358,0.093,0.186,0.519,0.006,0.004,212.0,676.0,1.02
0.232,0.072,0.115,0.375,0.004,0.003,321.0,650.0,1.02
0.087,0.056,-0.018,0.189,0.002,0.002,1031.0,915.0,1.0
-0.02,1.004,-1.988,1.817,0.019,0.026,2948.0,1290.0,1.0
0.185,0.983,-1.668,1.964,0.018,0.021,2954.0,1515.0,1.0
0.352,0.961,-1.546,2.073,0.02,0.02,2329.0,1452.0,1.0
0.481,0.953,-1.422,2.157,0.017,0.017,3084.0,1581.0,1.0
0.404,0.957,-1.318,2.175,0.02,0.02,2416.0,1555.0,1.0
0.212,0.956,-1.648,1.904,0.019,0.021,2487.0,1500.0,1.0
0.066,0.956,-1.693,1.87,0.016,0.025,3536.0,1678.0,1.0
0.113,0.981,-1.701,1.883,0.019,0.024,2600.0,1302.0,1.0
