mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-4.716,1.203,-7.114,-2.466,0.025,0.018,2335.0,1708.0,1.0
-0.644,0.946,-2.465,1.065,0.017,0.018,3245.0,1808.0,1.0
-0.245,0.922,-2.015,1.436,0.015,0.023,3663.0,1471.0,1.01
0.065,0.857,-1.575,1.612,0.013,0.02,4074.0,1602.0,1.0
0.42,0.858,-1.138,2.013,0.014,0.017,3832.0,1629.0,1.0
0.872,0.817,-0.541,2.564,0.014,0.014,3424.0,1539.0,1.0
0.91,0.776,-0.58,2.304,0.014,0.013,2975.0,1404.0,1.0
1.158,0.666,-0.105,2.332,0.015,0.012,1999.0,1726.0,1.0
1.751,0.552,0.831,2.79,0.018,0.013,949.0,1423.0,1.0
1.299,0.388,0.637,2.047,0.016,0.011,622.0,1194.0,1.01
0.974,0.289,0.488,1.515,0.013,0.009,559.0,750.0,1.01
0.869,0.223,0.467,1.267,0.01,0.007,515.0,961.0,1.01
0.764,0.195,0.406,1.112,0.009,0.006,490.0,796.0,1.01
0.711,0.174,0.4,1.04,0.009,0.006,413.0,562.0,1.01
0.466,0.126,0.25,0.71,0.006,0.004,514.0,905.0,1.01
0.45,0.117,0.231,0.667,0.005,0.004,487.0,660.0,1.01
0.346,0.099,0.167,0.53,0.004,0.003,625.0,989.0,1.0
0.232,0.08,0.096,0.379,0.003,0.002,695.0,831.0,1.01
0.016,0.06,-0.09,0.143,0.001,0.002,2734.0,1238.0,1.0
0.0,1.013,-1.909,1.914,0.015,0.03,4718.0,1041.0,1.01
0.059,1.007,-2.046,1.771,0.015,0.026,4721.0,1521.0,1.0
0.043,0.932,-1.594,1.842,0.014,0.023,4217.0,1238.0,1.0
0.071,0.93,-1.751,1.721,0.014,0.022,4576.0,1478.0,1.0
-0.001,0.965,-1.888,1.739,0.016,0.024,3807.0,1388.0,1.0
-0.001,0.994,-1.904,1.879,0.014,0.026,5387.0,1480.0,1.0
-0.054,1.009,-1.807,2.043,0.014,0.029,4996.0,1192.0,1.0
-0.055,0.993,-1.834,1.844,0.014,0.027,4882.0,1334.0,1.0
-0.053,0.965,-1.989,1.678,0.015,0.028,4230.0,1290.0,1.0
0.011,0.96,-1.714,1.847,0.013,0.024,5085.0,1449.0,1.0
0.011,0.963,-1.872,1.81,0.014,0.025,4765.0,1447.0,1.0
-0.015,0.969,-1.745,1.919,0.016,0.024,3492.0,1425.0,1.0
0.101,0.988,-1.673,2.022,0.015,0.026,4125.0,1432.0,1.0
0.153,1.036,-1.666,2.085,0.014,0.028,5284.0,1448.0,1.0
0.076,1.033,-1.921,2.04,0.016,0.028,4245.0,1206.0,1.0
0.111,0.954,-1.706,1.91,0.013,0.024,5258.0,1394.0,1.0
0.049,0.969,-1.71,1.822,0.016,0.023,3547.0,1539.0,1.0
0.124,0.954,-1.467,2.031,0.016,0.024,3405.0,1370.0,1.0
0.054,0.979,-1.855,1.838,0.014,0.03,4961.0,1191.0,1.01
-0.073,0.997,-1.94,1.678,0.013,0.027,5580.0,1383.0,1.01
-0.042,1.009,-1.823,1.929,0.014,0.029,5143.0,1174.0,1.0
-0.087,0.971,-1.972,1.644,0.016,0.023,3848.0,1573.0,1.0
-0.057,1.018,-2.073,1.747,0.016,0.027,4314.0,1219.0,1.01
-0.052,0.952,-1.707,1.758,0.014,0.023,4758.0,1616.0,1.0
-0.105,0.959,-1.917,1.629,0.016,0.025,3603.0,1515.0,1.01
-0.028,0.984,-1.88,1.892,0.014,0.028,4688.0,1353.0,1.0
0.016,0.996,-1.845,1.872,0.015,0.025,4187.0,1487.0,1.0
0.028,1.029,-1.863,1.971,0.016,0.029,4317.0,1425.0,1.0
-0.055,0.956,-1.802,1.699,0.016,0.025,3454.0,1404.0,1.0
0.029,0.957,-1.724,1.806,0.014,0.024,4493.0,1534.0,1.0
-0.032,0.946,-1.735,1.717,0.014,0.024,4358.0,1475.0,1.0
-0.064,0.996,-1.986,1.748,0.014,0.027,5116.0,1415.0,1.0
-0.044,0.975,-1.96,1.639,0.017,0.026,3304.0,1060.0,1.01
