mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-3.825,1.509,-6.405,-0.629,0.045,0.032,1109.0,1006.0,1.0
-0.894,0.899,-2.513,0.848,0.023,0.017,1491.0,1473.0,1.0
-0.184,0.789,-1.571,1.338,0.017,0.017,2223.0,1426.0,1.0
0.345,0.787,-1.044,1.893,0.018,0.016,1952.0,1513.0,1.0
1.05,0.75,-0.282,2.494,0.022,0.016,1191.0,1344.0,1.0
3.275,0.645,2.074,4.455,0.028,0.02,526.0,922.0,1.0
1.082,0.254,0.611,1.518,0.015,0.011,285.0,656.0,1.02
0.458,0.114,0.255,0.663,0.007,0.005,292.0,598.0,1.01
0.163,0.058,0.061,0.277,0.003,0.002,552.0,800.0,1.01
0.116,0.051,0.027,0.215,0.002,0.001,847.0,864.0,1.0
0.2,0.058,0.106,0.316,0.003,0.002,436.0,979.0,1.01
0.27,0.071,0.148,0.398,0.004,0.003,345.0,772.0,1.01
0.219,0.06,0.117,0.334,0.003,0.002,369.0,652.0,1.01
0.106,0.042,0.04,0.189,0.002,0.001,696.0,981.0,1.01
0.104,0.04,0.036,0.18,0.002,0.001,710.0,901.0,1.0
0.059,0.036,-0.006,0.128,0.001,0.001,1174.0,1112.0,1.0
-0.003,0.033,-0.063,0.063,0.001,0.001,1817.0,1390.0,1.0
-0.021,0.034,-0.082,0.04,0.001,0.001,1436.0,947.0,1.0
-0.176,0.051,-0.278,-0.094,0.002,0.002,397.0,777.0,1.01
-0.012,0.994,-1.991,1.759,0.019,0.023,2709.0,1529.0,1.0
-0.05,0.996,-1.846,1.794,0.018,0.025,3123.0,1329.0,1.0
-0.083,0.936,-1.867,1.692,0.019,0.022,2538.0,1071.0,1.0
-0.416,0.915,-2.054,1.374,0.019,0.018,2340.0,1570.0,1.0
-0.523,0.915,-2.25,1.121,0.02,0.017,2021.0,1337.0,1.0
-0.493,0.937,-2.168,1.309,0.018,0.021,2567.0,1313.0,1.0
-0.446,0.907,-2.221,1.237,0.019,0.019,2296.0,1471.0,1.0
-0.689,0.932,-2.268,1.257,0.019,0.018,2470.0,1483.0,1.0
-0.614,0.947,-2.244,1.342,0.021,0.02,2113.0,1338.0,1.0
-0.685,0.9,-2.465,0.885,0.02,0.016,2099.0,1392.0,1.0
-0.52,0.958,-2.323,1.227,0.019,0.019,2479.0,1092.0,1.0
-0.377,0.908,-1.981,1.373,0.02,0.021,2117.0,1221.0,1.0
-0.415,0.941,-2.194,1.315,0.019,0.02,2505.0,1445.0,1.0
-0.385,0.913,-1.993,1.411,0.019,0.019,2215.0,1455.0,1.0
-0.506,0.938,-2.293,1.252,0.017,0.019,3174.0,1291.0,1.0
-0.444,0.933,-2.041,1.341,0.019,0.025,2372.0,1451.0,1.0
-0.323,0.933,-2.047,1.406,0.018,0.02,2843.0,1548.0,1.0
-0.047,0.925,-1.763,1.629,0.018,0.022,2659.0,1418.0,1.0
-0.053,0.898,-1.702,1.676,0.021,0.021,1872.0,1181.0,1.0
0.071,0.923,-1.667,1.768,0.019,0.022,2268.0,1365.0,1.0
0.243,0.923,-1.576,1.802,0.019,0.02,2471.0,1400.0,1.0
0.195,0.936,-1.407,2.055,0.019,0.021,2458.0,1462.0,1.0
